id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068644";"2019-10-14";"1";"Vente";"450640.0";"36";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0040";"None";"None";"1";"35.83";"25";"nan";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"33.0";"0.0";"None";"None";"None";"None";"nan";"2.341748";"48.853456";"000AE"
"2019-1068607";"2019-10-01";"1";"Vente";"506000.0";"12";"None";"RUE SEGUIER";"8907";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0026";"None";"None";"9";"31.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"2.341802";"48.854094";"000AE"
"2019-1068364";"2019-09-05";"1";"Vente";"605000.0";"36";"None";"RUE SERPENTE";"8933";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0123";"None";"None";"66";"43.33";"67";"43.33";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"2.340835";"48.852671";"000AE"
"2019-1068205";"2019-08-08";"1";"Vente";"620000.0";"31";"None";"QUAI DES GRANDS AUGUSTINS";"4284";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0031";"None";"None";"33";"nan";"4";"43.67";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"37.0";"2.0";"None";"None";"None";"None";"nan";"2.342538";"48.854374";"000AE"
"2019-1068045";"2019-08-01";"1";"Vente";"23000.0";"36";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0040";"None";"None";"26";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"35.0";"2.0";"None";"None";"None";"None";"nan";"2.341748";"48.853456";"000AE"
"2019-1068201";"2019-07-25";"1";"Vente";"670000.0";"52";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0010";"None";"None";"7";"37.68";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"35.0";"2.0";"None";"None";"None";"None";"nan";"2.340332";"48.853526";"000AE"
"2019-1067848";"2019-07-10";"1";"Vente";"1166000.0";"19";"None";"RUE DES GRANDS AUGUSTINS";"4285";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0006";"None";"None";"10";"nan";"52";"nan";"53";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"120.0";"5.0";"None";"None";"None";"None";"nan";"2.340734";"48.854051";"000AE"
"2019-1067913";"2019-07-09";"1";"Vente";"653308.0";"30";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0042";"None";"None";"31";"40.48";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"40.0";"2.0";"None";"None";"None";"None";"nan";"2.342166";"48.853465";"000AE"
"2019-1067736";"2019-06-28";"1";"Vente";"600000.0";"37";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0104";"None";"None";"9";"54.64";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"55.0";"2.0";"None";"None";"None";"None";"nan";"2.341542";"48.853248";"000AE"
"2019-1067448";"2019-06-06";"1";"Vente";"864000.0";"3";"None";"RUE DE L EPERON";"3300";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AE0108";"None";"None";"13";"nan";"29";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"60.0";"2.0";"None";"None";"None";"None";"nan";"2.340957";"48.853074";"000AE"
