id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068653";"2019-10-15";"1";"Vente";"67500.0";"34";"None";"RUE MONSIEUR LE PRINCE";"6444";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0018";"None";"None";"10";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"8.0";"1";"None";"None";"None";"None";"nan";"2.340111";"48.849192";"000AK"
"2019-1068653";"2019-10-15";"1";"Vente";"67500.0";"34";"None";"RUE MONSIEUR LE PRINCE";"6444";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0018";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"13.0";"0";"None";"None";"None";"None";"nan";"2.340111";"48.849192";"000AK"
"2019-1068615";"2019-09-26";"1";"Vente";"1330000.0";"32";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0038";"None";"None";"13";"93.73";"3";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"50.0";"0";"None";"None";"None";"None";"nan";"2.342173";"48.850097";"000AK"
"2019-1068406";"2019-09-10";"1";"Vente";"852800.0";"48";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0046";"None";"None";"15";"nan";"2";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"65.0";"0";"None";"None";"None";"None";"nan";"2.341212";"48.848597";"000AK"
"2019-1068320";"2019-08-30";"1";"Vente";"1601280.0";"1";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0044";"None";"None";"25";"nan";"27";"119.21";"5";"119.21";"None";"nan";"None";"None";"3";"2";"Appartement";"115.0";"4";"None";"None";"None";"None";"nan";"2.341317";"48.848757";"000AK"
"2019-1068050";"2019-07-19";"1";"Vente";"2360000.0";"52";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0048";"None";"None";"28";"nan";"6";"150.22";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"151.0";"6";"None";"None";"None";"None";"nan";"2.34106";"48.848365";"000AK"
"2019-1068050";"2019-07-19";"1";"Vente";"2360000.0";"52";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0048";"None";"None";"51";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.34106";"48.848365";"000AK"
"2019-1067873";"2019-07-04";"1";"Vente";"946900.0";"6";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0015";"None";"None";"27";"53.55";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"60.0";"2";"None";"None";"None";"None";"nan";"2.339977";"48.849184";"000AK"
"2019-1067565";"2019-06-28";"1";"Vente";"775000.0";"48";"None";"RUE MONSIEUR LE PRINCE";"6444";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0064";"None";"None";"225";"nan";"227";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"52.0";"2";"None";"None";"None";"None";"nan";"2.34023";"48.84837";"000AK"
"2019-1067565";"2019-06-28";"1";"Vente";"775000.0";"48";"None";"RUE MONSIEUR LE PRINCE";"6444";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AK0064";"None";"None";"225";"nan";"227";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"nan";"2.34023";"48.84837";"000AK"
