id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068525";"2019-09-10";"1";"Vente";"40000.0";"12";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0012";"None";"None";"4";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332165";"48.847621";"000AM"
"2019-1068525";"2019-09-10";"1";"Vente";"40000.0";"12";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0012";"None";"None";"5";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332165";"48.847621";"000AM"
"2019-1067798";"2019-06-27";"1";"Vente";"2200000.0";"12";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0012";"None";"None";"18";"nan";"24";"199.35";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"226.0";"0";"None";"None";"None";"None";"None";"2.332165";"48.847621";"000AM"
"2019-1067355";"2019-06-05";"1";"Vente";"2600000.0";"12";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0012";"None";"None";"29";"nan";"3";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"100.0";"3";"None";"None";"None";"None";"None";"2.332165";"48.847621";"000AM"
"2019-1067355";"2019-06-05";"1";"Vente";"2600000.0";"12";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0012";"None";"None";"16";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332165";"48.847621";"000AM"
"2019-1067421";"2019-06-03";"1";"Vente";"1775000.0";"23";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0002";"None";"None";"40";"nan";"8";"122.5";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"127.0";"5";"None";"None";"None";"None";"None";"2.332046";"48.848347";"000AM"
"2018-1371924";"2018-12-14";"1";"Vente";"365000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"167";"23.75";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"27.0";"1";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371918";"2018-12-04";"1";"Vente";"673900.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"140";"71.27";"189";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"93.0";"3";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371950";"2018-12-04";"1";"Vente";"1800000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"140";"70.76";"189";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"93.0";"3";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371918";"2018-12-04";"1";"Vente";"673900.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"232";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371950";"2018-12-04";"1";"Vente";"1800000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"232";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371815";"2018-11-30";"1";"Vente";"4000000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"132";"172.01";"200";"nan";"309";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"167.0";"5";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371815";"2018-11-30";"1";"Vente";"4000000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"241";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371470";"2018-10-30";"1";"Vente";"225000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"146";"16.06";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
"2018-1371573";"2018-10-25";"1";"Vente";"1550000.0";"18";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0009";"None";"None";"22";"nan";"29";"nan";"4";"nan";"6";"None";"None";"None";"4";"2";"Appartement";"174.0";"6";"None";"None";"None";"None";"None";"2.332128";"48.847288";"000AM"
"2018-1371573";"2018-10-25";"1";"Vente";"1550000.0";"18";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0009";"None";"None";"9";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332128";"48.847288";"000AM"
"2018-1371573";"2018-10-25";"1";"Vente";"1550000.0";"18";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0009";"None";"None";"12";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332128";"48.847288";"000AM"
"2018-1371573";"2018-10-25";"1";"Vente";"1550000.0";"18";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0009";"None";"None";"27";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.332128";"48.847288";"000AM"
"2018-1370916";"2018-09-06";"1";"Vente";"4150000.0";"8";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AM0013";"None";"None";"162";"132.34";"204";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"160.0";"6";"None";"None";"None";"None";"None";"2.331929";"48.847783";"000AM"
