id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068559";"2019-09-18";"1";"Vente";"2270000.0";"51";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0015";"None";"None";"22";"170.05";"9";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"180.0";"6";"None";"None";"None";"None";"None";"2.331823";"48.84576";"000AN"
"2019-1068559";"2019-09-18";"1";"Vente";"2270000.0";"51";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0015";"None";"None";"2";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331823";"48.84576";"000AN"
"2019-1067961";"2019-07-10";"1";"Vente";"1.0";"1";"None";"RUE DE FLEURUS";"3673";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0004";"None";"None";"71";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"5.0";"1";"None";"None";"None";"None";"None";"2.332143";"48.846858";"000AN"
"2019-1067313";"2019-05-28";"1";"Vente";"8125000.0";"28";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0007";"None";"None";"28";"nan";"6";"244.68";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"245.0";"8";"None";"None";"None";"None";"None";"2.331949";"48.846555";"000AN"
"2019-1066807";"2019-03-12";"1";"Vente";"6300000.0";"32";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0010";"None";"None";"28";"nan";"5";"201.09";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"208.0";"7";"None";"None";"None";"None";"None";"2.332063";"48.846252";"000AN"
"2019-1066616";"2019-03-06";"1";"Vente";"1320000.0";"1";"None";"RUE DE FLEURUS";"3673";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0004";"None";"None";"32";"nan";"69";"75.12";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"70.0";"2";"None";"None";"None";"None";"None";"2.332143";"48.846858";"000AN"
"2019-1066523";"2019-02-19";"1";"Vente";"3600.0";"77";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0011";"None";"None";"33";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"128.0";"4";"None";"None";"None";"None";"None";"2.331738";"48.846116";"000AN"
"2019-1066526";"2019-02-19";"1";"Vente";"3800.0";"77";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0011";"None";"None";"32";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"189.0";"7";"None";"None";"None";"None";"None";"2.331738";"48.846116";"000AN"
"2019-1066326";"2019-02-12";"1";"Vente";"184050.0";"75";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0009";"None";"None";"29";"12.01";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331854";"48.846313";"000AN"
"2019-1066326";"2019-02-12";"1";"Vente";"184050.0";"75";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0009";"None";"None";"30";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331854";"48.846313";"000AN"
"2019-1066268";"2019-02-08";"1";"Vente";"1790000.0";"34";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0012";"None";"None";"116";"144.27";"117";"nan";"118";"None";"None";"None";"None";"None";"3";"2";"Appartement";"162.0";"4";"None";"None";"None";"None";"None";"2.331949";"48.846026";"000AN"
"2019-1066268";"2019-02-08";"1";"Vente";"1790000.0";"34";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0012";"None";"None";"130";"10.35";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331949";"48.846026";"000AN"
"2019-1066268";"2019-02-08";"1";"Vente";"1790000.0";"34";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0012";"None";"None";"116";"144.27";"117";"nan";"118";"None";"None";"None";"None";"None";"3";"4";"Local industriel. commercial ou assimilé";"50.0";"0";"None";"None";"None";"None";"None";"2.331949";"48.846026";"000AN"
"2019-1066096";"2019-02-01";"1";"Vente";"7000000.0";"30";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0008";"None";"None";"23";"nan";"4";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"250.0";"7";"None";"None";"None";"None";"None";"2.331914";"48.846405";"000AN"
"2019-1066096";"2019-02-01";"1";"Vente";"7000000.0";"30";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0008";"None";"None";"13";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.331914";"48.846405";"000AN"
"2019-1066129";"2019-01-31";"1";"Vente";"6950000.0";"30";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0008";"None";"None";"3";"nan";"70";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"247.0";"8";"None";"None";"None";"None";"None";"2.331914";"48.846405";"000AN"
"2018-1372045";"2018-12-28";"1";"Vente";"2770000.0";"30";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0008";"None";"None";"53";"nan";"72";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"147.0";"6";"None";"None";"None";"None";"None";"2.331914";"48.846405";"000AN"
"2018-1371706";"2018-11-23";"1";"Vente";"371706.72";"40";"None";"RUE GUYNEMER";"4442";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0018";"None";"None";"27";"nan";"28";"nan";"29";"None";"30";"None";"54";"None";"5";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.332116";"48.845416";"000AN"
"2018-1370824";"2018-08-02";"1";"Vente";"950000.0";"75";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AN0009";"None";"None";"23";"84.03";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"88.0";"4";"None";"None";"None";"None";"None";"2.331854";"48.846313";"000AN"
