id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068177";"2019-08-02";"1";"Vente";"1650000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"13";"88.31";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"93.0";"3";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2019-1067958";"2019-07-16";"1";"Vente";"157000.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"30";"9.15";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2019-1067296";"2019-05-17";"1";"Vente";"300000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"47";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2019-1066886";"2019-04-23";"1";"Vente";"1450000.0";"4";"None";"RUE HERSCHEL";"4626";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0014";"None";"None";"14";"nan";"2";"117.16";"43";"nan";"55";"nan";"None";"None";"4";"2";"Appartement";"107.0";"5";"None";"None";"None";"None";"None";"2.338105";"48.84358";"000AP"
"2019-1066145";"2019-01-25";"1";"Vente";"2940000.0";"13";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0021";"None";"None";"10";"160.13";"15";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"170.0";"8";"None";"None";"None";"None";"None";"2.337761";"48.843091";"000AP"
"2018-1372196";"2018-12-28";"1";"Vente";"1600000.0";"72";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0016";"None";"None";"110";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"32.0";"1";"None";"None";"None";"None";"None";"2.338255";"48.843267";"000AP"
"2018-1372196";"2018-12-28";"1";"Vente";"1600000.0";"72";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0016";"None";"None";"107";"nan";"116";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"103.0";"5";"None";"None";"None";"None";"None";"2.338255";"48.843267";"000AP"
"2018-1372196";"2018-12-28";"1";"Vente";"1600000.0";"72";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0016";"None";"None";"103";"nan";"114";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"87.0";"0";"None";"None";"None";"None";"None";"2.338255";"48.843267";"000AP"
"2018-1372083";"2018-12-21";"1";"Vente";"3000.0";"68";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0008";"None";"None";"52";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"115.0";"5";"None";"None";"None";"None";"None";"2.338278";"48.843685";"000AP"
"2018-1371920";"2018-12-14";"1";"Vente";"2984500.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"20";"145.2";"39";"nan";"55";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"153.0";"4";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2018-1371920";"2018-12-14";"1";"Vente";"2984500.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"38";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2018-1371948";"2018-11-05";"1";"Vente";"3900000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"65";"nan";"67";"177.68";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"210.0";"5";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2018-1371284";"2018-10-16";"1";"Vente";"103773.58";"68";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0008";"None";"None";"40";"8.02";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.338278";"48.843685";"000AP"
"2018-1371357";"2018-10-10";"1";"Vente";"2450000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"100";"nan";"98";"116.98";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"99.0";"4";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2018-1371357";"2018-10-10";"1";"Vente";"2450000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"99";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2018-1370829";"2018-08-09";"1";"Vente";"550000.0";"78";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0023";"None";"None";"23";"nan";"40";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"40.0";"3";"None";"None";"None";"None";"None";"2.337997";"48.842989";"000AP"
"2018-1369891";"2018-06-04";"1";"Vente";"129000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"39";"8.67";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2018-1369678";"2018-04-17";"1";"Vente";"2550000.0";"5";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0005";"None";"None";"39";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"187.0";"4";"None";"None";"None";"None";"None";"2.338048";"48.843919";"000AP"
"2018-1369678";"2018-04-17";"1";"Vente";"2550000.0";"5";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0005";"None";"None";"10";"30.0";"11";"144.5";"12";"57.8";"9";"104.1";"None";"None";"4";"4";"Local industriel. commercial ou assimilé";"329.0";"0";"None";"None";"None";"None";"None";"2.338048";"48.843919";"000AP"
"2018-1369270";"2018-03-14";"1";"Vente";"1350000.0";"68";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0008";"None";"None";"47";"nan";"60";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"120.0";"5";"None";"None";"None";"None";"None";"2.338278";"48.843685";"000AP"
"2018-1369270";"2018-03-14";"1";"Vente";"1350000.0";"68";"None";"BD SAINT MICHEL";"8705";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0008";"None";"None";"40";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.338278";"48.843685";"000AP"
"2017-1406622";"2017-12-20";"1";"Vente";"5520000.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"16";"nan";"54";"nan";"68";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"198.0";"4";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2017-1406622";"2017-12-20";"1";"Vente";"5520000.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"37";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2017-1406622";"2017-12-20";"1";"Vente";"5520000.0";"1";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0004";"None";"None";"36";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.33778";"48.843984";"000AP"
"2017-1406535";"2017-12-13";"1";"Vente";"2120000.0";"3";"None";"RUE AUGUSTE COMTE";"0551";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0006";"None";"None";"52";"175.27";"56";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"143.0";"7";"None";"None";"None";"None";"None";"2.338218";"48.843828";"000AP"
"2017-1406246";"2017-12-04";"1";"Vente";"560000.0";"11";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AP0020";"None";"None";"6";"44.14";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"41.0";"2";"None";"None";"None";"None";"None";"2.337727";"48.843237";"000AP"
