id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2018-1371630";"2018-11-15";"1";"Vente";"650000.0";"87";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0006";"None";"None";"9";"65.25";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"70.0";"4";"None";"None";"None";"None";"None";"2.335338";"48.84215";"000AQ"
"2018-1371630";"2018-11-15";"1";"Vente";"650000.0";"87";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0006";"None";"None";"9";"65.25";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.335338";"48.84215";"000AQ"
"2018-1370377";"2018-07-09";"1";"Vente";"510000.0";"6";"None";"RUE DES CHARTREUX";"1902";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0007";"None";"None";"21";"44.56";"46";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"43.0";"3";"None";"None";"None";"None";"None";"2.335515";"48.842174";"000AQ"
"2018-1370423";"2018-06-21";"1";"Vente";"2200000.0";"23";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0016";"None";"None";"11";"nan";"18";"178.6";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"181.0";"7";"None";"None";"None";"None";"None";"2.337621";"48.84215";"000AQ"
"2018-1370423";"2018-06-21";"1";"Vente";"2200000.0";"23";"None";"AV DE L OBSERVATOIRE";"6860";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0016";"None";"None";"1";"nan";"4";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"129.0";"7";"None";"None";"None";"None";"None";"2.337621";"48.84215";"000AQ"
"2018-1369143";"2018-03-14";"1";"Vente";"775800.0";"87";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0006";"None";"None";"6";"63.2";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"70.0";"3";"None";"None";"None";"None";"None";"2.335338";"48.84215";"000AQ"
"2018-1369143";"2018-03-14";"1";"Vente";"775800.0";"87";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0006";"None";"None";"6";"63.2";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"6.0";"0";"None";"None";"None";"None";"None";"2.335338";"48.84215";"000AQ"
"2018-1368694";"2018-01-22";"1";"Vente";"70500.0";"6";"None";"RUE DES CHARTREUX";"1902";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0007";"None";"None";"34";"6.73";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.335515";"48.842174";"000AQ"
"2017-1406446";"2017-12-27";"1";"Vente";"1118600.0";"11";"None";"RUE MICHELET";"6334";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0003";"None";"None";"15";"nan";"6";"95.32";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"90.0";"5";"None";"None";"None";"None";"None";"2.335141";"48.842398";"000AQ"
"2017-1406540";"2017-12-27";"1";"Vente";"100000.0";"11";"None";"RUE MICHELET";"6334";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AQ0003";"None";"None";"9";"8.71";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.335141";"48.842398";"000AQ"
