id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068425";"2019-09-04";"1";"Vente";"33000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"410";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2019-1068189";"2019-07-29";"1";"Vente";"480000.0";"15";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0003";"None";"None";"27";"nan";"3";"18.46";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"42.0";"0";"None";"None";"None";"None";"nan";"2.330995";"48.843997";"000AS"
"2019-1067940";"2019-07-13";"1";"Vente";"38000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"374";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2019-1068012";"2019-07-04";"1";"Vente";"144750.0";"106";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0027";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"35.0";"2";"None";"None";"None";"None";"nan";"2.334238";"48.842694";"000AS"
"2019-1067698";"2019-07-02";"1";"Vente";"45000.0";"63";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0037";"None";"None";"782";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.331464";"48.84361";"000AS"
"2019-1067725";"2019-06-28";"1";"Vente";"2410000.0";"78";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0009";"None";"None";"50";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"104.0";"6";"None";"None";"None";"None";"nan";"2.332236";"48.844568";"000AS"
"2019-1067413";"2019-06-11";"1";"Vente";"39000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"254";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2019-1067267";"2019-05-27";"1";"Vente";"643200.0";"65";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0037";"None";"None";"526";"51.65";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"2";"None";"None";"None";"None";"nan";"2.331464";"48.84361";"000AS"
"2019-1067295";"2019-05-15";"1";"Vente";"2200000.0";"59";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0037";"None";"None";"428";"154.24";"971";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"156.0";"6";"None";"None";"None";"None";"nan";"2.331464";"48.84361";"000AS"
"2019-1067036";"2019-05-09";"1";"Vente";"832990.0";"13";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0004";"None";"None";"20";"nan";"34";"58.84";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"60.0";"3";"None";"None";"None";"None";"nan";"2.331245";"48.844124";"000AS"
"2019-1067168";"2019-05-09";"1";"Vente";"898000.0";"13";"None";"RUE VAVIN";"9634";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0004";"None";"None";"52";"nan";"63";"75.75";"64";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"76.0";"4";"None";"None";"None";"None";"nan";"2.331245";"48.844124";"000AS"
"2019-1066959";"2019-04-19";"1";"Vente";"600000.0";"77";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0018";"None";"None";"346";"nan";"348";"46.82";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"47.0";"3";"None";"None";"None";"None";"nan";"2.332232";"48.842989";"000AS"
"2019-1066936";"2019-04-17";"1";"Vente";"25000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"328";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2019-1066754";"2019-03-27";"1";"Vente";"49500.0";"90";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0014";"None";"None";"312";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332899";"48.843597";"000AS"
"2019-1066632";"2019-03-25";"1";"Vente";"845000.0";"65";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0037";"None";"None";"521";"64.65";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"67.0";"2";"None";"None";"None";"None";"nan";"2.331464";"48.84361";"000AS"
"2019-1066723";"2019-03-25";"1";"Vente";"40000.0";"90";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0014";"None";"None";"265";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332899";"48.843597";"000AS"
"2019-1066511";"2019-03-08";"1";"Vente";"48000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"320";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2019-1066658";"2019-03-08";"1";"Vente";"22500.0";"90";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0014";"None";"None";"278";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332899";"48.843597";"000AS"
"2019-1066479";"2019-03-04";"1";"Vente";"455000.0";"90";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0014";"None";"None";"33";"32.46";"34";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"33.0";"1";"None";"None";"None";"None";"nan";"2.332899";"48.843597";"000AS"
"2019-1066164";"2019-01-30";"2";"Vente";"573000.0";"77";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0018";"None";"None";"115";"nan";"225";"48.83";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"50.0";"3";"None";"None";"None";"None";"nan";"2.332232";"48.842989";"000AS"
"2018-1372069";"2018-12-27";"1";"Vente";"580000.0";"8";"None";"RUE JOSEPH BARA";"5004";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0030";"None";"None";"1";"36.22";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"38.0";"1";"None";"None";"None";"None";"nan";"2.333323";"48.842462";"000AS"
"2018-1372145";"2018-12-18";"1";"Vente";"740000.0";"77";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0018";"None";"None";"166";"nan";"212";"57.53";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"59.0";"3";"None";"None";"None";"None";"nan";"2.332232";"48.842989";"000AS"
"2018-1371896";"2018-12-13";"1";"Vente";"40000.0";"90";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0014";"None";"None";"359";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332899";"48.843597";"000AS"
"2018-1371702";"2018-11-05";"1";"Vente";"930240.0";"78";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AS0009";"None";"None";"53";"72.5";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"28.0";"2";"None";"None";"None";"None";"nan";"2.332236";"48.844568";"000AS"
