id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068730";"2019-12-06";"1";"Vente";"2540000.0";"3";"None";"RUE PEGUY";"7216";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0124";"None";"None";"31";"nan";"32";"nan";"5";"167.81";"None";"None";"None";"None";"3";"2";"Appartement";"170.0";"6";"None";"None";"None";"None";"nan";"2.32816";"48.843125";"000AT"
"2019-1068718";"2019-12-03";"1";"Vente";"515000.0";"11";"None";"RUE DE LA GRANDE CHAUMIERE";"4274";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0092";"None";"None";"16";"32.19";"5";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"32.0";"2";"None";"None";"None";"None";"nan";"2.330766";"48.842109";"000AT"
"2019-1068682";"2019-10-29";"1";"Vente";"232000.0";"5";"None";"RUE STANISLAS";"9070";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0121";"None";"None";"20";"17.67";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"6.0";"1";"None";"None";"None";"None";"nan";"2.328539";"48.843828";"000AT"
"2019-1068682";"2019-10-29";"1";"Vente";"232000.0";"5";"None";"RUE STANISLAS";"9070";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0121";"None";"None";"22";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"5.0";"1";"None";"None";"None";"None";"nan";"2.328539";"48.843828";"000AT"
"2019-1068682";"2019-10-29";"1";"Vente";"232000.0";"5";"None";"RUE STANISLAS";"9070";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0121";"None";"None";"21";"nan";"25";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328539";"48.843828";"000AT"
"2019-1068539";"2019-09-20";"1";"Vente";"380000.0";"3";"None";"RUE BREA";"1263";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0050";"None";"None";"12";"28.09";"36";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"25.0";"2";"None";"None";"None";"None";"nan";"2.330607";"48.843655";"000AT"
"2019-1068494";"2019-09-06";"1";"Vente";"1435000.0";"5";"None";"RUE BREA";"1263";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0049";"None";"None";"12";"90.43";"36";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"85.0";"4";"None";"None";"None";"None";"nan";"2.330662";"48.843476";"000AT"
"2019-1068504";"2019-09-02";"1";"Vente";"328000.0";"147";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0072";"None";"None";"12";"28.07";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"24.0";"1";"None";"None";"None";"None";"nan";"2.329821";"48.842185";"000AT"
"2019-1068291";"2019-08-28";"1";"Vente";"295000.0";"123";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0089";"None";"None";"60";"19.2";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"39.0";"2";"None";"None";"None";"None";"nan";"2.33107";"48.841912";"000AT"
"2019-1068361";"2019-08-27";"1";"Vente";"185000.0";"78";"None";"RUE NOTRE DAME DES CHAMPS";"6838";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AT0085";"None";"None";"31";"11.39";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"8.0";"1";"None";"None";"None";"None";"nan";"2.331717";"48.842249";"000AT"
