id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068679";"2019-10-23";"1";"Vente";"710000.0";"161";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0007";"None";"None";"19";"64.8";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"61.0";"4.0";"None";"None";"None";"None";"nan";"2.325155";"48.844776";"000AW"
"2019-1068443";"2019-09-06";"1";"Vente";"115000.0";"77";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0027";"None";"None";"114";"8.62";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.325293";"48.843804";"000AW"
"2019-1068376";"2019-09-04";"1";"Vente";"420000.0";"110";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0043";"None";"None";"2";"43.17";"21";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"2.328338";"48.844981";"000AW"
"2019-1068314";"2019-08-23";"1";"Vente";"1010000.0";"171";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0013";"None";"None";"11";"91.93";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"90.0";"4.0";"None";"None";"None";"None";"nan";"2.324592";"48.844231";"000AW"
"2019-1067529";"2019-06-20";"1";"Vente";"243601.0";"171";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0013";"None";"None";"17";"20.9";"18";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"49.0";"1.0";"None";"None";"None";"None";"nan";"2.324592";"48.844231";"000AW"
"2019-1067256";"2019-05-27";"1";"Vente";"2300000.0";"116";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0051";"None";"None";"24";"193.49";"6";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"158.0";"6.0";"None";"None";"None";"None";"nan";"2.328428";"48.844449";"000AW"
"2019-1067256";"2019-05-27";"1";"Vente";"2300000.0";"116";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0051";"None";"None";"24";"193.49";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"40.0";"0.0";"None";"None";"None";"None";"nan";"2.328428";"48.844449";"000AW"
"2019-1067126";"2019-04-26";"1";"Vente";"710000.0";"75";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0026";"None";"None";"38";"49.97";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"30.0";"1.0";"None";"None";"None";"None";"nan";"2.325385";"48.844028";"000AW"
"2019-1066512";"2019-03-12";"1";"Vente";"2300000.0";"118";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0053";"None";"None";"9";"129.02";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"128.0";"5.0";"None";"None";"None";"None";"nan";"2.328465";"48.844369";"000AW"
"2019-1066625";"2019-03-12";"1";"Vente";"875600.0";"10";"None";"RUE STANISLAS";"9070";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0056";"None";"None";"22";"nan";"9";"72.55";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"69.0";"4.0";"None";"None";"None";"None";"nan";"2.328156";"48.844082";"000AW"
"2019-1066441";"2019-02-07";"1";"Vente";"13582201.0";"36";"None";"RUE DU MONTPARNASSE";"6523";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0074";"None";"1";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.326419";"48.843639";"000AW"
"2019-1066038";"2019-01-17";"1";"Vente";"2120000.0";"25";"None";"RUE DU MONTPARNASSE";"6523";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0062";"None";"None";"3";"166.14";"45";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"130.0";"6.0";"None";"None";"None";"None";"nan";"2.327504";"48.84403";"000AW"
"2019-1066038";"2019-01-17";"1";"Vente";"2120000.0";"25";"None";"RUE DU MONTPARNASSE";"6523";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0062";"None";"None";"3";"166.14";"45";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"32.0";"0.0";"None";"None";"None";"None";"nan";"2.327504";"48.84403";"000AW"
"2018-1372104";"2018-12-20";"1";"Vente";"30000.0";"10";"None";"IMP ROBIQUET";"8277";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0038";"None";"None";"5";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.326125";"48.844138";"000AW"
"2018-1372104";"2018-12-20";"1";"Vente";"30000.0";"10";"None";"IMP ROBIQUET";"8277";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0038";"None";"None";"9";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.326125";"48.844138";"000AW"
"2018-1372149";"2018-12-20";"1";"Vente";"9285501.0";"3";"None";"PL DU DIX HUIT JUIN 1940";"2807";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0014";"None";"None";"15";"340.85";"16";"nan";"21";"None";"22";"None";"23";"None";"5";"4";"Local industriel. commercial ou assimilé";"412.0";"0.0";"None";"None";"None";"None";"nan";"2.324686";"48.844158";"000AW"
"2018-1372000";"2018-12-19";"1";"Vente";"229350.0";"118";"None";"BD RASPAIL";"8045";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0053";"None";"None";"25";"15.4";"26";"nan";"39";"None";"None";"None";"None";"None";"3";"2";"Appartement";"18.0";"1.0";"None";"None";"None";"None";"nan";"2.328465";"48.844369";"000AW"
"2018-1372138";"2018-11-30";"1";"Vente";"517065.0";"71";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0018";"None";"None";"17";"39.02";"41";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"37.0";"2.0";"None";"None";"None";"None";"nan";"2.324718";"48.843909";"000AW"
"2018-1371914";"2018-11-29";"1";"Vente";"950000.0";"38";"None";"RUE DU MONTPARNASSE";"6523";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AW0035";"None";"None";"2";"nan";"20";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"117.0";"0.0";"None";"None";"None";"None";"nan";"2.326471";"48.843463";"000AW"
