id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068624";"2019-10-15";"1";"Vente";"850000.0";"89";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0022";"None";"None";"34";"70.08";"35";"70.08";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"2.323032";"48.845608";"000AX"
"2019-1068378";"2019-09-11";"1";"Vente";"25000.0";"43";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0013";"None";"None";"152";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.321853";"48.845136";"000AX"
"2019-1068344";"2019-08-30";"1";"Vente";"770000.0";"107";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0007";"None";"None";"56";"68.82";"7";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"2.321291";"48.845167";"000AX"
"2019-1068500";"2019-08-30";"1";"Vente";"580000.0";"89";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0022";"None";"None";"4";"nan";"54";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"34.0";"2.0";"None";"None";"None";"None";"nan";"2.323032";"48.845608";"000AX"
"2019-1068500";"2019-08-30";"1";"Vente";"580000.0";"89";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0022";"None";"None";"55";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.323032";"48.845608";"000AX"
"2019-1068212";"2019-07-30";"1";"Vente";"833000.0";"89";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0022";"None";"None";"15";"nan";"33";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"55.0";"2.0";"None";"None";"None";"None";"nan";"2.323032";"48.845608";"000AX"
"2019-1068093";"2019-07-26";"1";"Vente";"22000.0";"97";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0018";"None";"None";"791";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.322406";"48.845111";"000AX"
"2019-1068158";"2019-07-18";"1";"Vente";"675000.0";"13";"None";"RUE LITTRE";"5716";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0061";"None";"None";"60";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"30.0";"2.0";"None";"None";"None";"None";"nan";"2.32443";"48.84533";"000AX"
"2019-1068158";"2019-07-18";"1";"Vente";"675000.0";"13";"None";"RUE LITTRE";"5716";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0061";"None";"None";"34";"48.4";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"43.0";"1.0";"None";"None";"None";"None";"nan";"2.32443";"48.84533";"000AX"
"2019-1067908";"2019-07-16";"1";"Vente";"810000.0";"53";"None";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AX0026";"None";"None";"169";"nan";"7";"69.19";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"2.322734";"48.844705";"000AX"
