id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068711";"2019-12-02";"1";"Vente";"41000.0";"118";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0037";"None";"None";"1362";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"15.0";"0";"None";"None";"None";"None";"None";"2.321109";"48.845699";"000AZ"
"2019-1068676";"2019-10-30";"1";"Vente";"1780000.0";"107";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0047";"None";"None";"29";"97.4";"85";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"97.0";"4";"None";"None";"None";"None";"None";"2.320704";"48.846085";"000AZ"
"2019-1068676";"2019-10-30";"1";"Vente";"1780000.0";"107";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0047";"None";"None";"79";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.320704";"48.846085";"000AZ"
"2019-1068662";"2019-10-29";"1";"Vente";"4500.0";"128";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0039";"None";"None";"72";"nan";"76";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"61.0";"3";"None";"None";"None";"None";"None";"2.320598";"48.845455";"000AZ"
"2019-1068664";"2019-10-29";"1";"Vente";"3625.0";"128";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0039";"None";"None";"68";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.320598";"48.845455";"000AZ"
"2019-1068638";"2019-10-10";"1";"Vente";"210000.0";"126";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0038";"None";"None";"28";"15.17";"9";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"14.0";"1";"None";"None";"None";"None";"None";"2.320783";"48.84551";"000AZ"
"2019-1068390";"2019-09-09";"1";"Vente";"6864.0";"128";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0039";"None";"None";"67";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"52.0";"2";"None";"None";"None";"None";"None";"2.320598";"48.845455";"000AZ"
"2019-1068332";"2019-08-28";"1";"Vente";"1135000.0";"113";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0004";"None";"None";"102";"nan";"16";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"82.0";"4";"None";"None";"None";"None";"None";"2.320167";"48.845783";"000AZ"
"2019-1068065";"2019-07-31";"1";"Vente";"1420000.0";"109";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0005";"None";"None";"142";"nan";"73";"79.22";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"78.0";"4";"None";"None";"None";"None";"None";"2.320427";"48.845756";"000AZ"
"2019-1068065";"2019-07-31";"1";"Vente";"1420000.0";"109";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0005";"None";"None";"243";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.320427";"48.845756";"000AZ"
"2019-1068141";"2019-07-26";"1";"Vente";"715000.0";"113";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0004";"None";"None";"22";"57.28";"89";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"59.0";"3";"None";"None";"None";"None";"None";"2.320167";"48.845783";"000AZ"
"2019-1067648";"2019-06-28";"1";"Vente";"493000.0";"118";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0037";"None";"None";"1284";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321109";"48.845699";"000AZ"
"2019-1067648";"2019-06-28";"1";"Vente";"493000.0";"118";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0037";"None";"None";"1289";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321109";"48.845699";"000AZ"
"2019-1067648";"2019-06-28";"1";"Vente";"493000.0";"118";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AZ0037";"None";"None";"1280";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321109";"48.845699";"000AZ"
