id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068742";"2019-12-24";"1";"Vente";"584000.0";"12";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0051";"None";"None";"4";"49.75";"5";"nan";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"48.0";"0";"None";"None";"None";"None";"None";"2.319785";"48.847071";"000BC"
"2019-1068737";"2019-12-17";"1";"Vente";"840250.0";"133";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0032";"None";"None";"21";"57.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"50.0";"1";"None";"None";"None";"None";"None";"2.318148";"48.847123";"000BC"
"2019-1068678";"2019-10-29";"1";"Vente";"1433000.0";"121";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0056";"None";"None";"1";"67.06";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"73.0";"0";"None";"None";"None";"None";"None";"2.319411";"48.847514";"000BC"
"2019-1068655";"2019-10-21";"1";"Vente";"220000.0";"8";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0052";"None";"None";"8";"18.95";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"17.0";"1";"None";"None";"None";"None";"None";"2.319447";"48.847163";"000BC"
"2019-1068474";"2019-09-13";"1";"Vente";"438000.0";"18";"None";"RUE MAYET";"6221";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0023";"None";"None";"105";"nan";"95";"32.21";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"31.0";"1";"None";"None";"None";"None";"None";"2.318869";"48.846299";"000BC"
"2019-1068506";"2019-09-13";"1";"Vente";"1235000.0";"27";"None";"RUE MAYET";"6221";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0045";"None";"None";"106";"nan";"111";"79.07";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"74.0";"5";"None";"None";"None";"None";"None";"2.319689";"48.846137";"000BC"
"2019-1068420";"2019-09-09";"1";"Vente";"1450000.0";"129";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0036";"None";"None";"210";"76.64";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"4";"None";"None";"None";"None";"None";"2.318768";"48.847157";"000BC"
"2019-1068343";"2019-08-29";"1";"Vente";"127000.0";"12";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0051";"None";"None";"32";"9.18";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"7.0";"1";"None";"None";"None";"None";"None";"2.319785";"48.847071";"000BC"
"2019-1068292";"2019-08-27";"1";"Vente";"760000.0";"8";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0052";"None";"None";"112";"nan";"29";"60.25";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"None";"2.319447";"48.847163";"000BC"
"2019-1068292";"2019-08-27";"1";"Vente";"760000.0";"8";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0052";"None";"None";"164";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.319447";"48.847163";"000BC"
"2019-1068298";"2019-08-26";"1";"Vente";"675000.0";"9";"B";"BD DU MONTPARNASSE";"6522";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0009";"None";"None";"33";"64.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"68.0";"4";"None";"None";"None";"None";"None";"2.318282";"48.846329";"000BC"
"2019-1068358";"2019-08-26";"1";"Vente";"435400.0";"18";"None";"RUE SAINT ROMAIN";"8742";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0063";"None";"None";"11";"nan";"17";"nan";"18";"38.32";"37";"None";"None";"None";"4";"2";"Appartement";"39.0";"1";"None";"None";"None";"None";"None";"2.321044";"48.847";"000BC"
"2019-1068143";"2019-08-07";"1";"Vente";"600000.0";"16";"None";"RUE MAYET";"6221";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0025";"None";"None";"19";"56.03";"8";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"55.0";"3";"None";"None";"None";"None";"None";"2.31879";"48.846481";"000BC"
"2019-1068311";"2019-08-02";"1";"Vente";"40000.0";"8";"None";"RUE ST J BAPTISTE DE LA SALLE";"8653";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0052";"None";"None";"213";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.319447";"48.847163";"000BC"
"2019-1068011";"2019-07-24";"1";"Vente";"445000.0";"110";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0061";"None";"None";"100";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"20.0";"1";"None";"None";"None";"None";"None";"2.320639";"48.846828";"000BC"
"2019-1068011";"2019-07-24";"1";"Vente";"445000.0";"110";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BC0061";"None";"None";"3";"43.92";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"51.0";"0";"None";"None";"None";"None";"None";"2.320639";"48.846828";"000BC"
