id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068725";"2019-12-10";"1";"Vente";"119000.0";"100";"B";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0024";"None";"None";"28";"9.07";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321763";"48.847332";"000BD"
"2019-1068626";"2019-10-04";"1";"Vente";"1780000.0";"98";"B";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0023";"None";"None";"9";"107.92";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"105.0";"4";"None";"None";"None";"None";"None";"2.321665";"48.847514";"000BD"
"2019-1068626";"2019-10-04";"1";"Vente";"1780000.0";"98";"B";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0023";"None";"None";"9";"107.92";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321665";"48.847514";"000BD"
"2019-1068555";"2019-09-27";"1";"Vente";"11550.0";"99";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0035";"None";"None";"1694";"3.7";"1696";"4.0";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"41.0";"1";"None";"None";"None";"None";"None";"2.321273";"48.84818";"000BD"
"2019-1068594";"2019-09-23";"1";"Vente";"835000.0";"99";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0035";"None";"None";"1015";"64.85";"1464";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"66.0";"2";"None";"None";"None";"None";"None";"2.321273";"48.84818";"000BD"
"2019-1068594";"2019-09-23";"1";"Vente";"835000.0";"99";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0035";"None";"None";"1144";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321273";"48.84818";"000BD"
"2019-1068480";"2019-09-09";"1";"Vente";"1410000.0";"99";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0035";"None";"None";"1111";"69.65";"1116";"nan";"1232";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"75.0";"2";"None";"None";"None";"None";"None";"2.321273";"48.84818";"000BD"
"2019-1068367";"2019-09-03";"1";"Vente";"1200000.0";"85";"A";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0040";"None";"None";"18";"nan";"6";"nan";"7";"nan";"9";"148.6";"None";"None";"4";"2";"Appartement";"100.0";"3";"None";"None";"None";"None";"None";"2.322985";"48.848872";"000BD"
"2019-1068367";"2019-09-03";"1";"Vente";"1200000.0";"85";"A";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0040";"None";"None";"8";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"35.0";"2";"None";"None";"None";"None";"None";"2.322985";"48.848872";"000BD"
"2019-1068411";"2019-09-03";"1";"Vente";"35000.0";"99";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0035";"None";"None";"1515";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321273";"48.84818";"000BD"
"2019-1068331";"2019-08-22";"1";"Vente";"760000.0";"109";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0001";"None";"None";"63";"44.05";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"43.0";"3";"None";"None";"None";"None";"None";"2.320623";"48.848052";"000BD"
"2019-1068060";"2019-07-29";"1";"Vente";"127950.0";"17";"None";"RUE SAINT ROMAIN";"8742";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0026";"None";"None";"59";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321364";"48.847317";"000BD"
"2019-1068041";"2019-07-22";"1";"Vente";"338548.0";"2";"None";"RUE DE L ABBE GREGOIRE";"0010";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0012";"None";"None";"7";"36.91";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"35.0";"1";"None";"None";"None";"None";"None";"2.323331";"48.849657";"000BD"
"2019-1067827";"2019-07-08";"1";"Vente";"694174.0";"92";"A";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0036";"None";"None";"2146";"57.8";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"79.0";"3";"None";"None";"None";"None";"None";"2.321804";"48.847743";"000BD"
"2019-1067547";"2019-06-24";"1";"Vente";"550000.0";"2";"None";"SQ SAINT ROMAIN";"8743";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0034";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"48.0";"0";"None";"None";"None";"None";"None";"2.320955";"48.847617";"000BD"
"2019-1067327";"2019-06-06";"1";"Vente";"1359224.0";"1";"None";"SQ SAINT ROMAIN";"8743";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0032";"None";"None";"104";"nan";"142";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"104.0";"5";"None";"None";"None";"None";"None";"2.320817";"48.84778";"000BD"
"2019-1067545";"2019-06-04";"1";"Vente";"500000.0";"76";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0019";"None";"None";"49";"32.2";"50";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"33.0";"2";"None";"None";"None";"None";"None";"2.323266";"48.848425";"000BD"
"2019-1067229";"2019-05-27";"1";"Vente";"35000.0";"92";"A";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0036";"None";"None";"2050";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321804";"48.847743";"000BD"
"2019-1067379";"2019-05-24";"1";"Vente";"35000.0";"92";"A";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0036";"None";"None";"2118";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.321804";"48.847743";"000BD"
"2019-1067394";"2019-05-21";"1";"Vente";"1600895.8";"105";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0002";"None";"None";"47";"98.42";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"35.0";"1";"None";"None";"None";"None";"None";"2.320872";"48.848141";"000BD"
"2019-1067394";"2019-05-21";"1";"Vente";"1600895.8";"105";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0002";"None";"None";"48";"62.32";"49";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"58.0";"0";"None";"None";"None";"None";"None";"2.320872";"48.848141";"000BD"
"2019-1067142";"2019-05-03";"1";"Vente";"41500.0";"13";"None";"RUE SAINT ROMAIN";"8742";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0028";"None";"None";"8";"5.93";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.3212";"48.847515";"000BD"
"2019-1066903";"2019-04-17";"1";"Vente";"400000.0";"2";"None";"SQ SAINT ROMAIN";"8743";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0034";"None";"None";"24";"26.47";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"29.0";"1";"None";"None";"None";"None";"None";"2.320955";"48.847617";"000BD"
"2019-1066940";"2019-04-17";"1";"Vente";"315000.0";"86";"None";"RUE DU CHERCHE MIDI";"1978";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BD0022";"None";"None";"59";"27.31";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.322819";"48.848125";"000BD"
