id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068438";"2019-09-17";"1";"Vente";"480000.0";"80";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0023";"None";"None";"161";"36.47";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"38.0";"2.0";"None";"None";"None";"None";"nan";"2.328667";"48.847827";"000BG"
"2019-1068542";"2019-09-16";"1";"Vente";"570000.0";"10";"None";"RUE D ASSAS";"0499";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0008";"None";"None";"30";"nan";"5";"35.7";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"32.0";"2.0";"None";"None";"None";"None";"nan";"2.328025";"48.849551";"000BG"
"2019-1068379";"2019-09-06";"1";"Vente";"1760000.0";"78";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0024";"None";"None";"16";"nan";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.32897";"48.847853";"000BG"
"2019-1068379";"2019-09-06";"1";"Vente";"1760000.0";"78";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0024";"None";"None";"17";"nan";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.32897";"48.847853";"000BG"
"2019-1068379";"2019-09-06";"1";"Vente";"1760000.0";"78";"None";"RUE DE VAUGIRARD";"9624";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0024";"None";"None";"1";"186.39";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"200.0";"0.0";"None";"None";"None";"None";"nan";"2.32897";"48.847853";"000BG"
"2019-1068305";"2019-08-06";"1";"Vente";"436000.0";"9";"None";"RUE COETLOGON";"2171";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0044";"None";"None";"18";"28.84";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"30.0";"2.0";"None";"None";"None";"None";"nan";"2.328594";"48.849836";"000BG"
"2019-1068095";"2019-07-19";"1";"Vente";"120000.0";"9";"None";"RUE COETLOGON";"2171";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0044";"None";"None";"16";"7.96";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.328594";"48.849836";"000BG"
"2019-1067993";"2019-07-17";"1";"Vente";"1923000.0";"13";"None";"RUE CASSETTE";"1591";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0084";"None";"None";"17";"nan";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"100.0";"3.0";"None";"None";"None";"None";"nan";"2.331166";"48.849835";"000BG"
"2019-1067712";"2019-07-01";"1";"Vente";"2130000.0";"108";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0015";"None";"None";"1";"nan";"19";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"190.0";"7.0";"None";"None";"None";"None";"nan";"2.328107";"48.848781";"000BG"
"2019-1067763";"2019-06-28";"1";"Vente";"35000.0";"34";"None";"RUE MADAME";"5886";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0085";"None";"None";"32";"2.57";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.331519";"48.849776";"000BG"
"2019-1067577";"2019-06-17";"1";"Vente";"1600000.0";"108";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BG0015";"None";"None";"20";"nan";"22";"nan";"23";"nan";"None";"None";"None";"nan";"3";"2";"Appartement";"190.0";"7.0";"None";"None";"None";"None";"nan";"2.328107";"48.848781";"000BG"
