id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068729";"2019-12-10";"1";"Vente";"740000.0";"63";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0008";"None";"None";"27";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"58.0";"2";"None";"None";"None";"None";"nan";"2.330189";"48.853417";"000BI"
"2019-1068538";"2019-09-27";"1";"Vente";"206500.0";"5";"None";"RUE BERNARD PALISSY";"0898";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0065";"None";"None";"64";"16.53";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"16.0";"2";"None";"None";"None";"None";"nan";"2.331995";"48.853074";"000BI"
"2019-1068466";"2019-09-12";"1";"Vente";"630000.0";"8";"None";"RUE DE GRENELLE";"4314";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0016";"None";"None";"17";"nan";"18";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"22.0";"1";"None";"None";"None";"None";"nan";"2.329757";"48.852604";"000BI"
"2019-1068466";"2019-09-12";"1";"Vente";"630000.0";"8";"None";"RUE DE GRENELLE";"4314";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0016";"None";"None";"16";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"31.0";"0";"None";"None";"None";"None";"nan";"2.329757";"48.852604";"000BI"
"2019-1068399";"2019-09-11";"1";"Vente";"456000.0";"55";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0003";"None";"None";"1";"nan";"46";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"22.0";"0";"None";"None";"None";"None";"nan";"2.330419";"48.853948";"000BI"
"2019-1068355";"2019-09-09";"1";"Vente";"1250000.0";"71";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0012";"None";"None";"104";"nan";"107";"56.5";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"62.0";"0";"None";"None";"None";"None";"nan";"2.329851";"48.853009";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"110.0";"4";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"42.0";"2";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"9.0";"1";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"49.0";"2";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"115.0";"5";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"49.0";"3";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"110.0";"4";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"14.0";"1";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"49.0";"2";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"110.0";"4";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"110.0";"4";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"49.0";"2";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"110.0";"4";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"3";"Dépendance";"nan";"0";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"29.0";"0";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"50.0";"0";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068178";"2019-07-31";"1";"Vente";"19200000.0";"55";"B";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0004";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"28.0";"0";"S";"sols";"None";"None";"275.0";"2.330377";"48.85385";"000BI"
"2019-1068084";"2019-07-26";"1";"Vente";"43200000.0";"6";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0101";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1122.0";"0";"S";"sols";"None";"None";"267.0";"2.32908";"48.852136";"000BI"
"2019-1068096";"2019-07-23";"1";"Vente";"547000.0";"5";"None";"RUE BERNARD PALISSY";"0898";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0065";"None";"None";"56";"nan";"89";"36.29";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"38.0";"2";"None";"None";"None";"None";"nan";"2.331995";"48.853074";"000BI"
"2019-1067782";"2019-07-12";"1";"Vente";"1287000.0";"9";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0058";"None";"None";"24";"nan";"4";"60.6";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"60.0";"2";"None";"None";"None";"None";"nan";"2.331263";"48.853448";"000BI"
"2019-1067912";"2019-07-11";"1";"Vente";"165000.0";"40";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0021";"None";"None";"65";"11.5";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"10.0";"1";"None";"None";"None";"None";"nan";"2.33006";"48.852738";"000BI"
"2019-1067837";"2019-07-03";"1";"Vente";"2000610.0";"42";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0078";"None";"None";"25";"nan";"4";"124.52";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"128.0";"5";"None";"None";"None";"None";"nan";"2.331205";"48.852514";"000BI"
"2019-1067745";"2019-07-01";"1";"Vente";"3000000.0";"2";"None";"PL MICHEL DEBRE";"6329";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0099";"None";"None";"15";"52.25";"24";"21.9";"28";"31.9";"7";"nan";"None";"None";"4";"4";"Local industriel. commercial ou assimilé";"72.0";"0";"None";"None";"None";"None";"nan";"2.329654";"48.852266";"000BI"
"2019-1067603";"2019-06-26";"1";"Vente";"1257554.4";"9";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0058";"None";"None";"10";"79.06";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"79.0";"4";"None";"None";"None";"None";"nan";"2.331263";"48.853448";"000BI"
"2019-1067699";"2019-06-21";"1";"Vente";"3600000.0";"48";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0093";"None";"None";"16";"nan";"17";"nan";"39";"nan";"40";"nan";"None";"None";"4";"2";"Appartement";"156.0";"6";"None";"None";"None";"None";"nan";"2.330912";"48.852506";"000BI"
"2019-1067699";"2019-06-21";"1";"Vente";"3600000.0";"48";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0093";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.330912";"48.852506";"000BI"
"2019-1067590";"2019-06-20";"1";"Echange";"2000.0";"26";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0028";"None";"None";"25";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"68.0";"2";"None";"None";"None";"None";"nan";"2.330346";"48.853209";"000BI"
"2019-1067590";"2019-06-20";"2";"Echange";"2000.0";"26";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0028";"None";"None";"22";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"43.0";"2";"None";"None";"None";"None";"nan";"2.330346";"48.853209";"000BI"
"2019-1067485";"2019-06-19";"1";"Vente";"240000.0";"25";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0090";"None";"None";"3";"13.58";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"12.0";"1";"None";"None";"None";"None";"nan";"2.330707";"48.852745";"000BI"
"2019-1067504";"2019-06-07";"1";"Vente";"1776000.0";"64";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0075";"None";"None";"106";"nan";"116";"108.12";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"92.0";"4";"None";"None";"None";"None";"nan";"2.331743";"48.852665";"000BI"
"2019-1067363";"2019-06-06";"1";"Vente";"131892.0";"26";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0028";"None";"None";"13";"nan";"14";"nan";"21";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"48.0";"3";"None";"None";"None";"None";"nan";"2.330346";"48.853209";"000BI"
"2019-1067650";"2019-06-04";"1";"Vente";"105000.0";"159";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0046";"None";"None";"11";"7.46";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.331686";"48.853803";"000BI"
"2019-1067308";"2019-05-28";"1";"Vente";"2300000.0";"4";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0100";"None";"None";"10";"143.48";"41";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"43.0";"2";"None";"None";"None";"None";"nan";"2.329321";"48.852231";"000BI"
"2019-1067308";"2019-05-28";"1";"Vente";"2300000.0";"4";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0100";"None";"None";"32";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.329321";"48.852231";"000BI"
"2019-1067308";"2019-05-28";"1";"Vente";"2300000.0";"4";"None";"RUE DE SEVRES";"8955";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0100";"None";"None";"10";"143.48";"41";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"87.0";"0";"None";"None";"None";"None";"nan";"2.329321";"48.852231";"000BI"
"2019-1067228";"2019-05-14";"1";"Vente";"750000.0";"50";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0055";"None";"None";"1090";"nan";"1142";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"38.0";"1";"None";"None";"None";"None";"nan";"2.331723";"48.853472";"000BI"
"2019-1067044";"2019-05-07";"1";"Vente";"585000.0";"50";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0055";"None";"None";"1035";"34.75";"1176";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"35.0";"2";"None";"None";"None";"None";"nan";"2.331723";"48.853472";"000BI"
"2019-1067072";"2019-04-24";"1";"Vente";"670000.0";"3";"None";"RUE DU SABOT";"8454";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0072";"None";"None";"102";"nan";"27";"nan";"3";"48.73";"None";"nan";"None";"None";"3";"2";"Appartement";"47.0";"1";"None";"None";"None";"None";"nan";"2.331637";"48.852898";"000BI"
"2019-1066981";"2019-04-24";"1";"Vente";"1000.0";"3";"None";"RUE DU SABOT";"8454";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0072";"None";"None";"20";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"200.0";"0";"None";"None";"None";"None";"nan";"2.331637";"48.852898";"000BI"
"2019-1067062";"2019-04-24";"1";"Vente";"60000.0";"3";"None";"RUE DU SABOT";"8454";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0072";"None";"None";"114";"17.54";"115";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"428.0";"0";"None";"None";"None";"None";"nan";"2.331637";"48.852898";"000BI"
"2019-1067032";"2019-04-19";"1";"Vente";"337485.0";"9";"None";"RUE BERNARD PALISSY";"0898";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0069";"None";"None";"35";"24.33";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"31.0";"2";"None";"None";"None";"None";"nan";"2.33182";"48.852973";"000BI"
"2019-1067014";"2019-04-16";"1";"Vente";"1470000.0";"50";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0055";"None";"None";"1055";"71.53";"1132";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"73.0";"3";"None";"None";"None";"None";"nan";"2.331723";"48.853472";"000BI"
"2019-1066820";"2019-04-10";"1";"Vente";"504000.0";"17";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0085";"None";"None";"8";"40.11";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"39.0";"2";"None";"None";"None";"None";"nan";"2.331008";"48.853125";"000BI"
"2019-1066949";"2019-04-09";"1";"Vente";"1240000.0";"40";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0021";"None";"None";"60";"nan";"61";"nan";"83";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"60.0";"3";"None";"None";"None";"None";"nan";"2.33006";"48.852738";"000BI"
"2019-1066949";"2019-04-09";"1";"Vente";"1240000.0";"40";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0021";"None";"None";"59";"70.67";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"10.0";"1";"None";"None";"None";"None";"nan";"2.33006";"48.852738";"000BI"
"2019-1066655";"2019-03-27";"1";"Vente";"51000.0";"85";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0102";"None";"None";"33";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"13.0";"1";"None";"None";"None";"None";"nan";"2.328844";"48.852043";"000BI"
"2019-1066773";"2019-03-27";"1";"Vente";"178900.0";"48";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0093";"None";"None";"8";"10.83";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"11.0";"1";"None";"None";"None";"None";"nan";"2.330912";"48.852506";"000BI"
"2019-1066857";"2019-03-26";"1";"Vente";"95490.0";"5";"None";"RUE DU SABOT";"8454";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0073";"None";"None";"25";"9.58";"26";"nan";"None";"nan";"None";"nan";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.331658";"48.852783";"000BI"
"2019-1066746";"2019-03-18";"1";"Vente";"491145.62";"6";"None";"RUE DU DRAGON";"2925";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BI0037";"None";"None";"19";"35.56";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"33.0";"2";"None";"None";"None";"None";"nan";"2.331138";"48.853863";"000BI"
