id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068440";"2019-09-10";"1";"Vente";"350000.0";"22";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0051";"None";"None";"43";"25.02";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"21.0";"1";"None";"None";"None";"None";"None";"2.33363";"48.852897";"000BJ"
"2019-1068400";"2019-09-06";"1";"Vente";"2600000.0";"141";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0076";"None";"None";"1";"89.4";"2";"64.5";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"217.0";"0";"None";"None";"None";"None";"None";"2.334595";"48.853168";"000BJ"
"2019-1068419";"2019-08-27";"1";"Vente";"168000.0";"8";"None";"RUE DES CISEAUX";"2051";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0050";"None";"None";"17";"15.0";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.333819";"48.852903";"000BJ"
"2019-1068250";"2019-07-29";"1";"Vente";"26460.0";"28";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0065";"None";"None";"284";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"73.0";"3";"None";"None";"None";"None";"None";"2.332883";"48.852869";"000BJ"
"2019-1067960";"2019-07-25";"1";"Vente";"200.0";"45";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0059";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"79.0";"3";"None";"None";"None";"None";"None";"2.333494";"48.853288";"000BJ"
"2019-1068110";"2019-07-12";"1";"Vente";"225000.0";"6";"None";"RUE DES CISEAUX";"2051";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0054";"None";"None";"37";"28.51";"55";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.33389";"48.852984";"000BJ"
"2019-1067710";"2019-06-26";"1";"Vente";"239700.0";"139";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0077";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"16.0";"2";"None";"None";"None";"None";"None";"2.334698";"48.853195";"000BJ"
"2019-1067558";"2019-06-14";"1";"Vente";"1200000.0";"32";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0066";"None";"None";"13";"90.59";"14";"90.59";"8";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"91.0";"3";"None";"None";"None";"None";"None";"2.332723";"48.852772";"000BJ"
"2019-1067415";"2019-06-07";"1";"Vente";"1380000.0";"3";"None";"RUE GOZLIN";"4255";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0056";"None";"None";"39";"nan";"40";"nan";"48";"nan";"62";"nan";"None";"None";"4";"2";"Appartement";"85.0";"4";"None";"None";"None";"None";"None";"2.333711";"48.853212";"000BJ"
"2019-1067566";"2019-06-07";"1";"Vente";"1050000.0";"58";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0065";"None";"None";"117";"nan";"118";"63.51";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"63.0";"3";"None";"None";"None";"None";"None";"2.332883";"48.852869";"000BJ"
"2019-1066995";"2019-05-03";"1";"Vente";"250000.0";"45";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0070";"None";"None";"39";"19.54";"40";"nan";"41";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"20.0";"1";"None";"None";"None";"None";"None";"2.332858";"48.853078";"000BJ"
"2019-1066980";"2019-04-29";"1";"Vente";"1764000.0";"24";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0051";"None";"None";"32";"nan";"7";"103.81";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"105.0";"4";"None";"None";"None";"None";"None";"2.33363";"48.852897";"000BJ"
"2019-1066556";"2019-02-28";"1";"Vente";"3659085.0";"139";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0077";"None";"None";"35";"nan";"6";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"139.0";"3";"None";"None";"None";"None";"None";"2.334698";"48.853195";"000BJ"
"2019-1066556";"2019-02-28";"1";"Vente";"3659085.0";"141";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0076";"None";"None";"1";"nan";"2";"nan";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"217.0";"0";"None";"None";"None";"None";"None";"2.334595";"48.853168";"000BJ"
"2019-1066312";"2019-02-26";"1";"Vente";"405500.0";"47";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0053";"None";"None";"108";"27.15";"132";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"27.0";"2";"None";"None";"None";"None";"None";"2.333552";"48.853074";"000BJ"
"2019-1066216";"2019-01-28";"1";"Vente";"1410700.0";"10";"None";"RUE DU FOUR";"3763";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0041";"None";"None";"13";"nan";"22";"80.7";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"79.0";"3";"None";"None";"None";"None";"None";"2.334642";"48.85304";"000BJ"
"2019-1066043";"2019-01-22";"1";"Vente";"680000.0";"3";"None";"RUE GOZLIN";"4255";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0056";"None";"None";"35";"nan";"42";"44.43";"43";"nan";"49";"nan";"65";"None";"5";"2";"Appartement";"48.0";"2";"None";"None";"None";"None";"None";"2.333711";"48.853212";"000BJ"
"2018-1371959";"2018-12-20";"1";"Vente";"300000.0";"40";"None";"RUE DE BUCI";"1360";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0016";"None";"None";"8";"33.88";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"34.0";"2";"None";"None";"None";"None";"None";"2.335778";"48.853368";"000BJ"
"2018-1372093";"2018-12-18";"1";"Vente";"345500.0";"152";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0030";"None";"None";"7";"23.6";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"23.0";"1";"None";"None";"None";"None";"None";"2.336647";"48.853346";"000BJ"
"2018-1371787";"2018-11-29";"1";"Vente";"5596493.0";"152";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0030";"None";"None";"68";"145.43";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"2";"None";"None";"None";"None";"None";"2.336647";"48.853346";"000BJ"
"2018-1371627";"2018-11-16";"1";"Vente";"4130000.0";"54";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0063";"None";"None";"7";"172.88";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"160.0";"7";"None";"None";"None";"None";"None";"2.333057";"48.85322";"000BJ"
"2018-1371102";"2018-09-24";"1";"Vente";"2050000.0";"47";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0069";"None";"None";"7";"136.69";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"135.0";"5";"None";"None";"None";"None";"None";"2.332728";"48.852993";"000BJ"
"2018-1371000";"2018-09-17";"1";"Vente";"3400000.0";"47";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0053";"None";"None";"1";"nan";"2";"nan";"350";"nan";"351";"nan";"6";"None";"10";"4";"Local industriel. commercial ou assimilé";"197.0";"0";"None";"None";"None";"None";"None";"2.333552";"48.853074";"000BJ"
"2018-1370619";"2018-07-27";"1";"Vente";"2600000.0";"51";"None";"RUE DE RENNES";"8151";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0067";"None";"None";"3";"nan";"57";"nan";"80";"nan";"None";"nan";"None";"None";"3";"4";"Local industriel. commercial ou assimilé";"70.0";"0";"None";"None";"None";"None";"None";"2.332499";"48.852768";"000BJ"
"2018-1370586";"2018-07-24";"1";"Vente";"865000.0";"154";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0030";"None";"None";"32";"48.01";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"46.0";"1";"None";"None";"None";"None";"None";"2.336647";"48.853346";"000BJ"
"2018-1370690";"2018-07-12";"1";"Vente";"300000.0";"150";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0029";"None";"None";"19";"20.42";"22";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.336754";"48.85321";"000BJ"
"2018-1372216";"2018-07-11";"1";"Vente";"3500.0";"47";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0053";"None";"None";"65";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"32.0";"1";"None";"None";"None";"None";"None";"2.333552";"48.853074";"000BJ"
"2018-1370267";"2018-06-25";"1";"Vente";"422000.0";"6";"None";"RUE DES CISEAUX";"2051";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BJ0054";"None";"None";"42";"nan";"43";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"36.0";"1";"None";"None";"None";"None";"None";"2.33389";"48.852984";"000BJ"
