id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068675";"2019-10-24";"1";"Vente";"444000.0";"26";"None";"RUE SAINT BENOIT";"8495";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0013";"None";"None";"28";"nan";"6";"25.31";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"25.0";"2";"None";"None";"None";"None";"None";"2.332589";"48.854302";"000BL"
"2019-1066929";"2019-04-19";"1";"Vente";"620000.0";"8";"None";"RUE SAINT BENOIT";"8495";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0018";"None";"None";"7";"38.28";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"71.0";"2";"None";"None";"None";"None";"None";"2.332875";"48.855238";"000BL"
"2018-1371921";"2018-12-07";"1";"Vente";"95000.0";"30";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0020";"None";"None";"57";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.333699";"48.855433";"000BL"
"2018-1371520";"2018-10-16";"1";"Vente";"364000.0";"26";"None";"RUE SAINT BENOIT";"8495";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0013";"None";"None";"13";"25.62";"26";"nan";"36";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"23.0";"2";"None";"None";"None";"None";"None";"2.332589";"48.854302";"000BL"
"2018-1370805";"2018-08-06";"1";"Vente";"5300000.0";"6";"None";"PL SAINT GERMAIN DES PRES";"8622";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0032";"None";"None";"16";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"186.0";"5";"None";"None";"None";"None";"None";"2.332992";"48.854307";"000BL"
"2018-1369752";"2018-05-23";"1";"Vente";"1650000.0";"40";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0027";"None";"None";"26";"nan";"3";"63.7";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"54.0";"0";"None";"None";"None";"None";"None";"2.333477";"48.854833";"000BL"
"2018-1369652";"2018-05-03";"1";"Vente";"1240000.0";"30";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0020";"None";"None";"72";"76.55";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"78.0";"2";"None";"None";"None";"None";"None";"2.333699";"48.855433";"000BL"
"2018-1369983";"2018-04-26";"1";"Vente";"106000.0";"34";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0022";"None";"None";"15";"8.36";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.333636";"48.855236";"000BL"
"2018-1369589";"2018-04-16";"1";"Vente";"1000000.0";"34";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0022";"None";"None";"23";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"175.0";"6";"None";"None";"None";"None";"None";"2.333636";"48.855236";"000BL"
"2018-1369589";"2018-04-16";"1";"Vente";"1000000.0";"34";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BL0022";"None";"None";"10";"87.52";"7";"12.56";"None";"nan";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"100.0";"0";"None";"None";"None";"None";"None";"2.333636";"48.855236";"000BL"
