id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068597";"2019-09-20";"1";"Vente";"267100.0";"9";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0008";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332857";"48.857244";"000BM"
"2019-1068597";"2019-09-20";"1";"Vente";"267100.0";"9";"None";"RUE DES SAINTS PERES";"8767";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0008";"None";"None";"12";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332857";"48.857244";"000BM"
"2019-1068471";"2019-09-12";"1";"Vente";"800000.0";"18";"None";"RUE VISCONTI";"9880";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0081";"None";"None";"55";"64.71";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"65.0";"2";"None";"None";"None";"None";"nan";"2.335363";"48.85598";"000BM"
"2019-1068374";"2019-09-09";"1";"Vente";"108000.0";"16";"None";"RUE VISCONTI";"9880";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0080";"None";"None";"33";"nan";"42";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"21.0";"1";"None";"None";"None";"None";"nan";"2.335563";"48.85595";"000BM"
"2019-1068365";"2019-09-06";"1";"Vente";"57142.85";"12";"None";"RUE DES BEAUX ARTS";"0801";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0062";"None";"None";"27";"nan";"29";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"16.0";"1";"None";"None";"None";"None";"nan";"2.335163";"48.856559";"000BM"
"2019-1068404";"2019-08-29";"1";"Vente";"1.0";"13";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0064";"None";"None";"4";"173.56";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"160.0";"0";"None";"None";"None";"None";"nan";"2.334772";"48.856232";"000BM"
"2019-1068307";"2019-08-12";"1";"Vente";"1980000.0";"20";"None";"RUE VISCONTI";"9880";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0082";"None";"None";"7";"140.56";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"100.0";"6";"None";"None";"None";"None";"nan";"2.335222";"48.855994";"000BM"
"2019-1068224";"2019-08-08";"1";"Vente";"750000.0";"5";"None";"QUAI MALAQUAIS";"5943";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0046";"None";"None";"3";"28.87";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"150.0";"5";"None";"None";"None";"None";"nan";"2.335665";"48.857456";"000BM"
"2019-1068323";"2019-08-08";"1";"Vente";"1250000.0";"17";"None";"RUE BONAPARTE";"1087";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0085";"None";"None";"46";"nan";"71";"nan";"9";"75.35";"None";"nan";"None";"nan";"3";"2";"Appartement";"75.0";"3";"None";"None";"None";"None";"nan";"2.334677";"48.856066";"000BM"
"2019-1068224";"2019-08-08";"1";"Vente";"750000.0";"5";"None";"QUAI MALAQUAIS";"5943";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000BM0046";"None";"None";"3";"28.87";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"50.0";"0";"None";"None";"None";"None";"nan";"2.335665";"48.857456";"000BM"
