id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068416";"2019-08-28";"1";"Vente";"1450000.0";"33";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0008";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"132.0";"0";"None";"None";"None";"None";"nan";"2.32944";"48.859186";"000AB"
"2019-1068027";"2019-07-26";"1";"Vente";"290000.0";"38";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0016";"None";"None";"15";"21.03";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"nan";"2.330028";"48.858573";"000AB"
"2019-1066854";"2019-04-18";"1";"Vente";"3004100.0";"7";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0004";"None";"None";"20";"nan";"5";"167.74";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"173.0";"6";"None";"None";"None";"None";"nan";"2.329155";"48.858952";"000AB"
"2019-1066821";"2019-04-11";"1";"Vente";"312000.0";"6";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0040";"None";"None";"23";"21.88";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"23.0";"1";"None";"None";"None";"None";"nan";"2.331993";"48.857989";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"27";"201.8";"28";"nan";"29";"nan";"30";"None";"40";"None";"8";"2";"Appartement";"92.0";"4";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"72";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"36";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"39";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"35";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"37";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"38";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"34";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2019-1066630";"2019-03-21";"1";"Vente";"3350000.0";"3";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0044";"None";"None";"41";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"104.0";"0";"None";"None";"None";"None";"nan";"2.332498";"48.858109";"000AB"
"2018-1372116";"2018-12-27";"1";"Vente";"435000.0";"17";"B";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0025";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"1";"None";"None";"None";"None";"nan";"2.331003";"48.858611";"000AB"
"2018-1372007";"2018-12-18";"1";"Vente";"1518000.0";"10";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0038";"None";"None";"6";"71.55";"7";"nan";"8";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"65.0";"2";"None";"None";"None";"None";"nan";"2.331742";"48.85804";"000AB"
"2018-1372137";"2018-12-17";"1";"Vente";"0.15";"3";"None";"RUE DE BEAUNE";"0785";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0018";"None";"None";"19";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.33018";"48.858878";"000AB"
"2018-1371728";"2018-12-03";"1";"Vente";"140000.0";"8";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0039";"None";"None";"103";"16.61";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"15.0";"1";"None";"None";"None";"None";"nan";"2.331825";"48.858016";"000AB"
"2018-1371426";"2018-10-26";"1";"Vente";"352625.0";"17";"B";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0025";"None";"None";"19";"46.69";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"30.0";"1";"None";"None";"None";"None";"nan";"2.331003";"48.858611";"000AB"
"2018-1371285";"2018-10-12";"1";"Vente";"1396850.0";"17";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0028";"None";"None";"66";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"2";"None";"None";"None";"None";"nan";"2.331147";"48.8585";"000AB"
"2018-1371037";"2018-09-21";"1";"Vente";"257250.0";"6";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0040";"None";"None";"18";"19.61";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"24.0";"1";"None";"None";"None";"None";"nan";"2.331993";"48.857989";"000AB"
"2018-1371244";"2018-09-19";"1";"Vente";"763100.0";"6";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0040";"None";"None";"13";"48.35";"37";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"47.0";"2";"None";"None";"None";"None";"nan";"2.331993";"48.857989";"000AB"
"2018-1371033";"2018-09-17";"1";"Vente";"1050000.0";"7";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0041";"None";"None";"75";"45.37";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"104.0";"0";"None";"None";"None";"None";"nan";"2.331977";"48.858204";"000AB"
"2018-1370857";"2018-09-05";"1";"Vente";"15000.0";"7";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0041";"None";"None";"122";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.331977";"48.858204";"000AB"
"2018-1370717";"2018-08-08";"1";"Vente";"3000.0";"34";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0022";"None";"None";"36";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"97.0";"4";"None";"None";"None";"None";"nan";"2.330521";"48.858488";"000AB"
"2018-1370622";"2018-07-24";"1";"Vente";"2875000.0";"7";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0004";"None";"None";"16";"nan";"28";"160.05";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"173.0";"6";"None";"None";"None";"None";"nan";"2.329155";"48.858952";"000AB"
"2018-1370367";"2018-07-03";"1";"Vente";"1085000.0";"5";"None";"RUE DE BEAUNE";"0785";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0017";"None";"None";"32";"47.9";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"40.0";"1";"None";"None";"None";"None";"nan";"2.330053";"48.858673";"000AB"
"2018-1369987";"2018-06-01";"1";"Vente";"3000000.0";"17";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0028";"None";"None";"61";"226.65";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"280.0";"0";"None";"None";"None";"None";"nan";"2.331147";"48.8585";"000AB"
"2018-1369763";"2018-05-18";"1";"Vente";"600000.0";"12";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0037";"None";"None";"4";"39.84";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"39.0";"1";"None";"None";"None";"None";"nan";"2.331674";"48.858067";"000AB"
"2018-1369843";"2018-05-15";"1";"Vente";"838950.0";"8";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0039";"None";"None";"104";"55.17";"105";"55.17";"106";"55.17";"114";"None";"None";"None";"4";"2";"Appartement";"57.0";"3";"None";"None";"None";"None";"nan";"2.331825";"48.858016";"000AB"
"2018-1369747";"2018-05-09";"1";"Vente";"90000.0";"36";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0021";"None";"None";"121";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"8.0";"1";"None";"None";"None";"None";"nan";"2.33025";"48.858567";"000AB"
"2018-1369645";"2018-05-02";"1";"Vente";"1160600.0";"17";"B";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0025";"None";"None";"11";"68.5";"44";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"63.0";"3";"None";"None";"None";"None";"nan";"2.331003";"48.858611";"000AB"
"2018-1369658";"2018-04-25";"1";"Vente";"5000.0";"34";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0022";"None";"None";"34";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"86.0";"3";"None";"None";"None";"None";"nan";"2.330521";"48.858488";"000AB"
"2018-1370010";"2018-04-23";"1";"Vente";"483750.0";"32";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0023";"None";"None";"16";"nan";"31";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"20.0";"1";"None";"None";"None";"None";"nan";"2.330602";"48.858356";"000AB"
"2018-1369422";"2018-04-11";"1";"Vente";"800000.0";"7";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0041";"None";"None";"129";"61.53";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"40.0";"4";"None";"None";"None";"None";"nan";"2.331977";"48.858204";"000AB"
"2018-1369298";"2018-03-22";"1";"Vente";"2300000.0";"33";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0008";"None";"None";"14";"139.47";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"140.0";"4";"None";"None";"None";"None";"nan";"2.32944";"48.859186";"000AB"
"2018-1368746";"2018-01-26";"1";"Vente";"560000.0";"25";"None";"QUAI VOLTAIRE";"9911";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0020";"None";"None";"533";"42.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"42.0";"0";"None";"None";"None";"None";"nan";"2.330515";"48.858733";"000AB"
"2018-1368769";"2018-01-16";"1";"Vente";"20750000.0";"46";"None";"RUE DE LILLE";"5686";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0012";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"1072.0";"0";"S";"sols";"None";"None";"272.0";"2.329416";"48.858781";"000AB"
"2017-1406190";"2017-12-01";"1";"Vente";"3000000.0";"1";"None";"RUE DE BEAUNE";"0785";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AB0019";"None";"None";"24";"nan";"25";"nan";"7";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"130.0";"4";"None";"None";"None";"None";"nan";"2.330237";"48.858982";"000AB"
