id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068611";"2019-10-07";"1";"Vente";"1800000.0";"9";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0021";"None";"None";"69";"nan";"92";"90.54";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"75.0";"3";"None";"None";"None";"None";"nan";"2.328981";"48.852686";"000AF"
"2019-1068523";"2019-09-26";"1";"Vente";"1854200.0";"4";"None";"RUE RECAMIER";"8079";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0029";"None";"None";"112";"79.42";"127";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"74.0";"4";"None";"None";"None";"None";"nan";"2.328188";"48.852182";"000AF"
"2019-1068397";"2019-08-29";"1";"Vente";"1940000.0";"11";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0020";"None";"None";"207";"nan";"60";"86.22";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"78.0";"2";"None";"None";"None";"None";"nan";"2.328584";"48.852738";"000AF"
"2019-1068397";"2019-08-29";"1";"Vente";"1940000.0";"11";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0020";"None";"None";"119";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328584";"48.852738";"000AF"
"2019-1068300";"2019-08-20";"1";"Vente";"1013600.0";"8";"None";"RUE RECAMIER";"8079";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0031";"None";"None";"423";"nan";"448";"64.93";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"nan";"2.328246";"48.852695";"000AF"
"2019-1068174";"2019-07-25";"1";"Vente";"1950000.0";"16";"None";"RUE DE SEVRES";"8955";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0040";"None";"None";"27";"171.79";"78";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"175.0";"5";"None";"None";"None";"None";"nan";"2.327354";"48.852";"000AF"
"2019-1068174";"2019-07-25";"1";"Vente";"1950000.0";"16";"None";"RUE DE SEVRES";"8955";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0040";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.327354";"48.852";"000AF"
"2019-1068114";"2019-07-23";"1";"Vente";"60000.0";"11";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0020";"None";"None";"160";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328584";"48.852738";"000AF"
"2019-1068114";"2019-07-23";"1";"Vente";"60000.0";"7";"None";"RUE DE LA CHAISE";"1682";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0031";"None";"None";"294";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328246";"48.852695";"000AF"
"2019-1067943";"2019-07-02";"1";"Vente";"145000.0";"74";"None";"RUE DES SAINTS PERES";"8767";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0022";"None";"None";"103";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328881";"48.852601";"000AF"
"2019-1067943";"2019-07-02";"1";"Vente";"145000.0";"74";"None";"RUE DES SAINTS PERES";"8767";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0022";"None";"None";"203";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328881";"48.852601";"000AF"
"2019-1067752";"2019-07-02";"1";"Vente";"60000.0";"9";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0021";"None";"None";"99";"11.01";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"250.0";"0";"None";"None";"None";"None";"nan";"2.328981";"48.852686";"000AF"
"2019-1067976";"2019-06-28";"1";"Vente";"4150000.0";"7";"None";"RUE DE LA CHAISE";"1682";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0031";"None";"None";"220";"nan";"478";"190.76";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"203.0";"4";"None";"None";"None";"None";"nan";"2.328246";"48.852695";"000AF"
"2019-1067976";"2019-06-28";"1";"Vente";"4150000.0";"7";"None";"RUE DE LA CHAISE";"1682";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0031";"None";"None";"241";"nan";"242";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328246";"48.852695";"000AF"
"2019-1067976";"2019-06-28";"1";"Vente";"4150000.0";"7";"None";"RUE DE LA CHAISE";"1682";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0031";"None";"None";"41";"17.78";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328246";"48.852695";"000AF"
"2019-1067661";"2019-06-25";"1";"Vente";"2606500.0";"4";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0053";"None";"None";"40";"nan";"7";"180.68";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"180.0";"6";"None";"None";"None";"None";"nan";"2.32605";"48.851936";"000AF"
"2019-1067564";"2019-06-21";"1";"Vente";"65000.0";"11";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0020";"None";"None";"129";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.328584";"48.852738";"000AF"
"2019-1067554";"2019-06-14";"1";"Vente";"2380000.0";"41";"None";"BD RASPAIL";"8045";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AF0041";"None";"None";"12";"nan";"64";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"203.0";"5";"None";"None";"None";"None";"nan";"2.327066";"48.85193";"000AF"
