id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068741";"2019-12-10";"1";"Vente";"1650000.0";"93";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0004";"None";"None";"10";"nan";"101";"nan";"55";"105.72";"None";"None";"None";"None";"3";"2";"Appartement";"108.0";"5";"None";"None";"None";"None";"None";"2.324101";"48.853677";"000AG"
"2019-1068741";"2019-12-10";"1";"Vente";"1650000.0";"93";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0004";"None";"None";"73";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.324101";"48.853677";"000AG"
"2019-1068671";"2019-10-30";"1";"Vente";"4563300.0";"14";"None";"RUE CHOMEL";"2017";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0032";"None";"None";"25";"nan";"45";"170.29";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"184.0";"6";"None";"None";"None";"None";"None";"2.324511";"48.851939";"000AG"
"2019-1068680";"2019-10-14";"1";"Vente";"100.0";"97";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0007";"None";"None";"154";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"141.0";"5";"None";"None";"None";"None";"None";"2.32437";"48.853307";"000AG"
"2019-1067528";"2019-06-18";"1";"Vente";"2300000.0";"93";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0004";"None";"None";"20";"nan";"21";"nan";"49";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"121.0";"5";"None";"None";"None";"None";"None";"2.324101";"48.853677";"000AG"
"2019-1067563";"2019-06-11";"1";"Vente";"146000.0";"13";"None";"RUE DE VARENNE";"9597";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0020";"None";"None";"29";"11.49";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.325859";"48.853243";"000AG"
"2019-1067427";"2019-06-06";"1";"Vente";"1150000.0";"6";"None";"RUE DE COMMAILLE";"2225";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0012";"None";"None";"10";"54.84";"32";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"53.0";"3";"None";"None";"None";"None";"None";"2.324382";"48.852797";"000AG"
"2019-1067366";"2019-05-24";"1";"Vente";"300000.0";"25";"None";"RUE DE VARENNE";"9597";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0002";"None";"None";"15";"nan";"16";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"33.0";"2";"None";"None";"None";"None";"None";"2.324169";"48.853786";"000AG"
"2019-1066988";"2019-04-26";"1";"Vente";"1347700.0";"6";"None";"RUE DE COMMAILLE";"2225";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0012";"None";"None";"29";"nan";"8";"55.64";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"53.0";"3";"None";"None";"None";"None";"None";"2.324382";"48.852797";"000AG"
"2019-1067035";"2019-04-18";"1";"Vente";"12000.0";"93";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AG0004";"None";"None";"27";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"42.0";"0";"None";"None";"None";"None";"None";"2.324101";"48.853677";"000AG"
