id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068657";"2019-10-18";"1";"Vente";"800500.0";"25";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0001";"None";"None";"22";"nan";"4";"66.1";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"68.0";"3";"None";"None";"None";"None";"nan";"2.319463";"48.852899";"000AJ"
"2019-1067475";"2019-06-18";"1";"Vente";"824500.0";"41";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0009";"None";"None";"25";"68.47";"7";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"60.0";"3";"None";"None";"None";"None";"nan";"2.319278";"48.851878";"000AJ"
"2019-1066860";"2019-04-12";"1";"Vente";"2860000.0";"29";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0003";"None";"None";"19";"nan";"28";"nan";"39";"None";"4";"None";"42";"None";"5";"2";"Appartement";"88.0";"2";"None";"None";"None";"None";"nan";"2.319407";"48.852672";"000AJ"
"2019-1066860";"2019-04-12";"1";"Vente";"2860000.0";"29";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0003";"None";"None";"19";"nan";"28";"nan";"39";"None";"4";"None";"42";"None";"5";"4";"Local industriel. commercial ou assimilé";"50.0";"0";"None";"None";"None";"None";"nan";"2.319407";"48.852672";"000AJ"
"2019-1066581";"2019-02-28";"1";"Vente";"6100000.0";"122";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0014";"None";"None";"15";"nan";"2";"239.1";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"273.0";"0";"None";"None";"None";"None";"nan";"2.323105";"48.852266";"000AJ"
"2018-1372172";"2018-12-26";"1";"Vente";"4154000.0";"114";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0018";"None";"None";"38";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"83.0";"4";"None";"None";"None";"None";"nan";"2.323127";"48.85284";"000AJ"
"2018-1372172";"2018-12-26";"1";"Vente";"4154000.0";"114";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0018";"None";"None";"40";"nan";"71";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"83.0";"5";"None";"None";"None";"None";"nan";"2.323127";"48.85284";"000AJ"
"2018-1372172";"2018-12-26";"1";"Vente";"4154000.0";"114";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0018";"None";"None";"67";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"83.0";"5";"None";"None";"None";"None";"nan";"2.323127";"48.85284";"000AJ"
"2018-1371668";"2018-11-19";"1";"Vente";"530000.0";"114";"None";"RUE DU BAC";"0620";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0018";"None";"None";"21";"nan";"8";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"32.0";"2";"None";"None";"None";"None";"nan";"2.323127";"48.85284";"000AJ"
"2018-1370239";"2018-07-05";"1";"Vente";"1425000.0";"29";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AJ0003";"None";"None";"9";"55.79";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"2";"None";"None";"None";"None";"nan";"2.319407";"48.852672";"000AJ"
