id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068087";"2019-07-31";"1";"Vente";"960000.0";"67";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0003";"None";"None";"19";"nan";"26";"54.4";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"54.0";"3";"None";"None";"None";"None";"None";"2.310698";"48.859714";"000AV"
"2019-1068001";"2019-07-25";"1";"Vente";"294000.0";"36";"None";"RUE FABERT";"3477";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0030";"None";"None";"101";"29.26";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"28.0";"0";"None";"None";"None";"None";"None";"2.311043";"48.859625";"000AV"
"2019-1067910";"2019-07-10";"1";"Vente";"865000.0";"148";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0019";"None";"None";"2";"138.51";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"198.0";"0";"None";"None";"None";"None";"None";"2.310648";"48.858374";"000AV"
"2019-1067506";"2019-06-11";"1";"Vente";"947000.0";"65";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0031";"None";"None";"26";"nan";"40";"65.18";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"66.0";"3";"None";"None";"None";"None";"None";"2.310878";"48.859719";"000AV"
"2019-1067653";"2019-06-04";"1";"Vente";"293900.0";"41";"None";"BD DE LA TOUR MAUBOURG";"5383";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0010";"None";"None";"36";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"12.0";"1";"None";"None";"None";"None";"None";"2.310531";"48.858833";"000AV"
"2019-1067653";"2019-06-04";"1";"Vente";"293900.0";"41";"None";"BD DE LA TOUR MAUBOURG";"5383";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0010";"None";"None";"18";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"11.0";"1";"None";"None";"None";"None";"None";"2.310531";"48.858833";"000AV"
"2019-1066846";"2019-04-12";"1";"Vente";"1790000.0";"46";"None";"RUE FABERT";"3477";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0022";"None";"None";"4";"114.93";"75";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"116.0";"3";"None";"None";"None";"None";"None";"2.310812";"48.858693";"000AV"
"2019-1066846";"2019-04-12";"1";"Vente";"1790000.0";"46";"None";"RUE FABERT";"3477";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0022";"None";"None";"31";"9.63";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.310812";"48.858693";"000AV"
"2019-1066285";"2019-02-20";"1";"Vente";"716167.0";"67";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0003";"None";"None";"17";"nan";"7";"59.92";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"60.0";"2";"None";"None";"None";"None";"None";"2.310698";"48.859714";"000AV"
"2019-1066287";"2019-02-20";"1";"Vente";"165000.0";"148";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AV0019";"None";"None";"16";"14.05";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.310648";"48.858374";"000AV"
