id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068755";"2019-12-26";"1";"Vente";"1300000.0";"52";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0015";"None";"None";"49";"nan";"51";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"100.0";"4";"None";"None";"None";"None";"None";"2.316642";"48.856552";"000AY"
"2019-1068715";"2019-12-03";"1";"Vente";"2332000.0";"109";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0049";"None";"None";"27";"nan";"35";"nan";"5";"173.75";"None";"nan";"None";"nan";"3";"2";"Appartement";"190.0";"5";"None";"None";"None";"None";"None";"2.318274";"48.857167";"000AY"
"2019-1068716";"2019-11-29";"1";"Vente";"485000.0";"119";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0006";"None";"None";"2";"nan";"74";"43.33";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"44.0";"3";"None";"None";"None";"None";"None";"2.317231";"48.857477";"000AY"
"2019-1068322";"2019-09-03";"1";"Vente";"340000.0";"15";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0017";"None";"None";"109";"33.17";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"None";"2.315751";"48.856428";"000AY"
"2019-1067947";"2019-07-16";"1";"Vente";"2451350.0";"121";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0005";"None";"None";"25";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"17.0";"1";"None";"None";"None";"None";"None";"2.317005";"48.857441";"000AY"
"2019-1067947";"2019-07-16";"1";"Vente";"2451350.0";"121";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0005";"None";"None";"10";"nan";"26";"nan";"27";"nan";"None";"nan";"None";"nan";"3";"2";"Appartement";"88.0";"3";"None";"None";"None";"None";"None";"2.317005";"48.857441";"000AY"
"2019-1067947";"2019-07-16";"1";"Vente";"2451350.0";"121";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0005";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.317005";"48.857441";"000AY"
"2019-1067559";"2019-06-27";"1";"Vente";"1740000.0";"51";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0036";"None";"None";"37";"nan";"38";"nan";"4";"110.48";"None";"nan";"None";"nan";"3";"2";"Appartement";"112.0";"5";"None";"None";"None";"None";"None";"2.317455";"48.856368";"000AY"
"2019-1067723";"2019-06-24";"1";"Vente";"40000.0";"15";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0017";"None";"None";"101";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.315751";"48.856428";"000AY"
"2019-1067704";"2019-06-14";"1";"Vente";"85000.0";"15";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0017";"None";"None";"38";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.315751";"48.856428";"000AY"
"2019-1067576";"2019-06-05";"1";"Vente";"1200000.0";"62";"None";"RUE DE BELLECHASSE";"0825";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0058";"None";"None";"26";"nan";"3";"120.91";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"114.0";"5";"None";"None";"None";"None";"None";"2.320679";"48.856216";"000AY"
"2019-1067215";"2019-05-17";"1";"Vente";"430000.0";"17";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0018";"None";"None";"11";"35.8";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"41.0";"3";"None";"None";"None";"None";"None";"2.3153";"48.856281";"000AY"
"2019-1067162";"2019-05-09";"1";"Vente";"950000.0";"61";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0030";"None";"None";"5";"75.09";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"76.0";"5";"None";"None";"None";"None";"None";"2.317082";"48.855755";"000AY"
"2019-1067211";"2019-05-09";"1";"Vente";"297900.0";"47";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0038";"None";"None";"110";"23.06";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"20.0";"1";"None";"None";"None";"None";"None";"2.317473";"48.856592";"000AY"
"2019-1066818";"2019-03-29";"1";"Vente";"5640000.0";"42";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0009";"None";"None";"65";"nan";"66";"nan";"67";"nan";"76";"9.6";"87";"184.9";"7";"4";"Local industriel. commercial ou assimilé";"280.0";"0";"None";"None";"None";"None";"None";"2.316823";"48.857192";"000AY"
"2019-1066818";"2019-03-29";"1";"Vente";"5640000.0";"42";"B";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0009";"None";"None";"88";"172.1";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"178.0";"0";"None";"None";"None";"None";"None";"2.316823";"48.857192";"000AY"
"2019-1066605";"2019-03-22";"1";"Vente";"649100.0";"38";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0007";"None";"None";"45";"nan";"68";"54.1";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"51.0";"2";"None";"None";"None";"None";"None";"2.317146";"48.857285";"000AY"
"2019-1066584";"2019-03-19";"1";"Vente";"1774000.0";"54";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0016";"None";"None";"11";"nan";"45";"111.04";"99";"nan";"None";"nan";"None";"nan";"3";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"None";"2.31644";"48.856343";"000AY"
"2019-1066584";"2019-03-19";"1";"Vente";"1774000.0";"54";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0016";"None";"None";"11";"nan";"45";"111.04";"99";"nan";"None";"nan";"None";"nan";"3";"4";"Local industriel. commercial ou assimilé";"60.0";"0";"None";"None";"None";"None";"None";"2.31644";"48.856343";"000AY"
"2019-1066255";"2019-02-20";"1";"Vente";"40000.0";"15";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0017";"None";"None";"28";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.315751";"48.856428";"000AY"
"2019-1066279";"2019-02-19";"1";"Vente";"676400.0";"54";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0016";"None";"None";"126";"nan";"127";"nan";"128";"nan";"158";"nan";"None";"nan";"4";"2";"Appartement";"12.0";"1";"None";"None";"None";"None";"None";"2.31644";"48.856343";"000AY"
"2019-1066279";"2019-02-19";"1";"Vente";"676400.0";"54";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0016";"None";"None";"126";"nan";"127";"nan";"128";"nan";"158";"nan";"None";"nan";"4";"4";"Local industriel. commercial ou assimilé";"37.0";"0";"None";"None";"None";"None";"None";"2.31644";"48.856343";"000AY"
"2019-1066212";"2019-02-11";"1";"Vente";"340000.0";"62";"None";"RUE DE BELLECHASSE";"0825";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0058";"None";"None";"14";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"5.0";"1";"None";"None";"None";"None";"None";"2.320679";"48.856216";"000AY"
"2019-1066212";"2019-02-11";"1";"Vente";"340000.0";"62";"None";"RUE DE BELLECHASSE";"0825";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0058";"None";"None";"12";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.320679";"48.856216";"000AY"
"2019-1066328";"2019-02-08";"1";"Vente";"450000.0";"17";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0018";"None";"None";"10";"34.36";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"41.0";"3";"None";"None";"None";"None";"None";"2.3153";"48.856281";"000AY"
"2019-1066009";"2019-01-15";"1";"Vente";"1050000.0";"59";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0032";"None";"None";"51";"nan";"52";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"28.0";"2";"None";"None";"None";"None";"None";"2.317223";"48.855901";"000AY"
"2019-1066009";"2019-01-15";"1";"Vente";"1050000.0";"59";"None";"RUE DE BOURGOGNE";"1202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000AY0032";"None";"None";"53";"nan";"60";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"65.0";"3";"None";"None";"None";"None";"None";"2.317223";"48.855901";"000AY"
