id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068591";"2019-09-27";"1";"Vente";"110000.0";"44";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0038";"None";"None";"48";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.318619";"48.851878";"000BE"
"2019-1068284";"2019-08-06";"1";"Vente";"85000.0";"44";"None";"RUE BARBET DE JOUY";"0664";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0011";"None";"None";"25";"8.05";"34";"8.05";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"72.0";"3";"None";"None";"None";"None";"nan";"2.316975";"48.851908";"000BE"
"2019-1068156";"2019-07-25";"1";"Vente";"920000.0";"44";"None";"RUE BARBET DE JOUY";"0664";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0011";"None";"None";"18";"66.83";"7";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"72.0";"4";"None";"None";"None";"None";"nan";"2.316975";"48.851908";"000BE"
"2019-1068025";"2019-07-16";"1";"Vente";"55000.0";"58";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0015";"None";"None";"14";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.317662";"48.851943";"000BE"
"2019-1067829";"2019-07-10";"1";"Vente";"465000.0";"44";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0038";"None";"None";"4";"30.53";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"2";"None";"None";"None";"None";"nan";"2.318619";"48.851878";"000BE"
"2019-1067694";"2019-06-20";"1";"Vente";"200000.0";"36";"None";"RUE VANEAU";"9588";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0034";"None";"None";"65";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.318548";"48.852184";"000BE"
"2019-1067436";"2019-06-17";"1";"Vente";"450000.0";"56";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0016";"None";"None";"22";"31.25";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"1";"None";"None";"None";"None";"nan";"2.31783";"48.851951";"000BE"
"2019-1067471";"2019-05-29";"1";"Vente";"55000000.0";"38";"None";"RUE BARBET DE JOUY";"0664";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0006";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"667.0";"20";"S";"sols";"None";"None";"969.0";"2.31687";"48.85234";"000BE"
"2019-1067457";"2019-05-24";"1";"Vente";"7000.0";"42";"None";"RUE BARBET DE JOUY";"0664";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0010";"None";"None";"9";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.316926";"48.851956";"000BE"
"2019-1067364";"2019-05-17";"1";"Vente";"443000.0";"56";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BE0016";"None";"None";"19";"32.54";"23";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"32.0";"2";"None";"None";"None";"None";"nan";"2.31783";"48.851951";"000BE"
