id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068483";"2019-09-13";"1";"Vente";"1235000.0";"11";"None";"RUE MONSIEUR";"6442";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0020";"None";"None";"45";"nan";"9";"82.74";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"85.0";"3";"None";"None";"None";"None";"nan";"2.316748";"48.850851";"000BF"
"2019-1068266";"2019-08-27";"1";"Vente";"40000.0";"43";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0033";"None";"None";"1008";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.318753";"48.85149";"000BF"
"2019-1068245";"2019-07-31";"1";"Vente";"80000.0";"11";"None";"RUE MONSIEUR";"6442";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0020";"None";"None";"23";"9.3";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.316748";"48.850851";"000BF"
"2019-1067735";"2019-07-05";"1";"Vente";"1016500.0";"10";"None";"RUE OUDINOT";"6971";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0029";"None";"None";"55";"58.23";"57";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"65.0";"3";"None";"None";"None";"None";"nan";"2.317892";"48.850589";"000BF"
"2019-1067735";"2019-07-05";"1";"Vente";"1016500.0";"10";"None";"RUE OUDINOT";"6971";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0029";"None";"None";"64";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.317892";"48.850589";"000BF"
"2019-1067805";"2019-07-05";"1";"Vente";"45000.0";"11";"None";"RUE MONSIEUR";"6442";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0020";"None";"None";"17";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.316748";"48.850851";"000BF"
"2019-1067730";"2019-06-28";"1";"Vente";"1080000.0";"10";"None";"RUE OUDINOT";"6971";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0029";"None";"None";"49";"82.53";"51";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"86.0";"4";"None";"None";"None";"None";"nan";"2.317892";"48.850589";"000BF"
"2019-1067655";"2019-06-13";"1";"Vente";"37209.0";"43";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0033";"None";"None";"1027";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.318753";"48.85149";"000BF"
"2019-1067146";"2019-05-20";"1";"Vente";"3775800.0";"21";"None";"RUE MONSIEUR";"6442";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0013";"None";"None";"10";"208.86";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"208.0";"6";"None";"None";"None";"None";"nan";"2.316776";"48.850088";"000BF"
"2019-1067179";"2019-05-06";"1";"Vente";"425000.0";"43";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0033";"None";"None";"10";"nan";"10020";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"35.0";"1";"None";"None";"None";"None";"nan";"2.318753";"48.85149";"000BF"
"2019-1067076";"2019-04-26";"1";"Vente";"1355000.0";"51";"None";"RUE DE BABYLONE";"0618";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BF0027";"None";"None";"6";"108.01";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"105.0";"4";"None";"None";"None";"None";"nan";"2.31754";"48.851297";"000BF"
