id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068656";"2019-10-29";"1";"Vente";"685000.0";"72";"None";"RUE DE SEVRES";"8955";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0020";"None";"None";"157";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"65.0";"0";"None";"None";"None";"None";"None";"2.318521";"48.848022";"000BH"
"2019-1068556";"2019-09-20";"1";"Vente";"1798376.0";"5";"None";"AV CONSTANT COQUELIN";"2285";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0004";"None";"None";"14";"99.98";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"85.0";"4";"None";"None";"None";"None";"None";"2.316727";"48.848363";"000BH"
"2019-1068566";"2019-09-18";"1";"Vente";"375000.0";"74";"None";"RUE DE SEVRES";"8955";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0021";"None";"None";"33";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"27.0";"2";"None";"None";"None";"None";"None";"2.318275";"48.848124";"000BH"
"2019-1068563";"2019-09-09";"1";"Vente";"70000.0";"18";"None";"RUE ROUSSELET";"8400";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0012";"None";"None";"73";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.318049";"48.848709";"000BH"
"2019-1068363";"2019-08-30";"1";"Vente";"285000.0";"24";"None";"RUE ROUSSELET";"8400";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0015";"None";"None";"33";"23.65";"43";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"28.0";"2";"None";"None";"None";"None";"None";"2.318376";"48.848383";"000BH"
"2019-1068152";"2019-07-17";"2";"Vente";"49000.0";"3";"None";"AV CONSTANT COQUELIN";"2285";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0003";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"184.0";"5";"None";"None";"None";"None";"None";"2.316509";"48.848283";"000BH"
"2019-1068152";"2019-07-17";"2";"Vente";"49000.0";"3";"None";"AV CONSTANT COQUELIN";"2285";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0003";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.316509";"48.848283";"000BH"
"2019-1068152";"2019-07-17";"2";"Vente";"49000.0";"3";"None";"AV CONSTANT COQUELIN";"2285";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0003";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.316509";"48.848283";"000BH"
"2019-1068152";"2019-07-17";"2";"Vente";"49000.0";"3";"None";"AV CONSTANT COQUELIN";"2285";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0003";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"30.0";"0";"None";"None";"None";"None";"None";"2.316509";"48.848283";"000BH"
"2019-1067944";"2019-07-11";"1";"Vente";"42000.0";"23";"None";"RUE OUDINOT";"6971";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BH0036";"None";"None";"210";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.316975";"48.849464";"000BH"
