id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068694";"2019-10-31";"1";"Vente";"231500.0";"37";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0034";"None";"None";"10";"17.2";"11";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"17.0";"1";"None";"None";"None";"None";"None";"2.312532";"48.84917";"000BK"
"2019-1068552";"2019-09-23";"1";"Vente";"3364500.0";"46";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0020";"None";"None";"31";"205.97";"35";"nan";"36";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"210.0";"8";"None";"None";"None";"None";"None";"2.314645";"48.849483";"000BK"
"2019-1068552";"2019-09-23";"1";"Vente";"3364500.0";"46";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0020";"None";"None";"26";"nan";"27";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.314645";"48.849483";"000BK"
"2019-1068580";"2019-09-12";"1";"Vente";"288000.0";"33";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0036";"None";"None";"34";"21.95";"35";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"22.0";"1";"None";"None";"None";"None";"None";"2.312531";"48.849457";"000BK"
"2019-1068469";"2019-09-09";"1";"Vente";"55000.0";"16";"None";"AV DE VILLARS";"9820";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0042";"None";"None";"40";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.313504";"48.851545";"000BK"
"2019-1068402";"2019-09-05";"1";"Vente";"678800.0";"23";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0003";"None";"None";"11";"nan";"2";"58.75";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"60.0";"3";"None";"None";"None";"None";"None";"2.31275";"48.85124";"000BK"
"2019-1067773";"2019-07-09";"1";"Vente";"40000.0";"46";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0020";"None";"None";"21";"10.75";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.314645";"48.849483";"000BK"
"2019-1067825";"2019-07-05";"1";"Vente";"7500.0";"50";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0031";"None";"None";"80";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.313327";"48.849218";"000BK"
"2019-1067606";"2019-06-25";"1";"Vente";"1392216.8";"36";"None";"BD DES INVALIDES";"4726";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0012";"None";"None";"20";"92.04";"21";"nan";"29";"nan";"37";"None";"None";"None";"4";"2";"Appartement";"102.0";"3";"None";"None";"None";"None";"None";"2.314252";"48.850161";"000BK"
"2019-1067388";"2019-05-16";"1";"Vente";"2370000.0";"4";"None";"PL DU PRESIDENT MITHOUARD";"7802";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BK0006";"None";"None";"30";"nan";"8";"163.45";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"176.0";"4";"None";"None";"None";"None";"None";"2.313172";"48.851414";"000BK"
