id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068169";"2019-07-31";"1";"Vente";"1390000.0";"53";"None";"AV DE SEGUR";"8909";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0004";"None";"None";"26";"103.84";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"38.0";"1";"None";"None";"None";"None";"nan";"2.308574";"48.849736";"000BN"
"2019-1068026";"2019-07-30";"1";"Vente";"2355300.0";"15";"None";"AV DE SAXE";"8866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0007";"None";"None";"138";"133.67";"26";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"126.0";"4";"None";"None";"None";"None";"nan";"2.309371";"48.84951";"000BN"
"2019-1068026";"2019-07-30";"1";"Vente";"2355300.0";"13";"None";"AV DE SAXE";"8866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0007";"None";"None";"148";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.309371";"48.84951";"000BN"
"2019-1068170";"2019-07-18";"1";"Vente";"295000.0";"66";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0021";"None";"None";"107";"24.89";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"25.0";"0";"None";"None";"None";"None";"nan";"2.31088";"48.848535";"000BN"
"2019-1067776";"2019-06-27";"1";"Vente";"1320000.0";"54";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0018";"None";"None";"7";"96.75";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"97.0";"6";"None";"None";"None";"None";"nan";"2.311013";"48.849591";"000BN"
"2019-1067426";"2019-06-10";"1";"Vente";"800000.0";"66";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0021";"None";"None";"38";"61.2";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"60.0";"3";"None";"None";"None";"None";"nan";"2.31088";"48.848535";"000BN"
"2019-1067095";"2019-05-10";"1";"Vente";"135000.0";"53";"None";"AV DE SEGUR";"8909";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0004";"None";"None";"52";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308574";"48.849736";"000BN"
"2019-1067477";"2019-05-09";"1";"Vente";"605000.0";"9";"None";"AV DE SAXE";"8866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0005";"None";"None";"6";"41.12";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"46.0";"2";"None";"None";"None";"None";"nan";"2.308717";"48.849616";"000BN"
"2019-1067015";"2019-05-02";"1";"Vente";"859400.0";"66";"None";"AV DE BRETEUIL";"1277";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0021";"None";"None";"44";"56.17";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"57.0";"2";"None";"None";"None";"None";"nan";"2.31088";"48.848535";"000BN"
"2019-1067003";"2019-04-11";"1";"Vente";"1215000.0";"49";"None";"AV DE SEGUR";"8909";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0001";"None";"None";"101";"nan";"11";"100.58";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"100.0";"4";"None";"None";"None";"None";"nan";"2.309285";"48.850127";"000BN"
"2019-1066912";"2019-04-09";"1";"Vente";"55000.0";"11";"None";"AV DE SAXE";"8866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BN0005";"None";"None";"37";"7.0";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308717";"48.849616";"000BN"
