id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068733";"2019-12-04";"1";"Vente";"32500.0";"143";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0030";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.307577";"48.847441";"000BO"
"2019-1068627";"2019-10-21";"1";"Vente";"2257692.0";"143";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0030";"None";"None";"5";"200.45";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"170.0";"5";"None";"None";"None";"None";"nan";"2.307577";"48.847441";"000BO"
"2019-1068627";"2019-10-21";"1";"Vente";"2257692.0";"143";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0030";"None";"None";"46";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.307577";"48.847441";"000BO"
"2019-1068627";"2019-10-21";"1";"Vente";"2257692.0";"143";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0030";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.307577";"48.847441";"000BO"
"2019-1068627";"2019-10-21";"1";"Vente";"2257692.0";"143";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0030";"None";"None";"5";"200.45";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"20.0";"0";"None";"None";"None";"None";"nan";"2.307577";"48.847441";"000BO"
"2019-1068394";"2019-09-12";"1";"Vente";"600000.0";"6";"None";"RUE LEON VAUDOYER";"5578";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0041";"None";"None";"16";"57.18";"45";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"58.0";"3";"None";"None";"None";"None";"nan";"2.308451";"48.848032";"000BO"
"2019-1068441";"2019-09-09";"1";"Vente";"652800.0";"6";"None";"RUE LEON VAUDOYER";"5578";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0041";"None";"None";"43";"44.01";"51";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"nan";"2.308451";"48.848032";"000BO"
"2019-1068246";"2019-07-29";"1";"Vente";"1400000.0";"9";"None";"RUE JOSE MARIA DE HEREDIA";"5002";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0034";"None";"None";"23";"103.05";"35";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"101.0";"4";"None";"None";"None";"None";"nan";"2.308037";"48.847888";"000BO"
"2019-1068191";"2019-07-18";"1";"Vente";"365000.0";"42";"B";"AV DE SAXE";"8866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0051";"None";"None";"110";"nan";"22";"28.37";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"28.0";"1";"None";"None";"None";"None";"nan";"2.309591";"48.848111";"000BO"
"2019-1068090";"2019-07-18";"1";"Vente";"300000.0";"9";"None";"RUE JOSE MARIA DE HEREDIA";"5002";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BO0034";"None";"None";"46";"25.19";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"25.0";"0";"None";"None";"None";"None";"nan";"2.308037";"48.847888";"000BO"
