id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068634";"2019-10-08";"1";"Vente";"6698100.0";"11";"None";"PL VAUBAN";"9611";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"360";"nan";"58";"264.37";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"180.0";"4";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1068634";"2019-10-08";"1";"Vente";"6698100.0";"1";"B";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"108";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1068634";"2019-10-08";"1";"Vente";"6698100.0";"1";"B";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"107";"19.44";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1068634";"2019-10-08";"1";"Vente";"6698100.0";"11";"None";"PL VAUBAN";"9611";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"360";"nan";"58";"264.37";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"90.0";"0";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1068160";"2019-07-10";"1";"Vente";"423000.0";"9";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0008";"None";"None";"22";"38.8";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"38.0";"2";"None";"None";"None";"None";"nan";"2.307831";"48.853563";"000BR"
"2019-1067743";"2019-07-03";"1";"Vente";"693900.0";"1";"B";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"70";"49.7";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"53.0";"2";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1067939";"2019-07-02";"1";"Vente";"213000.0";"15";"None";"PL VAUBAN";"9611";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"297";"14.33";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1067531";"2019-06-17";"1";"Vente";"38000.0";"6";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0013";"None";"None";"77";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308632";"48.853382";"000BR"
"2019-1067254";"2019-05-28";"1";"Vente";"75000.0";"4";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0018";"None";"None";"20";"8.14";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308999";"48.853419";"000BR"
"2019-1067158";"2019-05-17";"1";"Vente";"50000.0";"6";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0013";"None";"None";"78";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308632";"48.853382";"000BR"
"2019-1067293";"2019-05-16";"1";"Vente";"680000.0";"2";"B";"AV DE SEGUR";"8909";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0025";"None";"None";"15";"nan";"54";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"60.0";"2";"None";"None";"None";"None";"nan";"2.310485";"48.852724";"000BR"
"2019-1067081";"2019-05-07";"1";"Vente";"839950.0";"10";"A";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0044";"None";"None";"15";"75.3";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"78.0";"2";"None";"None";"None";"None";"nan";"2.308488";"48.853319";"000BR"
"2019-1067182";"2019-05-02";"1";"Vente";"2025140.0";"19";"None";"AV DE TOURVILLE";"9393";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0011";"None";"None";"68";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"98.0";"4";"None";"None";"None";"None";"nan";"2.308216";"48.853681";"000BR"
"2019-1067182";"2019-05-02";"1";"Vente";"2025140.0";"19";"None";"AV DE TOURVILLE";"9393";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0011";"None";"None";"50";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308216";"48.853681";"000BR"
"2019-1067182";"2019-05-02";"1";"Vente";"2025140.0";"19";"None";"AV DE TOURVILLE";"9393";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0011";"None";"None";"51";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"5.0";"0";"None";"None";"None";"None";"nan";"2.308216";"48.853681";"000BR"
"2019-1067049";"2019-04-24";"1";"Vente";"2100000.0";"33";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0034";"None";"None";"8";"116.15";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"119.0";"4";"None";"None";"None";"None";"nan";"2.309875";"48.852272";"000BR"
"2019-1067049";"2019-04-24";"1";"Vente";"2100000.0";"33";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0034";"None";"None";"8";"116.15";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.309875";"48.852272";"000BR"
"2019-1067068";"2019-04-19";"1";"Vente";"115000.0";"19";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0016";"None";"None";"61";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308477";"48.853132";"000BR"
"2019-1066734";"2019-03-28";"1";"Vente";"1350000.0";"4";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0018";"None";"None";"33";"nan";"36";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"90.0";"3";"None";"None";"None";"None";"nan";"2.308999";"48.853419";"000BR"
"2019-1066736";"2019-03-22";"1";"Vente";"830000.0";"6";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0013";"None";"None";"131";"51.7";"49";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"52.0";"2";"None";"None";"None";"None";"nan";"2.308632";"48.853382";"000BR"
"2019-1066631";"2019-03-20";"1";"Vente";"78000.0";"15";"None";"PL VAUBAN";"9611";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"44";"13.05";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2019-1066520";"2019-03-05";"1";"Vente";"1052000.0";"27";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0036";"None";"None";"23";"68.36";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"67.0";"3";"None";"None";"None";"None";"nan";"2.309583";"48.852576";"000BR"
"2019-1066537";"2019-02-27";"1";"Vente";"750000.0";"33";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0034";"None";"None";"15";"nan";"17";"97.2";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"18.0";"0";"None";"None";"None";"None";"nan";"2.309875";"48.852272";"000BR"
"2019-1066537";"2019-02-27";"1";"Vente";"750000.0";"33";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0034";"None";"None";"17";"97.2";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"22.0";"0";"None";"None";"None";"None";"nan";"2.309875";"48.852272";"000BR"
"2019-1066537";"2019-02-27";"1";"Vente";"750000.0";"33";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0034";"None";"None";"15";"nan";"17";"97.2";"None";"nan";"None";"nan";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"81.0";"0";"None";"None";"None";"None";"nan";"2.309875";"48.852272";"000BR"
"2019-1066171";"2019-02-04";"1";"Vente";"40000.0";"19";"None";"AV DE TOURVILLE";"9393";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0011";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308216";"48.853681";"000BR"
"2019-1066015";"2019-01-15";"1";"Vente";"430000.0";"13";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0009";"None";"None";"3";"50.6";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"83.0";"0";"None";"None";"None";"None";"nan";"2.308012";"48.853459";"000BR"
"2019-1065951";"2019-01-10";"1";"Vente";"475000.0";"6";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0013";"None";"None";"136";"35.5";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"35.0";"1";"None";"None";"None";"None";"nan";"2.308632";"48.853382";"000BR"
"2018-1372190";"2018-12-28";"1";"Vente";"415000.0";"3";"None";"RUE BIXIO";"0991";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0024";"None";"None";"163";"nan";"164";"nan";"165";"nan";"166";"nan";"504";"None";"5";"2";"Appartement";"40.0";"2";"None";"None";"None";"None";"nan";"2.310823";"48.853251";"000BR"
"2018-1372167";"2018-12-21";"1";"Vente";"540000.0";"2";"B";"AV DE SEGUR";"8909";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0025";"None";"None";"20";"nan";"29";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"35.0";"1";"None";"None";"None";"None";"nan";"2.310485";"48.852724";"000BR"
"2018-1371837";"2018-11-29";"2";"Vente";"530450.0";"29";"None";"AV DUQUESNE";"3023";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0035";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"32.0";"2";"None";"None";"None";"None";"nan";"2.309601";"48.852412";"000BR"
"2018-1371625";"2018-11-15";"1";"Vente";"8100000.0";"5";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0039";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"43.0";"2";"S";"sols";"None";"None";"199.0";"2.30915";"48.852752";"000BR"
"2018-1371625";"2018-11-15";"1";"Vente";"8100000.0";"5";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0039";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"35.0";"2";"S";"sols";"None";"None";"199.0";"2.30915";"48.852752";"000BR"
"2018-1371625";"2018-11-15";"1";"Vente";"8100000.0";"5";"None";"AV DE LOWENDAL";"5827";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BR0039";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"0";"2";"Appartement";"24.0";"2";"S";"sols";"None";"None";"199.0";"2.30915";"48.852752";"000BR"
