id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068690";"2019-11-25";"1";"Vente";"2115132.0";"12";"None";"PL JOFFRE";"4985";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0013";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"49.0";"2";"None";"None";"None";"None";"None";"2.300561";"48.851676";"000BU"
"2019-1068690";"2019-11-25";"1";"Vente";"2115132.0";"12";"None";"PL JOFFRE";"4985";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0013";"None";"None";"31";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.300561";"48.851676";"000BU"
"2019-1068690";"2019-11-25";"1";"Vente";"2115132.0";"12";"None";"PL JOFFRE";"4985";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0013";"None";"None";"1";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"219.0";"0";"None";"None";"None";"None";"None";"2.300561";"48.851676";"000BU"
"2019-1068013";"2019-07-29";"1";"Vente";"126615.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"27";"24.12";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"2";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1068162";"2019-07-22";"1";"Vente";"110000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"26";"8.81";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
"2019-1067854";"2019-07-15";"1";"Echange";"5000.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"18";"nan";"19";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"192.0";"5";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1068157";"2019-07-15";"1";"Vente";"1135370.0";"6";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0021";"None";"None";"1";"93.24";"46";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"93.0";"3";"None";"None";"None";"None";"None";"2.300144";"48.852121";"000BU"
"2019-1067854";"2019-07-15";"2";"Echange";"5000.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"20";"nan";"21";"nan";"22";"nan";"None";"nan";"None";"None";"3";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1067828";"2019-07-09";"1";"Vente";"2310000.0";"12";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0012";"None";"None";"55";"114.22";"57";"nan";"80";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"114.0";"4";"None";"None";"None";"None";"None";"2.300701";"48.851782";"000BU"
"2019-1067828";"2019-07-09";"1";"Vente";"2310000.0";"12";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0012";"None";"None";"56";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.300701";"48.851782";"000BU"
"2019-1067788";"2019-07-08";"1";"Vente";"1566782.0";"69";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0016";"None";"None";"212";"nan";"217";"nan";"221";"nan";"273";"113.16";"None";"None";"4";"2";"Appartement";"125.0";"4";"None";"None";"None";"None";"None";"2.300372";"48.851782";"000BU"
"2019-1067663";"2019-07-02";"1";"Vente";"3890000.0";"10";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0021";"None";"None";"213";"234.1";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"235.0";"6";"None";"None";"None";"None";"None";"2.300144";"48.852121";"000BU"
"2019-1067663";"2019-07-02";"1";"Vente";"3890000.0";"4";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0021";"None";"None";"225";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"99.0";"3";"None";"None";"None";"None";"None";"2.300144";"48.852121";"000BU"
"2019-1067663";"2019-07-02";"1";"Vente";"3890000.0";"8";"None";"AV EMILE ACOLLAS";"3203";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0021";"None";"None";"247";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"216.0";"6";"None";"None";"None";"None";"None";"2.300144";"48.852121";"000BU"
"2019-1067835";"2019-06-28";"1";"Vente";"4631900.0";"39";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0004";"None";"None";"18";"nan";"19";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"12.0";"1";"None";"None";"None";"None";"None";"2.29956";"48.853229";"000BU"
"2019-1067835";"2019-06-28";"1";"Vente";"4631900.0";"39";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0004";"None";"None";"13";"nan";"25";"nan";"26";"nan";"4";"nan";"None";"None";"4";"2";"Appartement";"200.0";"6";"None";"None";"None";"None";"None";"2.29956";"48.853229";"000BU"
"2019-1067335";"2019-06-07";"1";"Vente";"1000.0";"69";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0016";"None";"None";"139";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.300372";"48.851782";"000BU"
"2019-1067250";"2019-05-28";"1";"Vente";"5014200.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"13";"nan";"26";"nan";"9";"164.85";"None";"nan";"None";"None";"3";"2";"Appartement";"180.0";"4";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1067250";"2019-05-28";"1";"Vente";"5014200.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1067250";"2019-05-28";"1";"Vente";"5014200.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"10";"16.18";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1067250";"2019-05-28";"1";"Vente";"5014200.0";"41";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0005";"None";"None";"12";"12.76";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299706";"48.853073";"000BU"
"2019-1067165";"2019-05-15";"1";"Vente";"408000.0";"44";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0032";"None";"None";"12";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"34.0";"2";"None";"None";"None";"None";"None";"2.298898";"48.852914";"000BU"
"2019-1067165";"2019-05-15";"1";"Vente";"408000.0";"44";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0032";"None";"None";"34";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298898";"48.852914";"000BU"
"2019-1066870";"2019-04-12";"1";"Vente";"5172000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"1";"nan";"46";"101.47";"8";"nan";"9";"nan";"None";"None";"4";"2";"Appartement";"100.0";"3";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
"2019-1066870";"2019-04-12";"1";"Vente";"5172000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"14";"nan";"45";"158.95";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"158.0";"4";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
"2019-1066870";"2019-04-12";"1";"Vente";"5172000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"35";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"134.0";"3";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
"2019-1066870";"2019-04-12";"1";"Vente";"5172000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"33";"11.66";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
"2019-1066840";"2019-03-28";"1";"Vente";"110000.0";"43";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BU0006";"None";"None";"27";"9.01";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.299864";"48.852946";"000BU"
