id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068651";"2019-10-17";"1";"Vente";"124760.0";"64";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0015";"None";"None";"27";"9.25";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.302932";"48.855545";"000BV"
"2019-1067728";"2019-06-25";"1";"Vente";"3100000.0";"74";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0022";"None";"None";"36";"nan";"7";"199.34";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"205.0";"7";"None";"None";"None";"None";"None";"2.304082";"48.854805";"000BV"
"2019-1067728";"2019-06-25";"1";"Vente";"3100000.0";"74";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0022";"None";"None";"23";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.304082";"48.854805";"000BV"
"2019-1067728";"2019-06-25";"1";"Vente";"3100000.0";"74";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0022";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.304082";"48.854805";"000BV"
"2019-1067760";"2019-06-12";"1";"Vente";"1470000.0";"78";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0026";"None";"None";"35";"123.09";"36";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"110.0";"4";"None";"None";"None";"None";"None";"2.304452";"48.854547";"000BV"
"2019-1067550";"2019-06-12";"1";"Vente";"130000.0";"78";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0026";"None";"None";"17";"10.76";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.304452";"48.854547";"000BV"
"2019-1067600";"2019-06-12";"1";"Vente";"120000.0";"2";"None";"PL JOFFRE";"4985";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0027";"None";"None";"48";"8.93";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.304625";"48.854436";"000BV"
"2019-1066504";"2019-02-26";"1";"Vente";"2500000.0";"19";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0010";"None";"None";"23";"nan";"64";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"156.0";"5";"None";"None";"None";"None";"None";"2.302817";"48.85546";"000BV"
"2019-1066336";"2019-02-14";"1";"Vente";"4180000.0";"18";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0004";"None";"None";"13";"nan";"8";"196.85";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"210.0";"5";"None";"None";"None";"None";"None";"2.301947";"48.855285";"000BV"
"2019-1066336";"2019-02-14";"1";"Vente";"4180000.0";"18";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0004";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.301947";"48.855285";"000BV"
"2019-1066214";"2019-01-29";"1";"Vente";"95000.0";"68";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0017";"None";"None";"33";"8.08";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.303319";"48.855322";"000BV"
"2019-1066159";"2019-01-18";"1";"Vente";"80000.0";"17";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0011";"None";"None";"128";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.302615";"48.855597";"000BV"
"2019-1066160";"2019-01-18";"1";"Vente";"60000.0";"17";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0011";"None";"None";"121";"6.3";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.302615";"48.855597";"000BV"
"2018-1372152";"2018-12-31";"1";"Vente";"3025050.0";"15";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0012";"None";"None";"13";"127.58";"15";"nan";"16";"nan";"69";"None";"None";"None";"4";"2";"Appartement";"126.0";"5";"None";"None";"None";"None";"None";"2.302342";"48.855736";"000BV"
"2018-1372152";"2018-12-31";"1";"Vente";"3025050.0";"15";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0012";"None";"None";"36";"nan";"48";"nan";"73";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.302342";"48.855736";"000BV"
"2018-1372152";"2018-12-31";"1";"Vente";"3025050.0";"15";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0012";"None";"None";"53";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.302342";"48.855736";"000BV"
"2018-1371961";"2018-12-18";"1";"Vente";"971000.0";"72";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BV0021";"None";"None";"43";"nan";"6";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"93.0";"2";"None";"None";"None";"None";"None";"2.303858";"48.854931";"000BV"
