id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068738";"2019-12-20";"1";"Vente";"538100.0";"25";"None";"RUE DU CHAMP DE MARS";"1717";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0097";"None";"None";"15";"40.54";"26";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"40.0";"3.0";"None";"None";"None";"None";"nan";"2.304369";"48.855927";"000BW"
"2019-1068588";"2019-10-03";"1";"Vente";"2404950.0";"28";"None";"RUE DU CHAMP DE MARS";"1717";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0001";"None";"None";"115";"nan";"227";"nan";"240";"nan";"243";"None";"244";"nan";"5";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"2.303321";"48.856254";"000BW"
"2019-1068588";"2019-10-03";"1";"Vente";"2404950.0";"28";"None";"RUE DU CHAMP DE MARS";"1717";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0001";"None";"None";"114";"138.89";"243";"nan";"244";"nan";"245";"None";"87";"138.89";"7";"2";"Appartement";"114.0";"4.0";"None";"None";"None";"None";"nan";"2.303321";"48.856254";"000BW"
"2019-1068622";"2019-09-25";"1";"Vente";"540000.0";"36";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0069";"None";"None";"37";"36.1";"57";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"37.0";"2.0";"None";"None";"None";"None";"nan";"2.306315";"48.855366";"000BW"
"2019-1068554";"2019-09-20";"1";"Vente";"1468800.0";"36";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0069";"None";"None";"28";"nan";"5";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"96.0";"2.0";"None";"None";"None";"None";"nan";"2.306315";"48.855366";"000BW"
"2019-1068541";"2019-09-05";"1";"Vente";"362000.0";"30";"None";"RUE BOSQUET";"1120";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0037";"None";"None";"1";"nan";"2";"36.35";"None";"nan";"None";"None";"None";"nan";"2";"4";"Local industriel. commercial ou assimilé";"51.0";"0.0";"None";"None";"None";"None";"nan";"2.305429";"48.855985";"000BW"
"2019-1068351";"2019-09-03";"1";"Vente";"545000.0";"3";"None";"PAS DE LA VIERGE";"9787";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0113";"None";"None";"24";"30.42";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"30.0";"2.0";"None";"None";"None";"None";"nan";"2.305991";"48.855504";"000BW"
"2019-1068351";"2019-09-03";"1";"Vente";"545000.0";"3";"None";"PAS DE LA VIERGE";"9787";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0113";"None";"None";"25";"17.54";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"17.0";"1.0";"None";"None";"None";"None";"nan";"2.305991";"48.855504";"000BW"
"2019-1068310";"2019-08-29";"1";"Vente";"1078200.0";"32";"None";"RUE BOSQUET";"1120";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0118";"None";"None";"5";"35.59";"7";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"37.0";"2.0";"None";"None";"None";"None";"nan";"2.305367";"48.855926";"000BW"
"2019-1068310";"2019-08-29";"1";"Vente";"1078200.0";"32";"None";"RUE BOSQUET";"1120";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0118";"None";"None";"4";"32.22";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"2.305367";"48.855926";"000BW"
"2019-1068330";"2019-08-08";"1";"Vente";"2133000.0";"40";"B";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0012";"None";"None";"15";"123.31";"19";"nan";"None";"nan";"None";"None";"None";"nan";"2";"2";"Appartement";"130.0";"5.0";"None";"None";"None";"None";"nan";"2.304195";"48.85639";"000BW"
"2019-1068046";"2019-07-31";"1";"Vente";"400000.0";"3";"None";"PAS DE LA VIERGE";"9787";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0113";"None";"None";"9";"34.33";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"35.0";"2.0";"None";"None";"None";"None";"nan";"2.305991";"48.855504";"000BW"
"2019-1068229";"2019-07-31";"1";"Vente";"329100.0";"25";"None";"RUE BOSQUET";"1120";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BW0046";"None";"None";"108";"25.66";"None";"nan";"None";"nan";"None";"None";"None";"nan";"1";"2";"Appartement";"27.0";"1.0";"None";"None";"None";"None";"nan";"2.305748";"48.855749";"000BW"
