id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068573";"2019-10-01";"1";"Vente";"58000.0";"29";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0065";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.307833";"48.854441";"000BX"
"2019-1068385";"2019-09-10";"1";"Vente";"40000.0";"13";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0039";"None";"None";"160";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308807";"48.855388";"000BX"
"2019-1068410";"2019-08-26";"1";"Vente";"990000.0";"27";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0008";"None";"None";"216";"63.34";"240";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"59.0";"3";"None";"None";"None";"None";"nan";"2.30747";"48.855075";"000BX"
"2019-1068132";"2019-08-01";"1";"Vente";"958000.0";"39";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0016";"None";"None";"28";"nan";"33";"69.01";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"68.0";"3";"None";"None";"None";"None";"nan";"2.306551";"48.854582";"000BX"
"2019-1068067";"2019-07-30";"1";"Vente";"90000.0";"13";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0039";"None";"None";"141";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"11.0";"0";"None";"None";"None";"None";"nan";"2.308807";"48.855388";"000BX"
"2019-1068067";"2019-07-30";"1";"Vente";"90000.0";"13";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0039";"None";"None";"142";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"11.0";"0";"None";"None";"None";"None";"nan";"2.308807";"48.855388";"000BX"
"2019-1068077";"2019-07-29";"1";"Vente";"350200.0";"39";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0016";"None";"None";"12";"23.76";"29";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"4";"Local industriel. commercial ou assimilé";"26.0";"0";"None";"None";"None";"None";"nan";"2.306551";"48.854582";"000BX"
"2019-1067948";"2019-07-09";"1";"Vente";"1100000.0";"19";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0036";"None";"None";"33";"78.63";"35";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"88.0";"4";"None";"None";"None";"None";"nan";"2.308421";"48.855201";"000BX"
"2019-1068034";"2019-07-08";"1";"Vente";"848950.0";"22";"None";"AV DE TOURVILLE";"9393";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0026";"None";"None";"51";"68.17";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"65.0";"4";"None";"None";"None";"None";"nan";"2.307153";"48.854386";"000BX"
"2019-1067757";"2019-06-28";"1";"Vente";"20000.0";"25";"None";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BX0007";"None";"None";"74";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"52.0";"3";"None";"None";"None";"None";"nan";"2.30756";"48.855202";"000BX"
