id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068724";"2019-11-27";"1";"Vente";"725000.0";"70";"None";"BD DE LA TOUR MAUBOURG";"5383";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0128";"None";"None";"34";"nan";"6";"40.95";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"39.0";"1.0";"None";"None";"None";"None";"nan";"2.309563";"48.856677";"000BY"
"2019-1068668";"2019-10-25";"1";"Vente";"596000.0";"23";"None";"RUE DUVIVIER";"3065";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0080";"None";"None";"13";"nan";"39";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"54.0";"3.0";"None";"None";"None";"None";"nan";"2.307514";"48.856414";"000BY"
"2019-1068643";"2019-10-24";"1";"Vente";"685000.0";"34";"None";"RUE CLER";"2106";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0033";"None";"None";"11";"51.06";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"2.306101";"48.856909";"000BY"
"2019-1068581";"2019-10-03";"1";"Vente";"4000.0";"22";"None";"RUE DUVIVIER";"3065";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0065";"None";"None";"25";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"28.0";"2.0";"None";"None";"None";"None";"nan";"2.306978";"48.856491";"000BY"
"2019-1068534";"2019-09-24";"1";"Vente";"697500.0";"16";"None";"RUE DUVIVIER";"3065";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0060";"None";"None";"1";"62.13";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"63.0";"2.0";"None";"None";"None";"None";"nan";"2.306774";"48.856906";"000BY"
"2019-1068430";"2019-09-12";"1";"Vente";"143000.0";"10";"None";"RUE DUVIVIER";"3065";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0054";"None";"None";"8";"11.03";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"12.0";"1.0";"None";"None";"None";"None";"nan";"2.306675";"48.857202";"000BY"
"2019-1068527";"2019-09-12";"1";"Vente";"420000.0";"4";"None";"CITE NEGRIER";"6709";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0088";"None";"None";"55";"34.19";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"33.0";"2.0";"None";"None";"None";"None";"nan";"2.307128";"48.857479";"000BY"
"2019-1068513";"2019-09-10";"1";"Vente";"805000.0";"4";"None";"RUE CHEVERT";"1996";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0133";"None";"None";"33";"61.46";"34";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"57.0";"3.0";"None";"None";"None";"None";"nan";"2.30932";"48.856325";"000BY"
"2019-1068327";"2019-08-29";"1";"Vente";"700000.0";"16";"B";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0108";"None";"None";"22";"52.43";"23";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"56.0";"3.0";"None";"None";"None";"None";"nan";"2.308255";"48.856563";"000BY"
"2019-1068328";"2019-08-29";"1";"Vente";"970000.0";"13";"B";"AV DE LA MOTTE PICQUET";"5308";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BY0138";"None";"None";"25";"nan";"49";"57.3";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"58.0";"3.0";"None";"None";"None";"None";"nan";"2.30882";"48.85606";"000BY"
