id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068719";"2019-11-27";"1";"Vente";"1117312.0";"174";"None";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0013";"None";"None";"28";"69.07";"46";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"76.0";"3";"None";"None";"None";"None";"nan";"2.307097";"48.858225";"000BZ"
"2019-1068625";"2019-10-23";"1";"Vente";"406000.0";"2";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0063";"None";"None";"28";"nan";"6";"33.09";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"33.0";"1";"None";"None";"None";"None";"nan";"2.308733";"48.859685";"000BZ"
"2019-1068614";"2019-10-17";"1";"Vente";"40000.0";"101";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0014";"None";"None";"3127";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.306698";"48.858922";"000BZ"
"2019-1068386";"2019-09-09";"1";"Vente";"600000.0";"101";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0014";"None";"None";"90";"44.84";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"42.0";"2";"None";"None";"None";"None";"nan";"2.306698";"48.858922";"000BZ"
"2019-1068543";"2019-09-09";"1";"Vente";"1327000.0";"9";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0080";"None";"None";"10";"88.31";"11";"nan";"40";"nan";"61";"nan";"None";"nan";"4";"2";"Appartement";"88.0";"5";"None";"None";"None";"None";"nan";"2.309316";"48.859244";"000BZ"
"2019-1068521";"2019-09-04";"1";"Vente";"1050919.0";"73";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0082";"None";"None";"7";"77.88";"8";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"77.0";"3";"None";"None";"None";"None";"nan";"2.309199";"48.85964";"000BZ"
"2019-1068377";"2019-08-29";"1";"Vente";"220000.0";"5";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0081";"None";"None";"440";"32.76";"471";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"35.0";"2";"None";"None";"None";"None";"nan";"2.309255";"48.859422";"000BZ"
"2019-1068377";"2019-08-29";"1";"Vente";"220000.0";"5";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0081";"None";"None";"511";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.309255";"48.859422";"000BZ"
"2019-1068297";"2019-08-28";"1";"Vente";"450000.0";"19";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0075";"None";"None";"22";"37.36";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"40.0";"2";"None";"None";"None";"None";"nan";"2.309488";"48.858614";"000BZ"
"2019-1068337";"2019-08-27";"1";"Vente";"1487500.0";"15";"None";"RUE CLER";"2106";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0006";"None";"None";"75";"nan";"9";"98.98";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"96.0";"4";"None";"None";"None";"None";"nan";"2.305976";"48.858313";"000BZ"
"2019-1068337";"2019-08-27";"1";"Vente";"1487500.0";"15";"None";"RUE CLER";"2106";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0006";"None";"None";"105";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.305976";"48.858313";"000BZ"
"2019-1068211";"2019-07-31";"1";"Vente";"3335000.0";"166";"A";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0058";"None";"None";"102";"nan";"403";"173.7";"404";"nan";"81";"nan";"None";"nan";"4";"2";"Appartement";"126.0";"9";"None";"None";"None";"None";"nan";"2.308436";"48.858618";"000BZ"
"2019-1068277";"2019-07-31";"1";"Vente";"652240.0";"101";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0014";"None";"None";"129";"44.74";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"45.0";"2";"None";"None";"None";"None";"nan";"2.306698";"48.858922";"000BZ"
"2019-1068211";"2019-07-31";"1";"Vente";"3335000.0";"166";"A";"RUE DE GRENELLE";"4314";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0058";"None";"None";"252";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308436";"48.858618";"000BZ"
"2019-1068115";"2019-07-30";"1";"Vente";"771540.0";"97";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0017";"None";"None";"208";"49.09";"209";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"nan";"2.307008";"48.859439";"000BZ"
"2019-1068078";"2019-07-30";"1";"Vente";"300000.0";"5";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0081";"None";"None";"498";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.309255";"48.859422";"000BZ"
"2019-1068078";"2019-07-30";"1";"Vente";"300000.0";"5";"None";"RUE DE LA COMETE";"2223";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0081";"None";"None";"521";"43.49";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"39.0";"0";"None";"None";"None";"None";"nan";"2.309255";"48.859422";"000BZ"
"2019-1067975";"2019-07-18";"1";"Vente";"686000.0";"73";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000BZ0082";"None";"None";"6";"58.47";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"55.0";"2";"None";"None";"None";"None";"nan";"2.309199";"48.85964";"000BZ"
