id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068749";"2019-12-19";"1";"Vente";"250000.0";"63";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0020";"None";"None";"1";"34.26";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"35.0";"0";"None";"None";"None";"None";"nan";"2.301522";"48.857211";"000CD"
"2019-1068732";"2019-12-12";"1";"Vente";"1196150.0";"115";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0126";"None";"None";"52";"nan";"55";"89.88";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"87.0";"5";"None";"None";"None";"None";"nan";"2.304887";"48.858968";"000CD"
"2019-1068721";"2019-12-06";"1";"Vente";"390000.0";"8";"None";"RUE DU GROS CAILLOU";"4348";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0048";"None";"None";"1";"36.81";"14";"nan";"17";"nan";"2";"nan";"3";"None";"5";"2";"Appartement";"37.0";"2";"None";"None";"None";"None";"nan";"2.302574";"48.857146";"000CD"
"2019-1068696";"2019-11-21";"1";"Vente";"379000.0";"10";"None";"RUE AUGEREAU";"0535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0018";"None";"None";"17";"21.85";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"nan";"2.301692";"48.857399";"000CD"
"2019-1068590";"2019-09-20";"1";"Vente";"445000.0";"145";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0008";"None";"None";"10";"35.88";"130";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"40.0";"2";"None";"None";"None";"None";"nan";"2.301121";"48.857554";"000CD"
"2019-1068437";"2019-09-13";"1";"Vente";"1250000.0";"145";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0008";"None";"None";"151";"nan";"79";"101.0";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"23.0";"2";"None";"None";"None";"None";"nan";"2.301121";"48.857554";"000CD"
"2019-1068437";"2019-09-13";"1";"Vente";"1250000.0";"145";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0008";"None";"None";"187";"101.0";"194";"101.0";"197";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"81.0";"2";"None";"None";"None";"None";"nan";"2.301121";"48.857554";"000CD"
"2019-1068426";"2019-09-11";"1";"Vente";"515200.0";"145";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0008";"None";"None";"76";"40.73";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"47.0";"3";"None";"None";"None";"None";"nan";"2.301121";"48.857554";"000CD"
"2019-1068381";"2019-09-09";"1";"Vente";"721505.3";"147";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0003";"None";"None";"19";"nan";"6";"53.02";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"48.0";"3";"None";"None";"None";"None";"nan";"2.300691";"48.857686";"000CD"
"2019-1068564";"2019-09-09";"1";"Vente";"685000.0";"14";"B";"RUE AUGEREAU";"0535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CD0023";"None";"None";"18";"nan";"2";"43.05";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"47.0";"2";"None";"None";"None";"None";"nan";"2.301827";"48.857135";"000CD"
