id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2018-1372209";"2018-11-30";"1";"Vente";"380000.0";"42";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0001";"None";"None";"2";"68.96";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"67.0";"0";"None";"None";"None";"None";"None";"2.30047";"48.857197";"000CE"
"2018-1371106";"2018-09-26";"1";"Vente";"158500.0";"42";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0001";"None";"None";"38";"11.29";"46";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.30047";"48.857197";"000CE"
"2018-1371065";"2018-09-14";"1";"Vente";"3900000.0";"5";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0007";"None";"None";"13";"161.2";"54";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"166.0";"5";"None";"None";"None";"None";"None";"2.300915";"48.856675";"000CE"
"2018-1371065";"2018-09-14";"1";"Vente";"3900000.0";"5";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0007";"None";"None";"18";"13.82";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.300915";"48.856675";"000CE"
"2018-1371065";"2018-09-14";"1";"Vente";"3900000.0";"5";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0007";"None";"None";"18";"13.82";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.300915";"48.856675";"000CE"
"2018-1370937";"2018-09-11";"1";"Vente";"1372000.0";"52";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0010";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"196.0";"6";"None";"None";"None";"None";"None";"2.301577";"48.856371";"000CE"
"2018-1370919";"2018-09-07";"1";"Vente";"1008000.0";"11";"None";"AV EMILE DESCHANEL";"3217";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0012";"None";"None";"109";"nan";"112";"nan";"114";"93.6";"None";"None";"None";"None";"3";"2";"Appartement";"93.0";"3";"None";"None";"None";"None";"None";"2.301749";"48.856151";"000CE"
"2018-1370461";"2018-07-23";"1";"Vente";"2442100.0";"50";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0009";"None";"None";"30";"172.01";"32";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"180.0";"6";"None";"None";"None";"None";"None";"2.301435";"48.856499";"000CE"
"2018-1370461";"2018-07-23";"1";"Vente";"2442100.0";"50";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0009";"None";"None";"31";"20.11";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.301435";"48.856499";"000CE"
"2018-1370461";"2018-07-23";"1";"Vente";"2442100.0";"50";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CE0009";"None";"None";"31";"20.11";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.301435";"48.856499";"000CE"
