id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068456";"2019-09-20";"1";"Vente";"750000.0";"49";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0024";"None";"None";"25";"nan";"4";"61.9";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"58.0";"3";"None";"None";"None";"None";"nan";"2.297487";"48.85369";"000CF"
"2019-1068315";"2019-09-03";"1";"Vente";"1951884.0";"34";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0022";"None";"None";"11";"115.6";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"120.0";"4";"None";"None";"None";"None";"nan";"2.297727";"48.853662";"000CF"
"2019-1068315";"2019-09-03";"1";"Vente";"1951884.0";"34";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0022";"None";"None";"30";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.297727";"48.853662";"000CF"
"2019-1068210";"2019-08-02";"1";"Vente";"950000.0";"49";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0024";"None";"None";"14";"nan";"30";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"65.0";"3";"None";"None";"None";"None";"nan";"2.297487";"48.85369";"000CF"
"2019-1067479";"2019-06-03";"1";"Vente";"1000.0";"6";"None";"RUE CHAMPFLEURY";"1720";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0005";"None";"None";"37";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"109.0";"5";"None";"None";"None";"None";"nan";"2.297008";"48.853932";"000CF"
"2019-1066817";"2019-04-11";"1";"Vente";"60000.0";"6";"None";"RUE CHAMPFLEURY";"1720";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0005";"None";"None";"21";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.297008";"48.853932";"000CF"
"2018-1372219";"2018-12-06";"1";"Adjudication";"1680000.0";"34";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0022";"None";"None";"11";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"120.0";"4";"None";"None";"None";"None";"nan";"2.297727";"48.853662";"000CF"
"2018-1372219";"2018-12-06";"1";"Adjudication";"1680000.0";"34";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0022";"None";"None";"30";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.297727";"48.853662";"000CF"
"2018-1371756";"2018-11-14";"1";"Vente";"1350000.0";"32";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0023";"None";"None";"13";"135.17";"19";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"135.0";"0";"None";"None";"None";"None";"nan";"2.2975";"48.853866";"000CF"
"2018-1371112";"2018-09-28";"1";"Vente";"556800.0";"49";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CF0024";"None";"None";"17";"40.82";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"38.0";"2";"None";"None";"None";"None";"nan";"2.297487";"48.85369";"000CF"
