id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068561";"2019-09-26";"1";"Vente";"65500.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"26";"7.53";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2019-1068562";"2019-09-26";"1";"Vente";"105000.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"27";"9.27";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2019-1067378";"2019-06-06";"1";"Vente";"1420000.0";"21";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0021";"None";"None";"38";"nan";"9";"116.55";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"114.0";"4";"None";"None";"None";"None";"None";"2.293946";"48.855974";"000CG"
"2019-1067051";"2019-05-03";"1";"Vente";"72000.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"17";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2019-1066342";"2019-02-18";"1";"Vente";"1510000.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"8";"128.05";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"120.0";"5";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2019-1066065";"2019-01-15";"1";"Vente";"91500.0";"21";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0021";"None";"None";"20";"9.3";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.293946";"48.855974";"000CG"
"2018-1371783";"2018-11-30";"1";"Vente";"95000.0";"33";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0009";"None";"None";"23";"10.12";"24";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.295211";"48.855146";"000CG"
"2018-1371231";"2018-10-05";"1";"Vente";"459000.0";"27";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0014";"None";"None";"34";"nan";"54";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"47.0";"1";"None";"None";"None";"None";"None";"2.294648";"48.855507";"000CG"
"2018-1371308";"2018-10-02";"1";"Vente";"1370000.0";"27";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0014";"None";"None";"42";"nan";"8";"115.1";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"111.0";"5";"None";"None";"None";"None";"None";"2.294648";"48.855507";"000CG"
"2018-1371176";"2018-09-28";"1";"Vente";"1250000.0";"27";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0014";"None";"None";"35";"nan";"36";"nan";"4";"109.44";"None";"None";"None";"None";"3";"2";"Appartement";"108.0";"5";"None";"None";"None";"None";"None";"2.294648";"48.855507";"000CG"
"2018-1370776";"2018-08-08";"1";"Vente";"71000.0";"33";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0009";"None";"None";"20";"8.66";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.295211";"48.855146";"000CG"
"2018-1370191";"2018-06-08";"1";"Vente";"75000.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"16";"8.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2018-1369942";"2018-05-25";"1";"Vente";"190000.0";"18";"None";"AV CHARLES FLOQUET";"1832";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0011";"None";"None";"26";"18.02";"41";"9.0";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"18.0";"1";"None";"None";"None";"None";"None";"2.29518";"48.855295";"000CG"
"2018-1369293";"2018-03-19";"1";"Vente";"76000.0";"29";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0013";"None";"None";"15";"7.94";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29485";"48.855394";"000CG"
"2017-1406260";"2017-11-30";"1";"Vente";"11000.0";"27";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CG0014";"None";"None";"47";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"100.0";"6";"None";"None";"None";"None";"None";"2.294648";"48.855507";"000CG"
