id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068705";"2019-11-19";"1";"Vente";"3800000.0";"9";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0010";"None";"None";"1";"304.05";"3";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"290.0";"9";"None";"None";"None";"None";"None";"2.298439";"48.858264";"000CH"
"2019-1068705";"2019-11-19";"1";"Vente";"3800000.0";"9";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0010";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298439";"48.858264";"000CH"
"2019-1068705";"2019-11-19";"1";"Vente";"3800000.0";"9";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0010";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298439";"48.858264";"000CH"
"2019-1068705";"2019-11-19";"1";"Vente";"3800000.0";"9";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0010";"None";"None";"1";"304.05";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298439";"48.858264";"000CH"
"2019-1068354";"2019-09-03";"1";"Vente";"3300000.0";"15";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0015";"None";"None";"13";"184.79";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"180.0";"5";"None";"None";"None";"None";"None";"2.298963";"48.857946";"000CH"
"2019-1068354";"2019-09-03";"1";"Vente";"3300000.0";"15";"None";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0015";"None";"None";"13";"184.79";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298963";"48.857946";"000CH"
"2019-1067759";"2019-07-04";"1";"Vente";"3000000.0";"12";"B";"AV ELISEE RECLUS";"3188";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0024";"None";"None";"27";"nan";"41";"140.14";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"146.0";"4";"None";"None";"None";"None";"None";"2.297906";"48.857959";"000CH"
"2019-1067682";"2019-06-28";"1";"Vente";"1500000.0";"4";"None";"AV EMILE POUVILLON";"3258";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0020";"None";"None";"1";"117.72";"47";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"81.0";"1";"None";"None";"None";"None";"None";"2.299144";"48.857724";"000CH"
"2019-1067749";"2019-06-28";"1";"Vente";"2070000.0";"30";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0012";"None";"None";"5";"158.04";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"148.0";"5";"None";"None";"None";"None";"None";"2.298691";"48.858243";"000CH"
"2019-1067749";"2019-06-28";"1";"Vente";"2070000.0";"30";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CH0012";"None";"None";"5";"158.04";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.298691";"48.858243";"000CH"
