id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068747";"2019-12-17";"1";"Vente";"200000.0";"16";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0019";"None";"None";"20";"nan";"81";"17.42";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"18.0";"1";"None";"None";"None";"None";"nan";"2.298958";"48.859729";"000CI"
"2019-1068697";"2019-11-08";"1";"Vente";"1540000.0";"22";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0011";"None";"None";"12";"80.02";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"84.0";"4";"None";"None";"None";"None";"nan";"2.298231";"48.859585";"000CI"
"2019-1068697";"2019-11-08";"1";"Vente";"1540000.0";"22";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0011";"None";"None";"12";"80.02";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.298231";"48.859585";"000CI"
"2019-1068646";"2019-10-23";"1";"Vente";"740000.0";"6";"None";"RUE DU GAL CAMOU";"4022";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0045";"None";"None";"166";"nan";"91";"51.19";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"47.0";"2";"None";"None";"None";"None";"nan";"2.299537";"48.859083";"000CI"
"2019-1068592";"2019-10-10";"1";"Vente";"710000.0";"6";"None";"RUE DU GAL CAMOU";"4022";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0045";"None";"None";"87";"44.01";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"2";"None";"None";"None";"None";"nan";"2.299537";"48.859083";"000CI"
"2019-1068585";"2019-10-09";"1";"Vente";"155000.0";"12";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0029";"None";"None";"43";"9.52";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.300576";"48.860219";"000CI"
"2019-1068630";"2019-10-08";"1";"Vente";"64000.0";"217";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0004";"None";"None";"18";"5.4";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.297528";"48.859999";"000CI"
"2019-1068605";"2019-09-27";"1";"Vente";"1440000.0";"22";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0011";"None";"None";"35";"97.85";"37";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"94.0";"5";"None";"None";"None";"None";"nan";"2.298231";"48.859585";"000CI"
"2019-1068609";"2019-09-20";"1";"Vente";"760000.0";"18";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0013";"None";"None";"22";"53.48";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"52.0";"3";"None";"None";"None";"None";"nan";"2.298737";"48.859667";"000CI"
"2019-1068476";"2019-09-17";"1";"Vente";"1035500.0";"193";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0036";"None";"None";"213";"75.11";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"73.0";"3";"None";"None";"None";"None";"nan";"2.299907";"48.860407";"000CI"
"2019-1068599";"2019-09-17";"1";"Vente";"1178800.0";"22";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0044";"None";"None";"210";"70.3";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3";"None";"None";"None";"None";"nan";"2.300156";"48.859242";"000CI"
"2019-1068599";"2019-09-17";"1";"Vente";"1178800.0";"22";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0044";"None";"None";"226";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.300156";"48.859242";"000CI"
"2019-1068501";"2019-09-16";"1";"Vente";"960000.0";"215";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0006";"None";"None";"122";"78.88";"60";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"70.0";"2";"None";"None";"None";"None";"nan";"2.297878";"48.859907";"000CI"
"2019-1068278";"2019-08-29";"1";"Vente";"1000000.0";"9";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0047";"None";"None";"2";"80.1";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"86.0";"0";"None";"None";"None";"None";"nan";"2.298856";"48.85924";"000CI"
"2019-1068272";"2019-08-26";"1";"Vente";"1785000.0";"217";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0004";"None";"None";"14";"139.34";"26";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"145.0";"6";"None";"None";"None";"None";"nan";"2.297528";"48.859999";"000CI"
"2019-1068272";"2019-08-26";"1";"Vente";"1785000.0";"217";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0004";"None";"None";"14";"139.34";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.297528";"48.859999";"000CI"
"2019-1068264";"2019-08-02";"1";"Vente";"164500.0";"8";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0023";"None";"None";"37";"13.06";"45";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"13.0";"1";"None";"None";"None";"None";"nan";"2.299915";"48.859923";"000CI"
"2019-1067941";"2019-07-17";"1";"Vente";"330000.0";"11";"None";"RUE DE MONTTESSUY";"6535";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0052";"None";"None";"29";"31.47";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"32.0";"2";"None";"None";"None";"None";"nan";"2.298567";"48.859209";"000CI"
"2019-1068023";"2019-07-17";"1";"Vente";"475000.0";"6";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0039";"None";"None";"18";"34.65";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"34.0";"2";"None";"None";"None";"None";"nan";"2.300676";"48.860631";"000CI"
"2019-1067974";"2019-07-11";"1";"Vente";"58000.0";"5";"None";"AV FRANCO RUSSE";"3818";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0032";"None";"None";"118";"6.59";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"6.0";"0";"None";"None";"None";"None";"nan";"2.299929";"48.860058";"000CI"
"2019-1067963";"2019-07-04";"1";"Vente";"1200000.0";"1";"B";"AV FRANCO RUSSE";"3818";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0030";"None";"None";"52";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"114.0";"5";"None";"None";"None";"None";"nan";"2.300374";"48.860149";"000CI"
"2019-1067963";"2019-07-04";"1";"Vente";"1200000.0";"1";"B";"AV FRANCO RUSSE";"3818";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0030";"None";"None";"25";"92.1";"65";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"96.0";"4";"None";"None";"None";"None";"nan";"2.300374";"48.860149";"000CI"
"2019-1067598";"2019-06-25";"1";"Vente";"548000.0";"13";"None";"AV FRANCO RUSSE";"3818";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0018";"None";"None";"12";"nan";"95";"45.79";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"45.0";"2";"None";"None";"None";"None";"nan";"2.298829";"48.85996";"000CI"
"2019-1067718";"2019-06-18";"1";"Vente";"110000.0";"16";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0027";"None";"None";"24";"9.31";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.30047";"48.860035";"000CI"
"2019-1067400";"2019-06-06";"1";"Vente";"620000.0";"4";"None";"RUE DU GAL CAMOU";"4022";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CI0044";"None";"None";"1";"43.0";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"14.0";"0";"None";"None";"None";"None";"nan";"2.300156";"48.859242";"000CI"
