id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1067898";"2019-07-09";"1";"Vente";"613500.0";"45";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0009";"None";"None";"6";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"40.0";"2";"None";"None";"None";"None";"nan";"2.299932";"48.857994";"000CJ"
"2019-1067408";"2019-06-05";"1";"Vente";"1860000.0";"116";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0033";"None";"None";"20";"132.78";"69";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"134.0";"5";"None";"None";"None";"None";"nan";"2.301385";"48.858425";"000CJ"
"2019-1067345";"2019-06-04";"1";"Vente";"27150000.0";"1";"None";"RUE SEDILLOT";"8903";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0051";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"631.0";"9";"S";"sols";"None";"None";"262.0";"2.301512";"48.859343";"000CJ"
"2019-1067886";"2019-05-31";"1";"Echange";"748600.0";"39";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0003";"None";"None";"15";"nan";"42";"61.54";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"64.0";"2";"None";"None";"None";"None";"nan";"2.299634";"48.858361";"000CJ"
"2019-1067552";"2019-05-31";"1";"Vente";"50000.0";"39";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0003";"None";"None";"35";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.299634";"48.858361";"000CJ"
"2019-1067420";"2019-05-29";"1";"Vente";"1040000.0";"9";"None";"RUE SEDILLOT";"8903";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0043";"None";"None";"17";"87.63";"47";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"4";"Local industriel. commercial ou assimilé";"87.0";"0";"None";"None";"None";"None";"nan";"2.302032";"48.858839";"000CJ"
"2019-1067399";"2019-05-22";"1";"Vente";"990000.0";"116";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0033";"None";"None";"55";"nan";"78";"74.96";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"74.0";"3";"None";"None";"None";"None";"nan";"2.301385";"48.858425";"000CJ"
"2019-1067151";"2019-05-10";"1";"Vente";"6100.0";"12";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0041";"None";"None";"54";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302416";"48.858871";"000CJ"
"2019-1066911";"2019-04-17";"1";"Vente";"820000.0";"124";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0012";"None";"None";"22";"50.71";"43";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"50.0";"3";"None";"None";"None";"None";"nan";"2.300639";"48.857995";"000CJ"
"2019-1066776";"2019-03-29";"1";"Vente";"140000.0";"12";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0041";"None";"None";"36";"4.43";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302416";"48.858871";"000CJ"
"2019-1066776";"2019-03-29";"1";"Vente";"140000.0";"12";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0041";"None";"None";"41";"4.99";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302416";"48.858871";"000CJ"
"2019-1066776";"2019-03-29";"1";"Vente";"140000.0";"12";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0041";"None";"None";"42";"4.99";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302416";"48.858871";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"25";"nan";"9";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"84.0";"3";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"10";"nan";"11";"nan";"20";"176.72";"30";"5.2";"None";"nan";"4";"2";"Appartement";"182.0";"6";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"14";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"31";"6.4";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"26";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066895";"2019-03-27";"1";"Vente";"11000000.0";"29";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0024";"None";"None";"24";"100.0";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301078";"48.859102";"000CJ"
"2019-1066534";"2019-03-15";"1";"Vente";"1850000.0";"32";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0005";"None";"None";"13";"116.44";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"120.0";"3";"None";"None";"None";"None";"nan";"2.299872";"48.858246";"000CJ"
"2019-1066534";"2019-03-15";"1";"Vente";"1850000.0";"32";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0005";"None";"None";"13";"116.44";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.299872";"48.858246";"000CJ"
"2019-1066394";"2019-02-21";"1";"Vente";"1406000.0";"16";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0064";"None";"None";"34";"nan";"35";"nan";"44";"nan";"None";"nan";"None";"nan";"3";"2";"Appartement";"160.0";"6";"None";"None";"None";"None";"nan";"2.30276";"48.859344";"000CJ"
"2019-1066155";"2019-02-01";"1";"Vente";"1.0";"43";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0008";"None";"None";"18";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"35.0";"2";"None";"None";"None";"None";"nan";"2.299873";"48.858066";"000CJ"
"2018-1372192";"2018-12-27";"1";"Vente";"280000.0";"7";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0058";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"203.0";"7";"None";"None";"None";"None";"nan";"2.302318";"48.859425";"000CJ"
"2018-1372192";"2018-12-27";"1";"Vente";"280000.0";"7";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0058";"None";"None";"19";"nan";"20";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302318";"48.859425";"000CJ"
"2018-1372192";"2018-12-27";"1";"Vente";"280000.0";"7";"None";"RUE DUPONT DES LOGES";"3013";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0058";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302318";"48.859425";"000CJ"
"2018-1372056";"2018-12-26";"1";"Vente";"590000.0";"118";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0016";"None";"None";"43";"46.8";"73";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"nan";"2.301071";"48.858327";"000CJ"
"2018-1371804";"2018-11-29";"1";"Vente";"4550000.0";"33";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0022";"None";"None";"28";"nan";"7";"260.19";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"260.0";"10";"None";"None";"None";"None";"nan";"2.301008";"48.858848";"000CJ"
"2018-1371804";"2018-11-29";"1";"Vente";"4550000.0";"33";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0022";"None";"None";"16";"7.83";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301008";"48.858848";"000CJ"
"2018-1371844";"2018-11-26";"1";"Vente";"1747200.0";"31";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0023";"None";"None";"13";"86.0";"43";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"83.0";"4";"None";"None";"None";"None";"nan";"2.301024";"48.858969";"000CJ"
"2018-1371844";"2018-11-26";"1";"Vente";"1747200.0";"31";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0023";"None";"None";"26";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301024";"48.858969";"000CJ"
"2018-1371724";"2018-11-16";"1";"Vente";"929745.0";"43";"None";"AV RAPP";"8041";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0013";"None";"None";"23";"67.87";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"68.0";"2";"None";"None";"None";"None";"nan";"2.300698";"48.858116";"000CJ"
"2018-1371861";"2018-11-15";"1";"Vente";"761000.0";"11";"None";"RUE SEDILLOT";"8903";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0042";"None";"None";"17";"76.41";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"73.0";"3";"None";"None";"None";"None";"nan";"2.302177";"48.858776";"000CJ"
"2018-1371510";"2018-10-29";"1";"Vente";"711000.0";"122";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0014";"None";"None";"16";"46.94";"43";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"47.0";"2";"None";"None";"None";"None";"nan";"2.300799";"48.85807";"000CJ"
"2018-1371246";"2018-10-05";"1";"Vente";"83000.0";"7";"None";"RUE EDMOND VALENTIN";"3138";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0055";"None";"None";"17";"9.2";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.301955";"48.859567";"000CJ"
"2018-1371070";"2018-09-24";"1";"Vente";"1443000.0";"118";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CJ0016";"None";"None";"32";"nan";"61";"98.26";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"105.0";"4";"None";"None";"None";"None";"nan";"2.301071";"48.858327";"000CJ"
