id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068687";"2019-11-19";"1";"Vente";"719950.0";"171";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0045";"None";"None";"1";"nan";"17";"56.78";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"56.0";"2";"None";"None";"None";"None";"nan";"2.303056";"48.86098";"000CK"
"2019-1068313";"2019-08-13";"1";"Vente";"15000.0";"5";"None";"PAS LANDRIEU";"5317";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0048";"None";"None";"35";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.303648";"48.860507";"000CK"
"2019-1068319";"2019-08-05";"1";"Vente";"1752000.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"26";"nan";"27";"nan";"59";"nan";"60";"109.41";"None";"None";"4";"2";"Appartement";"80.0";"3";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1068319";"2019-08-05";"1";"Vente";"1752000.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"34";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1068319";"2019-08-05";"1";"Vente";"1752000.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"26";"nan";"27";"nan";"59";"nan";"60";"109.41";"None";"None";"4";"4";"Local industriel. commercial ou assimilé";"30.0";"0";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1067934";"2019-07-04";"1";"Vente";"2784620.0";"157";"B";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0062";"None";"None";"33";"198.51";"54";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"238.0";"7";"None";"None";"None";"None";"nan";"2.304382";"48.86097";"000CK"
"2019-1067762";"2019-07-04";"1";"Vente";"60000.0";"153";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0066";"None";"None";"370";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.305094";"48.860682";"000CK"
"2019-1067934";"2019-07-04";"1";"Vente";"2784620.0";"157";"B";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0062";"None";"None";"8";"12.86";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304382";"48.86097";"000CK"
"2019-1067959";"2019-07-03";"1";"Vente";"525000.0";"12";"None";"PAS LANDRIEU";"5317";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0036";"None";"None";"11";"39.61";"16";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"43.0";"2";"None";"None";"None";"None";"nan";"2.303702";"48.859659";"000CK"
"2019-1067719";"2019-07-02";"1";"Vente";"2365750.0";"14";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0028";"None";"None";"32";"nan";"67";"137.02";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"120.0";"5";"None";"None";"None";"None";"nan";"2.3026";"48.859933";"000CK"
"2019-1067719";"2019-07-02";"1";"Vente";"2365750.0";"14";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0028";"None";"None";"37";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.3026";"48.859933";"000CK"
"2019-1067580";"2019-06-28";"1";"Vente";"50000.0";"13";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0042";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.303125";"48.860689";"000CK"
"2019-1067508";"2019-06-20";"1";"Vente";"1.0";"181";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0007";"None";"None";"17";"314.07";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"312.0";"0";"None";"None";"None";"None";"nan";"2.301774";"48.860939";"000CK"
"2019-1067425";"2019-06-12";"1";"Vente";"850150.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"3";"nan";"73";"60.11";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1067966";"2019-06-12";"1";"Vente";"1700000.0";"153";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0066";"None";"None";"26";"137.0";"363";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"137.0";"3";"None";"None";"None";"None";"nan";"2.305094";"48.860682";"000CK"
"2019-1067425";"2019-06-12";"1";"Vente";"850150.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"46";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1067966";"2019-06-12";"1";"Vente";"1700000.0";"153";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0066";"None";"None";"394";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.305094";"48.860682";"000CK"
"2019-1067591";"2019-06-05";"1";"Vente";"245000.0";"14";"None";"RUE MALAR";"5945";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0073";"None";"None";"57";"20.01";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"19.0";"2";"None";"None";"None";"None";"nan";"2.305649";"48.860313";"000CK"
"2019-1067283";"2019-05-28";"1";"Vente";"830000.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"33";"nan";"66";"58.85";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1067283";"2019-05-28";"1";"Vente";"830000.0";"100";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0052";"None";"None";"42";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304339";"48.859251";"000CK"
"2019-1067226";"2019-05-27";"1";"Vente";"1101600.0";"8";"None";"CITE DE L ALMA";"0216";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0080";"None";"None";"11";"76.18";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"75.0";"3";"None";"None";"None";"None";"nan";"2.301506";"48.860739";"000CK"
"2019-1067143";"2019-05-16";"1";"Vente";"59500.0";"96";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0090";"None";"None";"716";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304381";"48.859614";"000CK"
"2019-1067166";"2019-05-02";"1";"Vente";"800000.0";"94";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0053";"None";"None";"33";"71.7";"5";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"72.0";"3";"None";"None";"None";"None";"nan";"2.304792";"48.859391";"000CK"
"2019-1067034";"2019-04-30";"1";"Vente";"3775000.0";"12";"B";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0020";"None";"None";"37";"nan";"45";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"18.0";"1";"None";"None";"None";"None";"nan";"2.302143";"48.860194";"000CK"
"2019-1067034";"2019-04-30";"1";"Vente";"3775000.0";"12";"B";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0020";"None";"None";"32";"406.54";"33";"nan";"38";"nan";"39";"nan";"40";"None";"5";"2";"Appartement";"400.0";"8";"None";"None";"None";"None";"nan";"2.302143";"48.860194";"000CK"
"2019-1067059";"2019-04-26";"1";"Vente";"150000.0";"94";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0053";"None";"None";"1";"10.44";"24";"nan";"51";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"11.0";"1";"None";"None";"None";"None";"nan";"2.304792";"48.859391";"000CK"
"2019-1066871";"2019-04-15";"1";"Vente";"722500.0";"153";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0066";"None";"None";"342";"nan";"80";"61.41";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"61.0";"2";"None";"None";"None";"None";"nan";"2.305094";"48.860682";"000CK"
"2019-1066871";"2019-04-15";"1";"Vente";"722500.0";"153";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0066";"None";"None";"368";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.305094";"48.860682";"000CK"
"2019-1066883";"2019-04-12";"1";"Vente";"241000.0";"2";"None";"CITE DE L ALMA";"0216";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CK0083";"None";"None";"18";"nan";"26";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"23.0";"1";"None";"None";"None";"None";"nan";"2.302091";"48.86084";"000CK"
