id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068752";"2019-12-12";"1";"Vente";"11500.0";"123";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0047";"None";"None";"4";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"38.0";"2";"None";"None";"None";"None";"nan";"2.308963";"48.86071";"000CL"
"2019-1068658";"2019-10-18";"1";"Vente";"1050000.0";"80";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0077";"None";"None";"125";"90.82";"531";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"90.0";"3";"None";"None";"None";"None";"nan";"2.306876";"48.860066";"000CL"
"2019-1068658";"2019-10-18";"1";"Vente";"1050000.0";"80";"None";"RUE ST DOMINIQUE";"8529";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0077";"None";"None";"591";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.306876";"48.860066";"000CL"
"2019-1068598";"2019-10-10";"1";"Vente";"9000.0";"121";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0048";"None";"None";"11";"nan";"20";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.309183";"48.860992";"000CL"
"2019-1068631";"2019-10-08";"1";"Vente";"375000.0";"125";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0046";"None";"None";"45";"24.3";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"nan";"2.308796";"48.860891";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"54.0";"2";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"86.0";"3";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"54.0";"2";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"86.0";"3";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"86.0";"3";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
"2019-1068565";"2019-09-25";"1";"Vente";"12000000.0";"29";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CL0062";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"2";"Appartement";"118.0";"4";"S";"sols";"None";"None";"204.0";"2.309806";"48.860276";"000CL"
