id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068665";"2019-10-23";"1";"Vente";"2151038.0";"3";"None";"AV ROBERT SCHUMAN";"8268";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0054";"None";"None";"5";"161.86";"57";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"164.0";"4";"None";"None";"None";"None";"nan";"2.308604";"48.861568";"000CM"
"2019-1068339";"2019-08-21";"1";"Vente";"1225000.0";"2";"None";"RUE DU COLONEL COMBES";"2201";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0006";"None";"None";"35";"71.77";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"199.0";"7";"None";"None";"None";"None";"nan";"2.306328";"48.861814";"000CM"
"2019-1068218";"2019-07-24";"1";"Echange";"37000.0";"8";"B";"RUE JEAN NICOT";"4935";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0041";"None";"None";"55";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.306525";"48.861396";"000CM"
"2019-1068218";"2019-07-24";"2";"Echange";"37000.0";"8";"B";"RUE JEAN NICOT";"4935";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0041";"None";"None";"58";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.306525";"48.861396";"000CM"
"2019-1067970";"2019-07-18";"1";"Vente";"1524000.0";"16";"None";"BD DE LA TOUR MAUBOURG";"5383";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0023";"None";"None";"41";"nan";"9";"110.48";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"107.0";"5";"None";"None";"None";"None";"nan";"2.309961";"48.861395";"000CM"
"2019-1067832";"2019-07-11";"1";"Vente";"956400.0";"7";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0028";"None";"None";"109";"72.0";"113";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"50.0";"2";"None";"None";"None";"None";"nan";"2.309537";"48.861806";"000CM"
"2019-1067671";"2019-07-08";"1";"Vente";"66000.0";"4";"None";"AV SULLY PRUDHOMME";"9125";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0034";"None";"None";"126";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.308024";"48.861517";"000CM"
"2019-1067419";"2019-05-29";"1";"Vente";"800000.0";"11";"None";"RUE SURCOUF";"9127";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0026";"None";"None";"18";"47.27";"39";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"75.0";"2";"None";"None";"None";"None";"nan";"2.309558";"48.861515";"000CM"
"2019-1067374";"2019-05-21";"1";"Vente";"2169850.0";"3";"None";"AV ROBERT SCHUMAN";"8268";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0054";"None";"None";"54";"nan";"7";"159.68";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"164.0";"4";"None";"None";"None";"None";"nan";"2.308604";"48.861568";"000CM"
"2019-1067167";"2019-05-07";"1";"Vente";"1250000.0";"164";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CM0047";"None";"None";"9";"103.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"107.0";"4";"None";"None";"None";"None";"nan";"2.306107";"48.861378";"000CM"
