id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068703";"2019-11-22";"1";"Vente";"143750.0";"81";"None";"QUAI D ORSAY";"6952";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0008";"None";"None";"2";"12.5";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.303797";"48.862091";"000CN"
"2019-1068641";"2019-10-23";"1";"Vente";"125000.0";"3";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0026";"None";"None";"251";"13.08";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302656";"48.86171";"000CN"
"2019-1068641";"2019-10-23";"1";"Vente";"125000.0";"3";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0026";"None";"None";"250";"13.08";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.302656";"48.86171";"000CN"
"2019-1068460";"2019-09-11";"1";"Vente";"130000.0";"7";"None";"RUE COGNACQ JAY";"2177";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0019";"None";"None";"125";"9.72";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.304257";"48.861587";"000CN"
"2019-1068366";"2019-09-03";"1";"Vente";"1330000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"47";"86.81";"49";"6.6";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"232.0";"6";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
"2019-1068366";"2019-09-03";"1";"Vente";"1330000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"23";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"40.0";"3";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
"2019-1068370";"2019-09-03";"1";"Vente";"2135000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"48";"140.86";"49";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"232.0";"6";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
"2019-1068370";"2019-09-03";"1";"Vente";"2135000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"22";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"40.0";"3";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
"2019-1068276";"2019-08-08";"1";"Vente";"815000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"2";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"107.0";"3";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
"2019-1068276";"2019-08-08";"1";"Vente";"815000.0";"5";"None";"AV BOSQUET";"1119";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CN0027";"None";"None";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"360.0";"8";"None";"None";"None";"None";"nan";"2.302702";"48.861478";"000CN"
