id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068392";"2019-09-05";"1";"Vente";"3437850.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"12";"197.65";"24";"5.35";"49";"None";"50";"nan";"None";"None";"4";"2";"Appartement";"195.0";"5";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1068392";"2019-09-05";"1";"Vente";"3437850.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"38";"6.9";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1068392";"2019-09-05";"1";"Vente";"3437850.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"20";"6.55";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1067301";"2019-05-28";"1";"Vente";"1960000.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"48";"nan";"5";"151.05";"67";"None";"None";"nan";"None";"None";"3";"2";"Appartement";"150.0";"5";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1067301";"2019-05-28";"1";"Vente";"1960000.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"22";"nan";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1067301";"2019-05-28";"1";"Vente";"1960000.0";"7";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0004";"None";"None";"39";"nan";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.296598";"48.860297";"000CP"
"2019-1066783";"2019-04-09";"1";"Vente";"528250.0";"9";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0003";"None";"None";"81";"42.65";"82";"nan";"None";"None";"None";"nan";"None";"None";"2";"2";"Appartement";"42.0";"3";"None";"None";"None";"None";"None";"2.296815";"48.860174";"000CP"
"2018-1370534";"2018-07-23";"1";"Vente";"3622000.0";"59";"None";"QUAI BRANLY";"1257";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0007";"None";"None";"13";"209.2";"38";"nan";"39";"None";"None";"nan";"None";"None";"3";"2";"Appartement";"209.0";"7";"None";"None";"None";"None";"None";"2.296162";"48.860608";"000CP"
"2018-1369554";"2018-04-12";"1";"Vente";"2350000.0";"59";"None";"QUAI BRANLY";"1257";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0007";"None";"None";"11";"209.83";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"2";"Appartement";"214.0";"7";"None";"None";"None";"None";"None";"2.296162";"48.860608";"000CP"
"2018-1369554";"2018-04-12";"1";"Vente";"2350000.0";"59";"None";"QUAI BRANLY";"1257";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CP0007";"None";"None";"45";"nan";"None";"nan";"None";"None";"None";"nan";"None";"None";"1";"2";"Appartement";"107.0";"5";"None";"None";"None";"None";"None";"2.296162";"48.860608";"000CP"
