id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068473";"2019-09-19";"1";"Vente";"1798900.0";"18";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0014";"None";"None";"117";"nan";"4";"120.4";"86";"None";"None";"None";"None";"None";"3";"2";"Appartement";"62.0";"4";"None";"None";"None";"None";"nan";"2.296827";"48.859377";"000CQ"
"2019-1068473";"2019-09-19";"1";"Vente";"1798900.0";"18";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0014";"None";"None";"76";"14.5";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.296827";"48.859377";"000CQ"
"2019-1068473";"2019-09-19";"1";"Vente";"1798900.0";"18";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0014";"None";"None";"5";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.296827";"48.859377";"000CQ"
"2019-1068473";"2019-09-19";"1";"Vente";"1798900.0";"18";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0014";"None";"None";"80";"15.7";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.296827";"48.859377";"000CQ"
"2019-1068473";"2019-09-19";"1";"Vente";"1798900.0";"18";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0014";"None";"None";"117";"nan";"4";"120.4";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"61.0";"0";"None";"None";"None";"None";"nan";"2.296827";"48.859377";"000CQ"
"2019-1067402";"2019-06-05";"1";"Vente";"64200.0";"4";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0006";"None";"None";"25";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.29567";"48.860097";"000CQ"
"2019-1067402";"2019-06-05";"1";"Vente";"64200.0";"4";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0006";"None";"None";"51";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.29567";"48.860097";"000CQ"
"2019-1067357";"2019-05-16";"1";"Vente";"190000.0";"16";"None";"AV DE LA BOURDONNAIS";"5202";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0013";"None";"None";"34";"22.46";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.296589";"48.859491";"000CQ"
"2019-1066010";"2019-01-23";"1";"Vente";"820000.0";"223";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0012";"None";"None";"13";"60.24";"33";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"51.0";"3";"None";"None";"None";"None";"nan";"2.296523";"48.859655";"000CQ"
"2018-1372071";"2018-12-14";"1";"Vente";"1225000.0";"223";"None";"RUE DE L UNIVERSITE";"9527";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CQ0012";"None";"None";"10";"86.03";"24";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"65.0";"3";"None";"None";"None";"None";"nan";"2.296523";"48.859655";"000CQ"
