id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1067455";"2019-06-10";"1";"Vente";"914000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"40";"nan";"50";"nan";"6";"64.05";"None";"None";"None";"None";"3";"2";"Appartement";"62.0";"3";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2019-1067455";"2019-06-10";"1";"Vente";"914000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"17";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2019-1066577";"2019-03-06";"1";"Vente";"2185000.0";"4.0";"None";"AV OCTAVE GREARD";"6866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0005";"None";"None";"19";"nan";"9";"149.55";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"149.0";"5";"None";"None";"None";"None";"None";"2.29288";"48.856546";"000CS"
"2019-1065954";"2019-01-15";"1";"Vente";"2200000.0";"11.0";"B";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0006";"None";"None";"108";"137.48";"140";"nan";"141";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"105.0";"3";"None";"None";"None";"None";"None";"2.292953";"48.856691";"000CS"
"2018-1372113";"2018-12-17";"1";"Vente";"1558315.0";"11.0";"B";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0006";"None";"None";"106";"134.2";"145";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"135.0";"5";"None";"None";"None";"None";"None";"2.292953";"48.856691";"000CS"
"2018-1372113";"2018-12-17";"1";"Vente";"1558315.0";"11.0";"B";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0006";"None";"None";"129";"8.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292953";"48.856691";"000CS"
"2018-1370028";"2018-06-18";"1";"Vente";"6000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"51";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"96.0";"5";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2018-1370275";"2018-06-14";"1";"Vente";"673204.0";"4.0";"None";"AV OCTAVE GREARD";"6866";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0005";"None";"None";"16";"nan";"4";"69.53";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"68.0";"2";"None";"None";"None";"None";"None";"2.29288";"48.856546";"000CS"
"2018-1369746";"2018-04-30";"1";"Vente";"120000.0";"11.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0007";"None";"None";"27";"4.88";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292802";"48.856809";"000CS"
"2018-1369228";"2018-03-23";"1";"Vente";"1700000.0";"11.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0007";"None";"None";"11";"138.11";"46";"nan";"70";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"142.0";"5";"None";"None";"None";"None";"None";"2.292802";"48.856809";"000CS"
"2018-1369130";"2018-03-15";"1";"Vente";"1740000.0";"11.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0007";"None";"None";"13";"135.09";"47";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"152.0";"4";"None";"None";"None";"None";"None";"2.292802";"48.856809";"000CS"
"2018-1369130";"2018-03-15";"1";"Vente";"1740000.0";"11.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0007";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292802";"48.856809";"000CS"
"2018-1369130";"2018-03-15";"1";"Vente";"1740000.0";"11.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0007";"None";"None";"16";"nan";"72";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292802";"48.856809";"000CS"
"2017-1406640";"2017-12-29";"1";"Vente";"1160000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"3";"110.54";"38";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"98.0";"5";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2017-1406640";"2017-12-29";"1";"Vente";"1160000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"25";"8.27";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2017-1406245";"2017-12-11";"1";"Vente";"8000.0";"1.0";"None";"RUE DE BUENOS AIRES";"1367";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0012";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292429";"48.85706";"000CS"
"2017-1404718";"2017-06-30";"1";"Vente";"100000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"128.0";"5";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2017-1404719";"2017-06-30";"1";"Vente";"3100000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"16";"130.13";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"128.0";"5";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2017-1404718";"2017-06-30";"1";"Vente";"100000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"30";"6.15";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2017-1404718";"2017-06-30";"1";"Vente";"100000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"31";"0.6";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2017-1404718";"2017-06-30";"1";"Vente";"100000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"29";"6.1";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2017-1404483";"2017-06-13";"1";"Vente";"70000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"20";"8.27";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2017-1403446";"2017-03-06";"1";"Vente";"1366250.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"43";"nan";"7";"111.07";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"110.0";"5";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2017-1403446";"2017-03-06";"1";"Vente";"1366250.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"28";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2017-1403176";"2017-02-02";"1";"Vente";"1681800.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"33";"nan";"9";"132.52";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"135.0";"5";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2016-1239248";"2016-12-15";"1";"Vente";"75000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"31";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2016-1239248";"2016-12-15";"1";"Vente";"75000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2016-1239248";"2016-12-15";"1";"Vente";"75000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2016-1239286";"2016-12-15";"1";"Vente";"65000.0";"11.0";"B";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0006";"None";"None";"103";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.292953";"48.856691";"000CS"
"2016-1239080";"2016-12-13";"1";"Vente";"1050000.0";"7.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0009";"None";"None";"14";"57.66";"42";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"58.0";"3";"None";"None";"None";"None";"None";"2.292466";"48.856866";"000CS"
"2016-1239214";"2016-12-09";"1";"Vente";"40000.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
"2016-1238494";"2016-10-12";"1";"Vente";"316836.0";"9.0";"None";"AV DE SUFFREN";"9114";"75007";"75107";"Paris 7e Arrondissement";"75";"None";"None";"75107000CS0008";"None";"None";"55";"22.92";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"None";"2.29269";"48.856855";"000CS"
