id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-139984";"2019-09-20";"1";"Vente";"1055000.0";"7.0";"None";"RUE DE SULLY";"1260";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0071";"None";"None";"1";"272.34";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"95.0";"4.0";"None";"None";"None";"None";"nan";"-1.368203";"46.204309";"000AH"
"2019-139984";"2019-09-20";"1";"Vente";"1055000.0";"7.0";"None";"RUE DE SULLY";"1260";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0071";"None";"None";"1";"272.34";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"232.0";"0.0";"None";"None";"None";"None";"nan";"-1.368203";"46.204309";"000AH"
"2019-139245";"2019-08-01";"1";"Vente";"38000.0";"5961.0";"None";"PL DU BASTION";"0124";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0181";"None";"None";"23";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.371752";"46.205221";"000AH"
"2019-138070";"2019-06-19";"1";"Vente";"49900.0";"21.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0006";"None";"None";"46";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.371281";"46.205612";"000AH"
"2019-137662";"2019-06-14";"1";"Vente";"312000.0";"4.0";"None";"RUE DU MARQUIS D AIRVAULT";"0020";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0128";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"46.0";"3.0";"S";"sols";"None";"None";"46.0";"-1.370216";"46.204069";"000AH"
"2019-137704";"2019-06-04";"1";"Vente";"260000.0";"21.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0006";"None";"None";"1";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.371281";"46.205612";"000AH"
"2019-137704";"2019-06-04";"1";"Vente";"260000.0";"27.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0006";"None";"None";"85";"114.88";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"90.0";"0.0";"None";"None";"None";"None";"nan";"-1.371281";"46.205612";"000AH"
"2019-137330";"2019-05-16";"1";"Vente";"143500.0";"21.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0006";"None";"None";"103";"40.45";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"26.0";"1.0";"None";"None";"None";"None";"nan";"-1.371281";"46.205612";"000AH"
"2019-136315";"2019-03-29";"1";"Vente";"123000.0";"5961.0";"None";"PL DU BASTION";"0124";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0181";"None";"None";"157";"34.12";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"31.0";"2.0";"None";"None";"None";"None";"nan";"-1.371752";"46.205221";"000AH"
"2019-135875";"2019-03-04";"1";"Vente";"30000.0";"21.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0006";"None";"None";"81";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.371281";"46.205612";"000AH"
"2019-135720";"2019-02-22";"1";"Vente";"215000.0";"2.0";"None";"RUE DE SULLY";"1260";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0183";"None";"None";"8";"53.28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"54.0";"3.0";"None";"None";"None";"None";"nan";"-1.368285";"46.204378";"000AH"
"2019-135618";"2019-02-18";"1";"Vente";"178000.0";"21.0";"None";"CRS PASTEUR";"1040";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0181";"None";"None";"156";"28.4";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"31.0";"2.0";"None";"None";"None";"None";"nan";"-1.371752";"46.205221";"000AH"
"2019-135203";"2019-02-14";"1";"Vente";"226220.0";"5961.0";"None";"PL DU BASTION";"0124";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AH0181";"None";"None";"94";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"-1.371752";"46.205221";"000AH"
