id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-136440";"2019-04-16";"1";"Vente";"3600000.0";"16";"None";"QUAI DANIEL RIVAILLE";"0280";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0044";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"478.0";"6";"S";"sols";"None";"None";"366.0";"-1.367211";"46.206712";"000AI"
"2019-136440";"2019-04-16";"1";"Vente";"3600000.0";"16";"None";"QUAI DANIEL RIVAILLE";"0280";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0044";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"161.0";"0";"S";"sols";"None";"None";"366.0";"-1.367211";"46.206712";"000AI"
"2019-136440";"2019-04-16";"1";"Vente";"3600000.0";"16";"None";"QUAI DANIEL RIVAILLE";"0280";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0044";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"nan";"0";"S";"sols";"None";"None";"366.0";"-1.367211";"46.206712";"000AI"
"2018-195047";"2018-08-24";"1";"Vente";"580000.0";"8";"None";"RUE CHAY MORIN";"0140";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0020";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"36.0";"1";"S";"sols";"None";"None";"113.0";"-1.367631";"46.205675";"000AI"
"2018-195047";"2018-08-24";"1";"Vente";"580000.0";"8";"None";"RUE CHAY MORIN";"0140";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0020";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"96.0";"4";"S";"sols";"None";"None";"113.0";"-1.367631";"46.205675";"000AI"
"2018-195047";"2018-08-24";"1";"Vente";"580000.0";"8";"None";"RUE CHAY MORIN";"0140";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0020";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0";"S";"sols";"None";"None";"113.0";"-1.367631";"46.205675";"000AI"
"2018-193363";"2018-06-08";"1";"Vente";"290494.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"37";"50.97";"4";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"51.0";"3";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2018-193429";"2018-06-08";"1";"Vente";"152500.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"32";"21.45";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"22.0";"1";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2018-192732";"2018-04-27";"1";"Vente";"290000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"14";"nan";"41";"52.0";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"57.0";"3";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2017-197590";"2017-10-06";"1";"Vente";"175000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"31";"27.0";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"24.0";"1";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2017-196000";"2017-07-13";"1";"Vente";"279000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"13";"nan";"39";"54.04";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"56.0";"2";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2017-194492";"2017-05-10";"1";"Vente";"70700.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"16";"39.53";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"40.0";"0";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2016-174122";"2016-05-27";"1";"Vente";"94742.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"10";"nan";"27";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"41.0";"2";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2016-173926";"2016-05-12";"1";"Vente";"156000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"20";"65.08";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"24.0";"0";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2016-173926";"2016-05-12";"1";"Vente";"156000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"23";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"41.0";"0";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
"2015-165537";"2015-12-29";"1";"Vente";"310000.0";"14";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0027";"None";"None";"5";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"-1.367212";"46.205735";"000AI"
"2015-165537";"2015-12-29";"1";"Vente";"310000.0";"14";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0027";"None";"None";"5";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"33.0";"0";"None";"None";"None";"None";"nan";"-1.367212";"46.205735";"000AI"
"2015-162941";"2015-07-31";"1";"Vente";"260000.0";"12";"None";"QUAI LAUNAY RAZILLY";"0780";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0025";"None";"None";"5";"72.9";"6";"340.0";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"96.0";"0";"None";"None";"None";"None";"nan";"-1.367881";"46.205958";"000AI"
"2015-161885";"2015-05-29";"1";"Vente";"139000.0";"10";"None";"QUAI DE BERNONVILLE";"0125";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AI0026";"None";"None";"35";"22.14";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"25.0";"1";"None";"None";"None";"None";"nan";"-1.367392";"46.205757";"000AI"
