id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-140742";"2019-11-25";"1";"Vente";"292000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"316";"44.63";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-140742";"2019-11-25";"1";"Vente";"292000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"51";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-140699";"2019-10-30";"1";"Vente";"325000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"417";"56.82";"428";"None";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"59.0";"3.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-140204";"2019-10-07";"1";"Vente";"277000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"410";"48.25";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"50.0";"3.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-140247";"2019-10-02";"1";"Vente";"200000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"107";"35.54";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"2.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-140247";"2019-10-02";"1";"Vente";"200000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"129";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139835";"2019-09-20";"1";"Vente";"190150.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"307";"32.92";"321";"None";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"33.0";"2.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139835";"2019-09-20";"1";"Vente";"190150.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"418";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139837";"2019-09-19";"1";"Vente";"135650.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"14";"20.73";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"20.0";"1.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139837";"2019-09-19";"1";"Vente";"135650.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"26";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139455";"2019-08-29";"1";"Vente";"50000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"371";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-139221";"2019-08-23";"1";"Vente";"155000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"114";"32.7";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"33.0";"2.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139282";"2019-08-23";"1";"Vente";"214000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"305";"32.36";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"32.0";"2.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139221";"2019-08-23";"1";"Vente";"155000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"136";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139282";"2019-08-23";"1";"Vente";"214000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"420";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139282";"2019-08-23";"1";"Vente";"214000.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"318";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-139218";"2019-08-12";"1";"Vente";"900000.0";"19.0";"None";"RUE DES GABARET";"0540";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0142";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"76.0";"4.0";"S";"sols";"None";"None";"430.0";"-1.364711";"46.20411";"000AL"
"2019-139218";"2019-08-12";"1";"Vente";"900000.0";"19.0";"None";"RUE DES GABARET";"0540";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0142";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"91.0";"3.0";"S";"sols";"None";"None";"430.0";"-1.364711";"46.20411";"000AL"
"2019-139218";"2019-08-12";"1";"Vente";"900000.0";"19.0";"None";"RUE DES GABARET";"0540";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0142";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"46.0";"0.0";"S";"sols";"None";"None";"430.0";"-1.364711";"46.20411";"000AL"
"2019-137767";"2019-06-17";"1";"Vente";"144900.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"220";"33.05";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"33.0";"2.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-137915";"2019-06-17";"1";"Vente";"167000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"431";"28.24";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-137767";"2019-06-17";"1";"Vente";"144900.0";"5.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0113";"None";"None";"235";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.366658";"46.20459";"000AL"
"2019-137698";"2019-05-27";"1";"Vente";"307000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"414";"49.88";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"50.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-137213";"2019-05-13";"1";"Vente";"33500.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"57";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-136673";"2019-04-10";"1";"Vente";"178700.0";"6001.0";"None";"CRS VAUBAN";"1310";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"289";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-136173";"2019-03-29";"1";"Vente";"755000.0";"7.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0112";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"193.0";"5.0";"S";"sols";"None";"None";"250.0";"-1.367155";"46.20448";"000AL"
"2019-136173";"2019-03-29";"1";"Vente";"755000.0";"7.0";"None";"RUE BARON DE CHANTAL";"0121";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0112";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2";"Appartement";"60.0";"1.0";"S";"sols";"None";"None";"250.0";"-1.367155";"46.20448";"000AL"
"2019-136210";"2019-03-25";"1";"Vente";"375800.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"107";"50.77";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2019-134735";"2019-01-21";"1";"Vente";"143000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"457";"26.96";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"27.0";"1.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-197936";"2018-12-28";"1";"Vente";"2590000.0";"21.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0148";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"530.0";"17.0";"S";"sols";"None";"None";"773.0";"-1.365823";"46.205217";"000AL"
"2018-197936";"2018-12-28";"1";"Vente";"2590000.0";"21.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0149";"None";"1";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"-1.365707";"46.205041";"000AL"
"2018-197571";"2018-12-13";"1";"Vente";"1450000.0";"3.0";"None";"RUE CLERJOTTE";"0220";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0144";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"272.0";"11.0";"S";"sols";"None";"None";"791.0";"-1.364459";"46.204779";"000AL"
"2018-197567";"2018-12-13";"1";"Vente";"270000.0";"6001.0";"None";"CRS VAUBAN";"1310";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"226";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"36.0";"1.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-197567";"2018-12-13";"1";"Vente";"270000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"27";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-197567";"2018-12-13";"1";"Vente";"270000.0";"6001.0";"None";"CRS VAUBAN";"1310";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"225";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196703";"2018-11-28";"1";"Vente";"54375.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"438";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"33.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196703";"2018-11-28";"1";"Vente";"54375.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"101";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196652";"2018-11-13";"1";"Vente";"41000.0";"6001.0";"None";"CRS VAUBAN";"1310";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"59";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196386";"2018-10-26";"1";"Vente";"38000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"44";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196365";"2018-10-23";"1";"Vente";"267000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"440";"47.85";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"45.0";"2.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-196365";"2018-10-23";"1";"Vente";"267000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"93";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-195577";"2018-10-04";"1";"Vente";"122000.0";"6001.0";"None";"CRS VAUBAN";"1310";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"115";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"23.0";"1.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-195927";"2018-10-02";"1";"Vente";"37000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"2";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-195287";"2018-09-07";"1";"Vente";"60000.0";"1.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"32";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
"2018-194933";"2018-08-14";"1";"Vente";"313000.0";"3.0";"None";"AV VICTOR BOUTHILLIER";"1320";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AL0041";"None";"None";"315";"44.8";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"46.0";"1.0";"None";"None";"None";"None";"nan";"-1.363953";"46.20467";"000AL"
