id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-139479";"2019-08-13";"1";"Vente";"629710.0";"18.0";"None";"AV CHARLES DE GAULLE";"0583";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0081";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"124.0";"4.0";"S";"sols";"None";"None";"398.0";"-1.358657";"46.197763";"000AO"
"2019-137636";"2019-05-29";"2";"Vente";"260000.0";"9.0";"None";"AV CHARLES DE GAULLE";"0583";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0255";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"160.0";"0.0";"S";"sols";"None";"None";"219.0";"-1.359383";"46.19833";"000AO"
"2019-137347";"2019-05-24";"1";"Vente";"470000.0";"6.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0098";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"4.0";"S";"sols";"None";"None";"390.0";"-1.359675";"46.197626";"000AO"
"2019-136686";"2019-04-12";"1";"Vente";"336000.0";"5029.0";"None";"LES EGAUX";"B021";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0203";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"76.0";"4.0";"S";"sols";"None";"None";"258.0";"-1.361803";"46.19801";"000AO"
"2019-136686";"2019-04-12";"1";"Vente";"336000.0";"nan";"None";"LES EGAUX";"B021";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0202";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"226.0";"-1.361672";"46.198064";"000AO"
"2018-196110";"2018-10-16";"1";"Vente";"460000.0";"22.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0121";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"91.0";"4.0";"S";"sols";"None";"None";"372.0";"-1.3606";"46.198159";"000AO"
"2018-196110";"2018-10-16";"1";"Vente";"460000.0";"22.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0121";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"35.0";"0.0";"S";"sols";"None";"None";"372.0";"-1.3606";"46.198159";"000AO"
"2018-195293";"2018-09-07";"1";"Vente";"555000.0";"16.0";"None";"RTE DE LA FLOTTE";"0500";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0197";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"98.0";"6.0";"S";"sols";"None";"None";"457.0";"-1.35705";"46.198334";"000AO"
"2018-195050";"2018-08-30";"1";"Vente";"475000.0";"21.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0086";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"5.0";"S";"sols";"None";"None";"378.0";"-1.358985";"46.19708";"000AO"
"2017-198295";"2017-11-21";"1";"Vente";"225000.0";"16.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0112";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"98.0";"4.0";"S";"sols";"None";"None";"401.0";"-1.360491";"46.197758";"000AO"
"2017-198295";"2017-11-21";"1";"Vente";"225000.0";"16.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0112";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"34.0";"3.0";"S";"sols";"None";"None";"401.0";"-1.360491";"46.197758";"000AO"
"2017-195313";"2017-06-30";"1";"Vente";"675000.0";"2.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0096";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"5.0";"S";"sols";"None";"None";"364.0";"-1.359491";"46.197856";"000AO"
"2017-193077";"2017-03-20";"1";"Vente";"128000.0";"26.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0123";"None";"None";"4";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.36093";"46.19809";"000AO"
"2017-193077";"2017-03-20";"1";"Vente";"128000.0";"26.0";"None";"RUE L ANCIEN FOUR A CHAUX";"0045";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AO0123";"None";"None";"2";"27.54";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"28.0";"0.0";"None";"None";"None";"None";"nan";"-1.36093";"46.19809";"000AO"
