id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-140645";"2019-10-31";"1";"Vente";"440000.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"13";"95.8";"36";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"49.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-140645";"2019-10-31";"1";"Vente";"440000.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"13";"95.8";"36";"nan";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"41.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-140269";"2019-10-18";"1";"Vente";"91800.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"24";"27.33";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"26.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-137800";"2019-06-28";"1";"Vente";"152000.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"15";"54.21";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"59.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-137112";"2019-05-09";"1";"Vente";"86400.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"26";"30.31";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"31.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-135368";"2019-02-15";"1";"Vente";"91800.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"28";"30.5";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"30.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2019-134996";"2019-01-30";"1";"Vente";"260000.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"22";"45.04";"23";"48.68";"None";"None";"None";"None";"None";"None";"2";"4";"Local industriel. commercial ou assimilé";"101.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2018-195810";"2018-09-28";"1";"Vente";"145000.0";"19";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"17";"41.0";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"39.0";"0";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
"2018-195834";"2018-09-24";"1";"Vente";"320000.0";"40";"None";"AV PHILIPPSBURG";"1070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0045";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"84.0";"4";"S";"sols";"None";"None";"295.0";"-1.356594";"46.195494";"000AR"
"2018-195291";"2018-09-14";"1";"Vente";"235000.0";"32";"None";"RTE DE LA FLOTTE";"0500";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AR0002";"None";"None";"25";"51.09";"27";"48.51";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"93.0";"5";"None";"None";"None";"None";"nan";"-1.354859";"46.197346";"000AR"
