id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-136036";"2019-03-15";"1";"Vente";"5050.4";"None";"None";"LES BIRAUDES";"B007";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0347";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"3322.0";"-1.367573";"46.191883";"000ZB"
"2019-136036";"2019-03-15";"1";"Vente";"5050.4";"None";"None";"LES BIRAUDES";"B007";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0349";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"1398.0";"-1.367353";"46.192078";"000ZB"
"2018-197622";"2018-12-18";"1";"Vente";"45000.0";"None";"None";"MOULIN DES PLUMAIS";"B041";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0274";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"1930.0";"-1.379638";"46.199254";"000ZB"
"2018-197622";"2018-12-18";"1";"Vente";"45000.0";"None";"None";"MOULIN DES PLUMAIS";"B041";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0414";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"BT";"taillis simples";"None";"None";"105.0";"-1.379828";"46.19889";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"BEAUVOIR";"B006";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0081";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"2228.0";"-1.372588";"46.193468";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"BEAUVOIR";"B006";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0081";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"VI";"vignes";"None";"None";"4314.0";"-1.372588";"46.193468";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"BEAUVOIR";"B006";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0081";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"VI";"vignes";"None";"None";"2578.0";"-1.372588";"46.193468";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"LES MORISSIERES DES ARDILL";"B039";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0182";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"VI";"vignes";"None";"None";"2283.0";"-1.363663";"46.194703";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"LES MORISSIERES DES ARDILL";"B039";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0182";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"4757.0";"-1.363663";"46.194703";"000ZB"
"2017-191924";"2017-01-03";"1";"Vente";"20000.0";"None";"None";"LE GABARET DU BREUIL";"B028";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0221";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"VI";"vignes";"None";"None";"2750.0";"-1.358104";"46.193663";"000ZB"
"2016-175609";"2016-08-01";"1";"Vente";"8910.0";"None";"None";"LA CROIX BLANCHE";"B018";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"T";"terres";"None";"None";"1940.0";"-1.36284";"46.191878";"000ZB"
"2016-175609";"2016-08-01";"1";"Vente";"8910.0";"None";"None";"LA CROIX BLANCHE";"B018";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZB0255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"None";"None";"VI";"vignes";"None";"None";"4000.0";"-1.36284";"46.191878";"000ZB"
