id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-138326";"2019-07-18";"1";"Vente";"540000.0";"24.0";"None";"AV DES CORSAIRES";"0250";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0496";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"78.0";"3.0";"S";"sols";"None";"None";"413.0";"-1.352439";"46.202047";"000ZC"
"2019-138326";"2019-07-18";"1";"Vente";"540000.0";"nan";"None";"QRT DU PARC";"B071";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0494";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"109.0";"-1.352616";"46.201982";"000ZC"
"2019-138326";"2019-07-18";"1";"Vente";"540000.0";"nan";"None";"QRT DU PARC";"B071";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0495";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"62.0";"-1.352785";"46.202";"000ZC"
"2019-138040";"2019-06-27";"1";"Vente";"415000.0";"5.0";"None";"RTE DE LA FLOTTE";"0500";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0242";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"43.0";"2.0";"S";"sols";"None";"None";"700.0";"-1.357658";"46.19917";"000ZC"
"2019-138040";"2019-06-27";"1";"Vente";"415000.0";"5.0";"None";"RTE DE LA FLOTTE";"0500";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0242";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"92.0";"4.0";"S";"sols";"None";"None";"700.0";"-1.357658";"46.19917";"000ZC"
"2019-135719";"2019-02-28";"1";"Vente";"350000.0";"nan";"None";"QRT DU PARC";"B071";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0535";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"336.0";"-1.355512";"46.202922";"000ZC"
"2019-134914";"2019-01-24";"1";"Vente";"620000.0";"2.0";"T";"RUE DU ROI DE L ARQUEBUSE";"1223";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0455";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"96.0";"4.0";"S";"sols";"None";"None";"400.0";"-1.35213";"46.202538";"000ZC"
"2018-197134";"2018-12-05";"1";"Vente";"360000.0";"15.0";"None";"RUE DE LA DANAE";"0290";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0034";"None";"None";"1";"66.08";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"80.0";"2.0";"None";"None";"None";"None";"nan";"-1.354631";"46.200675";"000ZC"
"2018-197254";"2018-11-30";"1";"Vente";"460000.0";"3.0";"None";"AV DES CORSAIRES";"0250";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0180";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"5.0";"S";"sols";"None";"None";"589.0";"-1.353816";"46.199045";"000ZC"
"2018-197089";"2018-11-21";"1";"Vente";"1190000.0";"1.0";"None";"RUE DES ANTILLES";"0050";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000ZC0517";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"173.0";"7.0";"S";"sols";"None";"None";"600.0";"-1.352625";"46.201478";"000ZC"
