id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"5015.0";"None";"LE VERT CLOS OUEST";"B070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"196.0";"7.0";"AG";"terrains d'agrément";"None";"None";"1907.0";"-1.383736";"46.20411";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"5015.0";"None";"LE VERT CLOS OUEST";"B070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"196.0";"7.0";"S";"sols";"None";"None";"944.0";"-1.383736";"46.20411";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0045";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"1204.0";"-1.382961";"46.203784";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"967.0";"-1.383842";"46.20377";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0048";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"153.0";"-1.383367";"46.204209";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0048";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"2026.0";"-1.383367";"46.204209";"000AA"
"2018-192893";"2018-05-18";"1";"Vente";"1400000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0049";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AG";"terrains d'agrément";"None";"None";"535.0";"-1.383181";"46.204466";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"5009.0";"None";"CHE LES SALINES";"1235";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0051";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"321.0";"-1.383037";"46.204553";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0036";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"300.0";"-1.384543";"46.202876";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0050";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"828.0";"-1.38298";"46.204164";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0052";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"L";"landes";"None";"None";"81.0";"-1.382786";"46.204662";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0059";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"5242.0";"-1.382086";"46.204404";"000AA"
"2018-192564";"2018-04-23";"1";"Vente";"150000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0060";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"208.0";"-1.382294";"46.204212";"000AA"
"2017-197694";"2017-10-26";"1";"Vente";"230000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0015";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"318.0";"-1.38635";"46.20393";"000AA"
"2017-197694";"2017-10-26";"1";"Vente";"230000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0016";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"202.0";"-1.386359";"46.203978";"000AA"
"2017-197694";"2017-10-26";"1";"Vente";"230000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0017";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"342.0";"-1.386334";"46.20409";"000AA"
"2017-197694";"2017-10-26";"1";"Vente";"230000.0";"nan";"None";"LE VERT CLOS OUEST";"B070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0018";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"141.0";"-1.386489";"46.204093";"000AA"
"2017-197352";"2017-09-26";"1";"Vente";"100000.0";"nan";"None";"RES DE LA POUDRIERE";"A023";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0021";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"140.0";"-1.385337";"46.204227";"000AA"
"2017-197352";"2017-09-26";"1";"Vente";"100000.0";"nan";"None";"LE VERT CLOS OUEST";"B070";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0022";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"292.0";"-1.385018";"46.204234";"000AA"
"2017-197352";"2017-09-26";"1";"Vente";"100000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0023";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"175.0";"-1.384821";"46.204197";"000AA"
"2017-197352";"2017-09-26";"1";"Vente";"100000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0024";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"318.0";"-1.385159";"46.20418";"000AA"
"2017-197352";"2017-09-26";"1";"Vente";"100000.0";"nan";"None";"LE VERT CLOS";"B069";"17410";"17369";"Saint-Martin-de-Ré";"17";"None";"None";"17369000AA0083";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"264.0";"-1.385069";"46.204085";"000AA"
