id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068754";"2019-12-18";"1";"Vente";"287000.0";"16";"None";"RUE DAUPHINE";"2595";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0089";"None";"None";"53";"14.5";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"14.0";"1";"None";"None";"None";"None";"None";"2.339702";"48.855671";"000AC"
"2019-1068748";"2019-12-11";"1";"Vente";"700000.0";"22";"None";"RUE DE SAVOIE";"8861";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0146";"None";"None";"25";"nan";"29";"53.12";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"30.0";"1";"None";"None";"None";"None";"None";"2.340929";"48.854461";"000AC"
"2019-1068748";"2019-12-11";"1";"Vente";"700000.0";"22";"None";"RUE DE SAVOIE";"8861";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0146";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"46.0";"0";"None";"None";"None";"None";"None";"2.340929";"48.854461";"000AC"
"2019-1068647";"2019-10-18";"1";"Vente";"2700000.0";"11";"None";"RUE GUENEGAUD";"4367";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0081";"None";"None";"18";"137.56";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"140.0";"6";"None";"None";"None";"None";"None";"2.339361";"48.855922";"000AC"
"2019-1068647";"2019-10-18";"1";"Vente";"2700000.0";"11";"None";"RUE GUENEGAUD";"4367";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0081";"None";"None";"25";"8.33";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.339361";"48.855922";"000AC"
"2019-1068547";"2019-09-27";"1";"Vente";"605249.0";"15";"None";"RUE DAUPHINE";"2595";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0117";"None";"None";"18";"34.02";"19";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"4";"Local industriel. commercial ou assimilé";"32.0";"0";"None";"None";"None";"None";"None";"2.340161";"48.855495";"000AC"
"2019-1068535";"2019-09-25";"1";"Vente";"140000.0";"47";"None";"QUAI DES GRANDS AUGUSTINS";"4284";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0128";"None";"None";"26";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.341672";"48.854918";"000AC"
"2019-1068457";"2019-09-20";"1";"Vente";"1082000.0";"20";"None";"RUE DAUPHINE";"2595";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0094";"None";"None";"6";"68.1";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"70.0";"3";"None";"None";"None";"None";"None";"2.339471";"48.855261";"000AC"
"2019-1068584";"2019-09-20";"1";"Vente";"23000.0";"1";"None";"RUE DES GRANDS AUGUSTINS";"4285";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0126";"None";"None";"52";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"None";"2.341506";"48.855085";"000AC"
"2019-1068514";"2019-09-13";"1";"Vente";"435000.0";"10";"None";"RUE DE SAVOIE";"8861";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AC0139";"None";"None";"19";"nan";"5";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"30.0";"2";"None";"None";"None";"None";"None";"2.341681";"48.854531";"000AC"
