id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-1068341";"2019-09-05";"1";"Vente";"361500.0";"55";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0092";"None";"None";"4";"20.77";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"22.0";"1";"None";"None";"None";"None";"nan";"2.339163";"48.853366";"000AD"
"2019-1068435";"2019-09-05";"1";"Vente";"650000.0";"144";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0007";"None";"None";"2";"nan";"35";"45.44";"36";"nan";"40";"nan";"42";"None";"5";"2";"Appartement";"54.0";"3";"None";"None";"None";"None";"nan";"2.337351";"48.853112";"000AD"
"2019-1068455";"2019-08-29";"1";"Vente";"977000.0";"130";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0123";"None";"None";"8";"67.46";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"62.0";"3";"None";"None";"None";"None";"nan";"2.339342";"48.852589";"000AD"
"2019-1068455";"2019-08-29";"1";"Vente";"977000.0";"130";"None";"BD SAINT GERMAIN";"8619";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0123";"None";"None";"39";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"63.0";"3";"None";"None";"None";"None";"nan";"2.339342";"48.852589";"000AD"
"2019-1068241";"2019-08-23";"1";"Vente";"207000.0";"7";"None";"RUE GREGOIRE DE TOURS";"4306";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0026";"None";"None";"61";"12.76";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"12.0";"1";"None";"None";"None";"None";"nan";"2.338039";"48.853348";"000AD"
"2019-1068074";"2019-07-26";"1";"Vente";"200000.0";"41";"None";"RUE DAUPHINE";"2595";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0061";"None";"None";"58";"14.92";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"14.0";"2";"None";"None";"None";"None";"nan";"2.339417";"48.854308";"000AD"
"2019-1068105";"2019-07-25";"1";"Vente";"970000.0";"12";"None";"RUE GREGOIRE DE TOURS";"4306";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0014";"None";"None";"1";"nan";"20";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"62.0";"2";"None";"None";"None";"None";"nan";"2.337737";"48.853261";"000AD"
"2019-1068105";"2019-07-25";"1";"Vente";"970000.0";"12";"None";"RUE GREGOIRE DE TOURS";"4306";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0014";"None";"None";"21";"nan";"23";"nan";"24";"nan";"25";"nan";"26";"None";"6";"4";"Local industriel. commercial ou assimilé";"25.0";"0";"None";"None";"None";"None";"nan";"2.337737";"48.853261";"000AD"
"2019-1067996";"2019-07-18";"1";"Vente";"1800000.0";"58";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0076";"None";"None";"12";"112.33";"28";"nan";"5";"nan";"None";"nan";"None";"None";"3";"2";"Appartement";"79.0";"3";"None";"None";"None";"None";"nan";"2.339917";"48.853651";"000AD"
"2019-1067996";"2019-07-18";"1";"Vente";"1800000.0";"58";"None";"RUE SAINT ANDRE DES ARTS";"8484";"75006";"75106";"Paris 6e Arrondissement";"75";"None";"None";"75106000AD0076";"None";"None";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0";"None";"None";"None";"None";"nan";"2.339917";"48.853651";"000AD"
