id,villeLowerCase,zipCode
1,ozan,1190
2,cormoranche sur saone,1290
3,plagne,1130
4,tossiat,1250
5,pouillat,1250
6,torcieu,1230
7,replonges,1620
8,corcelles,1110
9,peron,1630
10,relevant,1990
11,chaveyriat,1660
12,vaux en bugey,1150
13,maillat,1430
14,faramans,1800
15,beon,1350
16,saint bernard,1600
17,rossillon,1510
18,pont d ain,1160
19,nantua,1460
20,chavannes sur reyssouze,1190
21,neuville les dames,1400
22,flaxieu,1350
23,hotonnes,1260
24,saint sorlin en bugey,1150
25,songieu,1260
26,virieu le petit,1260
27,saint denis en bugey,1500
28,charnoz sur ain,1800
29,chazey sur ain,1150
30,marchamp,1680
31,culoz,1350
32,mantenay montlin,1560
33,marboz,1851
34,foissiat,1340
35,treffort cuisiat,1370
36,izieu,1300
37,saint etienne du bois,1370
38,hauteville lompnes,1110
39,saint trivier sur moignans,1990
40,peyriat,1430
41,evosges,1230
42,poncin,1450
43,crans,1320
44,montreal la cluse,1460
45,cleyzieu,1230
46,lompnieu,1260
47,villereversure,1250
48,saint martin du mont,1160
49,saint genis pouilly,1630
50,bolozon,1450
51,confrancon,1310
52,lochieu,1260
53,chanoz chatenay,1400
54,villebois,1150
55,ceignes,1430
56,saint didier sur chalaronne,1140
57,revonnas,1250
58,bourg saint christophe,1800
59,condeissiat,1400
60,pirajoux,1270
61,chalamont,1320
62,le plantay,1330
63,versailleux,1330
64,montagnat,1250
65,vieu,1260
66,saint andre de corcy,1390
67,bressolles,1360
68,peronnas,1960
69,colomieu,1300
70,monthieux,1390
71,saint jean sur reyssouze,1560
72,garnerans,1140
73,montrevel en bresse,1340
74,conand,1230
75,challes la montagne,1450
76,mogneneins,1140
77,thoissey,1140
78,chaleins,1480
79,neuville sur ain,1160
80,thil,1120
81,jujurieux,1640
82,oncieu,1230
83,lurcy,1090
84,balan,1360
85,ambutrix,1500
86,sainte croix,1120
87,blyes,1150
88,conzieu,1300
89,nievroz,1120
90,nurieux volognat,1460
91,ambleon,1300
92,saint maurice de gourdans,1800
93,chezery forens,1200
94,sault brenaz,1150
95,murs et gelignieux,1300
96,le petit abergement,1260
97,cormoz,1560
98,saint martin de bavel,1510
99,saint trivier de courtes,1560
100,boyeux saint jerome,1640
101,chateau gaillard,1500
102,premeyzel,1300
103,arandas,1230
104,chatenay,1320
105,innimond,1680
106,boz,1190
107,briord,1470
108,reyrieux,1600
109,matafelon granges,1580
110,drom,1250
111,chatillon en michaille,1200
112,polliat,1310
113,vesancy,1170
114,massieux,1600
