id,villeLowerCase,zipCode,long,lat
1,ozan,1190,4.91667,46.3833
2,cormoranche sur saone,1290,4.83333,46.2333
3,plagne,1130,5.73333,46.1833
4,tossiat,1250,5.31667,46.1333
5,pouillat,1250,5.43333,46.3333
6,torcieu,1230,5.4,45.9167
7,replonges,1620,4.88333,46.3
8,corcelles,1110,5.58333,46.0333
9,peron,1630,5.93333,46.2
10,relevant,1990,4.95,46.0833
11,chaveyriat,1660,5.06667,46.1833
12,vaux en bugey,1150,5.35,45.9167
13,maillat,1430,5.55,46.1333
14,faramans,1800,5.11667,45.9
15,beon,1350,5.75,45.8333
16,saint bernard,1600,4.73723,45.945
17,rossillon,1510,5.6,45.8333
18,pont d ain,1160,5.33333,46.05
19,nantua,1460,5.61667,46.15
20,chavannes sur reyssouze,1190,5,46.4333
21,neuville les dames,1400,5,46.1667
22,flaxieu,1350,5.73333,45.8167
23,hotonnes,1260,5.68333,46
24,saint sorlin en bugey,1150,5.36667,45.8833
25,songieu,1260,5.7,45.9667
26,virieu le petit,1260,5.71667,45.9
27,saint denis en bugey,1500,5.33333,45.95
28,charnoz sur ain,1800,5.21667,45.8667
29,chazey sur ain,1150,5.25,45.9
30,marchamp,1680,5.55,45.7833
31,culoz,1350,5.78333,45.85
32,mantenay montlin,1560,5.08333,46.4167
33,marboz,1851,5.25,46.3333
34,foissiat,1340,5.18333,46.3667
35,treffort cuisiat,1370,5.36834,46.2714
36,izieu,1300,5.63333,45.65
37,saint etienne du bois,1370,5.28333,46.2833
38,hauteville lompnes,1110,5.6,45.9667
39,saint trivier sur moignans,1990,4.9,46.0667
40,peyriat,1430,5.51667,46.15
41,evosges,1230,5.5,45.9583
42,poncin,1450,5.4,46.0833
43,crans,1320,5.21667,45.9667
44,montreal la cluse,1460,5.57084,46.1867
45,cleyzieu,1230,5.43333,45.9
46,lompnieu,1260,5.65,45.9667
47,villereversure,1250,5.38333,46.1833
48,saint martin du mont,1160,5.33333,46.1
49,saint genis pouilly,1630,6.01667,46.25
50,bolozon,1450,5.48333,46.2
51,confrancon,1310,5.06667,46.2667
52,lochieu,1260,5.71667,45.9333
53,chanoz chatenay,1400,5.03333,46.1833
54,villebois,1150,5.43333,45.85
55,ceignes,1430,5.5,46.1167
